IE_XML_ID;IE_NAME;IP_PROP360;IP_PROP361;IP_PROP362;IP_PROP363;IP_PROP366;IP_PROP373
42865;313;[HTML]Я как представитель дизайн- студии могу закупить продукцию  европласта по оптовым ценам в Москве ? Если могу, то пришлите контакты пожалуйста;[HTML]Элина, <br/>Вам как представителю дизайн-студии предоставляются оптовые цены в Якутске. Как я Вам написала ранее, в Якутске действует официальный дилер завода Европласт со складом и с наличием товара.  ;20.04.2018 17:26:38;Галина Гроян;Элина;Работа магазинов
42866;314;[HTML]Здравствуйте! Меня интересует из какого именно материала изготавливаются жесткие пенополиуретановые карнизы? И есть ли какие-то нормативные документы описывающие их свойства (плотность, жесткость, диапазон рабочих температур)? Пример карниза прикреплен.;"[HTML]	 Добрый день, Денис, жесткие карнизы изготавливаются из пенополиуретана .<br>
	 Все сертификаты вы можете посмотреть на нашем сайте <br>
 <a href=""https://evroplast.ru/about/certificates/"" target=""_blank"">https://evroplast.ru/about/certificates/</a><br>
	 Так же во вложенном файле паспорт ППУ.<br>
 ";20.04.2018 17:05:00;Ольга Гмыря;Буниятов Денис;Другое
42895;315;[HTML]Добрый день.<br/>Есть ли доставка в пос.Новоселье, ЛО?;"[HTML]Алёна, добрый день.<br/>Благодарим за вопрос. Консультацию по доставке Вы можете получить у официального дилера Европласта по Ленинградской области,  контакты:<br/>PITERRA<br/>ООО ""Питерра""<br/>Московский проспект, д. 111, 1 этаж<br/>Тел.: +7 (812) 319-88-88, доб. 702,732,752<br/>salonM111@piterra.ru<br/>Время работы:<br/>Будни	- 10:00 - 20:00<br/>Суббота	- 10:00 - 20:00<br/>Воскресенье	- 10:00 - 18:00<br/>Без выходных<br/>URL: http://www.piterra.ru/<br/>Приятных Вам покупок.";23.04.2018 12:08:02;Галина Гроян;Алёна;Другое
42902;316;[HTML]Доброе утро! Могу ли я как физлицо сделать заказ на Вашем сайте. И будет ли у меня скидка? Спасибо.;[HTML]Елена, добрый день.<br/>Спасибо за обращение. Да, можете. Всего Вам наилучшего. Приятных покупок.;23.04.2018 12:11:26;Галина Гроян;Елена;Другое
42916;317;[HTML]Добрый день. Заинтересовала  Ваша продукция. Хотим с вами сотрудничать. Как происходит данная схема сотрудничества? ;;;;Инна Николаевна;Другое
42923;318;[HTML]Заказала элементы для камина, но в декоре не нашла основание (между элементами на пол) камина...чтобы было понятно прикладываю фото. Можно ли у вас заказать?;;;;Людмила;Ассортимент и уточнение по размерам
42925;319;[HTML]Чем покрыты изделия из полиуретана?<br/>Можно ли использовать интерьерную лепнину из полиуретана для фасада? <br/>Возможно ли изготовление лепных изделий по индивидуальному заказу?<br/>Какой вид клея используется при монтаже лепного декора из полиуретана и дюрополимера?;[HTML]Добрый день, Татьяна, изделия из полиуретаном, покрыты специальны грунтом и подготовлены к окрашиванию.<br/>Да, интерьерную лепнину можно использовать для фасада.<br/>Для определения возможности изготовления деталей под заказ нам необходим чертежи изделий и количество, которое Вам необходимо. <br/>Для монтажа изделий мы рекомендуем наш клей Европласт, описание по ссылке.<br/>https://evroplast.ru/catalogue/interernyj-dekor/klei-90<br/>;23.04.2018 11:40:00;Ольга Гмыря;Татьяна;Свойства изделий
42984;320;[HTML]Здравствуйте!<br/><br/>Можно ли использовать клей как водостойкий для использования в солёной воде?<br/>https://evroplast.ru/catalogue/interernyj-dekor/klei-90/E04-U-290;;;;Юрий;Свойства изделий
42985;318;[HTML]Заказала элементы для камина, но в декоре не нашла основание (между элементами на пол) камина...чтобы было понятно прикладываю фото. Можно ли у вас заказать?;;;;Людмила;Монтаж изделий
42989;320;[HTML]Здравствуйте!<br/><br/>Можно ли использовать клей как водостойкий для использования в солёной воде?<br/>https://evroplast.ru/catalogue/interernyj-dekor/klei-90/E04-U-290;[HTML]Добрый день, Юрий.<br/>Для того чтобы ответить на Ваш вопрос надо уточнить.<br/>1. Что такое соленая вода - это морская вода, вода в которую добавили соль ( в данном случае нужно понять концетрацию)<br/>2. Что подразумевается под использованием в воде ? Это постоянно в воде, вода попадает периодически или просто влажное помещение ?;23.04.2018 12:01:30;Алексей Брук;Юрий;Монтаж изделий
42990;321;[HTML]Просим выставить счет на плинтус (1.53.103 плинтус 5шт.), клей и замазку.<br/><br/>ООО «ФОТИДА»   Полоцкий район, д. Заозерье<br/><br/>ул. Центральная, д. 26а     р/сч. 3012028690016<br/><br/>в флиале № 216 ОАО «АСБ Беларусбанк» <br/><br/> в г.Новополоцке    УНП 391151167  <br/><br/>IBAN BY27AKBB30120286900162100000<br/><br/>BIC:AKBBBY21216   <br/><br/>дир. Чумаченко С.Г. на основании Устава ;;;;Антон;Другое
42992;322;[HTML]Тестовая запись, просьба не реагировать. <br/>Был ли ответ вам полезен;[HTML]Булки это тоже пирожные, только невкусные.;23.04.2018 12:08:58;Алексей Рык;Алексей Рык;Ассортимент и уточнение по размерам
42993;317;[HTML]Добрый день. Заинтересовала  Ваша продукция. Хотим с вами сотрудничать. Как происходит данная схема сотрудничества? ;;;;Инна Николаевна;Гарантийные обязательства
42994;321;[HTML]Просим выставить счет на плинтус (1.53.103 плинтус 5шт.), клей и замазку.<br/><br/>ООО «ФОТИДА»   Полоцкий район, д. Заозерье<br/><br/>ул. Центральная, д. 26а     р/сч. 3012028690016<br/><br/>в флиале № 216 ОАО «АСБ Беларусбанк» <br/><br/> в г.Новополоцке    УНП 391151167  <br/><br/>IBAN BY27AKBB30120286900162100000<br/><br/>BIC:AKBBBY21216   <br/><br/>дир. Чумаченко С.Г. на основании Устава ;;;;Антон;Гарантийные обязательства
42995;321;[HTML]Просим выставить счет на плинтус (1.53.103 плинтус 5шт.), клей и замазку.<br/><br/>ООО «ФОТИДА»   Полоцкий район, д. Заозерье<br/><br/>ул. Центральная, д. 26а     р/сч. 3012028690016<br/><br/>в флиале № 216 ОАО «АСБ Беларусбанк» <br/><br/> в г.Новополоцке    УНП 391151167  <br/><br/>IBAN BY27AKBB30120286900162100000<br/><br/>BIC:AKBBBY21216   <br/><br/>дир. Чумаченко С.Г. на основании Устава ;"[HTML]Антон, добрый день.<br/>Спасибо за заказ. Компания Европласт имеет официального представителя со складом и с наличием товара на складе. Ваш заказ перенаправила дилеру. Вам в ближайшее время позвонят. Ниже контакты;<br/>Беларусь<br/>Минск<br/>Товарищество собственников Пономаренко, 35 А<br/>ЧТУП ""Салон интерьера""<br/>Товарищество собственников Пономаренко, 35 А<br/>улица Пономаренко, 35А, оф. 103<br/>Ресторан ""СОЧИ""<br/>Тел.: +375 (17) 202-20-00, +375 (44) 575-06-97<br/>dekor-si@mail.ru<br/>Время работы:<br/>Будни	- 09:00 - 18:00<br/>Суббота	- 10:00 - 17:00<br/>Воскресенье	- Выходной<br/>URL: http://www.dekorus.by/<br/>Приятных Вам покупок.";23.04.2018 12:48:48;Галина Гроян;Антон;Работа магазинов
42996;317;[HTML]Добрый день. Заинтересовала  Ваша продукция. Хотим с вами сотрудничать. Как происходит данная схема сотрудничества? ;"[HTML]Добрый день, Инна Николаевна.<br/>Благодарим Вас за вопрос. Компания Европласт продает архитектурный декор в регионах через дилеров.<br/>Нашим официальным представителем в Перми является компания ""Стройинтер"". По всем вопросам сотрудничества обращайтесь, пожалуйста, к дилеру. Ниже контакты:<br/>Пермский край<br/>Пермь<br/>Салон ""Декор центр""<br/>ЗАО ""Стройинтер""<br/>улица Ленина, д. 15<br/>Тел.: +7 (342) 219-05-70, +7 (342) 219-05-71<br/>stroyinter-dir@yandex.ru<br/>Время работы:<br/>Будни	- 09:00 - 20:00<br/>Суббота	- 10:00 - 18:00<br/>Воскресенье	- Выходной<br/>Приятного Вам сотрудничества!";23.04.2018 12:27:52;Галина Гроян;Инна Николаевна;Работа магазинов
43003;323;"[HTML]Добрый день! <br/>Подскажите какое количества клея и крепежа мне понадобиться на данные изделия. Карниз 4.01.301-99,15 м.п.; 4.91.003-92,6 м.п.. <br/>Фриз 4.03.201-84,4 м.п. <br/>Наличник 4.84.004-217 м.п. Подоконный элемент-50,44 м.п.";"[HTML]Светлана, добрый день!<br/>Клея на Ваш объем потребуется: Клей Европласт универсальный 290 мл - 91 шт; Клей Европласт стыковочный 290 мл.<br/>В зависимости от места крепления карниза, Вам понадобится следующее кол-во крепежа: саморез (оцинкованный) 3 шт на одно изделие, уголок алюминиевый (40 см) на изделие. Для фриза и наличника : саморез (оцинкованный) 3 шт на изделие. ";23.04.2018 15:29:22;Александра Высоцкая;Светлана;Монтаж изделий
43004;318;[HTML]Заказала элементы для камина, но в декоре не нашла основание (между элементами на пол) камина...чтобы было понятно прикладываю фото. Можно ли у вас заказать?;;;;Людмила;Другое
43045;324;[HTML]дизайн и монтаж;"[HTML]Алексей, спасибо за обращение. С вами свяжется наш специалист.<br>
";25.04.2018 12:37:00;Андрей Чиличихин;алексей;Другое
43061;325;[HTML]Добрый день, Подскажите представительства вашей продукции во Франции. И можно ли оформить заказа в Москве с доставкой во Францию;"[HTML]Екатерина, добрый день.<br>
С вами свяжется наш специалист по Франции<br>";25.04.2018 12:37:00;Андрей Чиличихин;Екатерина;Другое
43069;326;[HTML]Добрый день.<br/>Нас интересуют декоративные столбы, закрыть метало каркас веранды.;;;;Ольга;Ассортимент и уточнение по размерам
43070;326;[HTML]Добрый день.<br/>Нас интересуют декоративные столбы, закрыть метало каркас веранды.;"[HTML]Ольга, добрый день.<br/>Благодарим за вопрос. Консультацию Вы можете получить у официального дилера Европласта по Ленинградской области, контакты:<br/>PITERRA<br/>ООО ""Питерра""<br/>Московский проспект, д. 111, 1 этаж<br/>Тел.: +7 (812) 319-88-88, доб. 702,732,752<br/>salonM111@piterra.ru<br/>Время работы:<br/>Будни	- 10:00 - 20:00<br/>Суббота	- 10:00 - 20:00<br/>Воскресенье	- 10:00 - 18:00<br/>Без выходных<br/>URL: http://www.piterra.ru/<br/>Приятных Вам покупок.";24.04.2018 18:21:09;Галина Гроян;Ольга;Другое
43109;327;[HTML]Здравствуйте! Хотела бы уточнить вашу почту. Я архитектор. Наша компнаия закладывает ваши изделия в проект (Москва). Нам необходимо КП. Куда я могу отправить запрос на КП. Файл прикрепила;"[HTML]Добрый день, Светлана.<br/>Благодарю Вас за проявленный интерес к декору нашей торговой марки.<br/>Продажу и продвижение декора ТМ «Европласт» в регионах РФ компания ООО «Декор» осуществляет через своих официальных представителей – дилерские компании, содержащие склады с наличием продукции в регионе. <br/>По всем вопросам, связанным с декором ТМ «Европласт» во Владимирской области, в т. ч. и по вопросам приобретения, Вы можете обращаться к нашему официальному представителю. Во Владимире и Владимирской области это компания ООО «Планета Декора». Головной склад и офис компании находятся в г. Раменское, Московской области:<br/><br/>«ЕВРОПЛАСТ-ВЛАДИМИР»<br/>ООО ""ПЛАНЕТА ДЕКОРА""<br/>Тел.: +7 (499) 755-52-27<br/>info@planeta-decora.ru<br/>www.planeta-decora.ru<br/><br/>Оперативный склад и офис компании в г. Владимир:<br/><br/>«ЕВРОПЛАСТ-ВЛАДИМИР»<br/>Интерьерная компания Объект<br/>улица Студеная гора, д. 34-А <br/>Тел.: +7 (499) 755-52-27, +7 (926) 274-70-37<br/>info@planeta-decora.ru<br/>www.planeta-decora.ru<br/><br/>Директор компании ООО «Планета Декора» - Смышляев Сергей Юрьевич, +7 926 274 70 37.<br/><br/>Вам лёгких и результативных переговоров и хорошей стройки!<br/><br/>С уважением,<br/>Рудыкин Дмитрий <br/>Региональный менеджер <br/>ООО ""Декор""<br/> <br/>+7 903  103 47 66<br/>+7 499 755 85 85, доб.201<br/>D.Rudykin@decor-evroplast.ru<br/>www.evroplast.ru<br/>Instagram: decor_evroplast<br/>Facebook : https://www.facebook.com/decor.evroplast<br/><br/>";25.04.2018 11:19:03;Дмитрий Рудыкин;Светлана;Другое
43117;329;"[HTML]Добрый день! Уточните пожалуйста габариты алюминиевого уголка на изделия 4.01.301; 4.91.003 и габариты оцинковочных саморезов ";[HTML]Светлана, добрый день! <br/>Уголки используются 3-4 см <br/>Саморезы от 120 мм (в зависимости от вида и крепления элемента).<br/>Подробное описание крепления фасадных элементов отправлены Вам на электронную почту.<br/>;25.04.2018 12:28:16;Александра Высоцкая;Светлана;Монтаж изделий
43152;330;[HTML]Добрый день! Я являюсь представителем   оптовой строительной компании в г. Харьков, Украина. У нас есть очень крупный заказ по Вашему продукту. Интересует вопрос сотрудничества и покупки Вашего товара. Свяжитесь со мной любым удобным для Вас способом. Заранее благодарна за оперативный ответ!;;;;Мария ;Другое
43217;331;[HTML]Существует ли система скидок при крупных заказах? ;"[HTML]Екатерина, добрый день.<br/>Благодарим за вопрос. Консультацию по системе скидок Вы можете получить у официального дилера Европласта по Ленинградской области, контакты:<br/>PITERRA<br/>ООО ""Питерра""<br/>Московский проспект, д. 111, 1 этаж<br/>Тел.: +7 (812) 319-88-88, доб. 702,732,752<br/>salonM111@piterra.ru<br/>Время работы:<br/>Будни	- 10:00 - 20:00<br/>Суббота	- 10:00 - 20:00<br/>Воскресенье	- 10:00 - 18:00<br/>Без выходных<br/>URL: http://www.piterra.ru/<br/>Приятных Вам покупок. ";26.04.2018 16:57:17;Галина Гроян;Екатерина;Другое
43266;332;[HTML]Добрый день. Цена молдингов и карнизов указана за метр погонный или за палку?;"[HTML]Добрый день, Татьяна.<br/><br/>Цена на карнизы и молдинги указана за одну штуку. Длина погонажных элементов декора ТМ ""Европласт"": карнизов, молдингов, плинтусов 2000 мм (2 метра)<br/><br/>Получить консультацию по нашей продукции в Брянске Вы можете в салонах наших официальных представителей:<br/><br/>Компания ""Империя Декора"", <br/>Торговый центр ""Аэропарк"", ул. Объездная д. 30, этаж 2<br/>Тел.: +7 (4832) 30-99-57, +7 (4832) 30-99-57       imperiya_dekora32@mail.ru<br/>Торговый Центр "" Мебель&Дом "", ул. Красноармейская д. 128<br/>Тел.: +7 (4832) 41-99-57, +7 (4832) 41-99-57   imperiya_dekora@mail.ru<br/><br/>Арт-студия ""Карнавал Красок"", <br/>Ул. Октябрьская, 42 Тел.: +7 (4832) 59-94-41, +7 (4832) 74-98-74   dekobryansk@mail.ru<br/><br/>Вам лёгких и результативных переговоров и хорошей стройки!";27.04.2018 11:58:33;Дмитрий Рудыкин;Татьяна;Другое
43397;333;[HTML]Добрый день. Проинструктируйте, пожалуйста, как устанавливаются плинтусы Европласт при стеновой кладке из декоративного кирпича?Спасибо!;[HTML]Добрый день, монтаж изделий на декоративный кирпич производится без изменений, так-же монтируется на монтажный клей (если это в помещении) и соединяются стыковочным клеям между собою. Зазор между декором и кирпичом, проходить нудно именно тем клеям на который клеили.<br/><br/>Для информации: <br/>В интерьере монтируйте на монтажный клей Европласт<br/>На фасаде на универсальный клей Европласт.<br/>Стыковочный клей один Европласт - стыковочный, он подходит как для интерьера так и для фасада.;03.05.2018 12:56:29;Александр Чекунов;Юлия;Монтаж изделий
43495;334;[HTML]Добрый день. Подскажите как происходит процесс монтажа декоративных панелей? просто на клей?<br/><br/>и какой расход клея приблизительно будет?;[HTML]Добрый день. Декоративные панели монтируются на монтажный клей и соединяются между собою стыковочным клеем.<br/>1 балон монтажного клея идет на 4 панели<br/>1 балон стыковочного клея 290мл. идет на 6 панелей.<br/>Это приблизительный расчет клея, на расход влияет ровность стены на которую планируется устанавливать панели.;03.05.2018 12:45:58;Александр Чекунов;Кира;Монтаж изделий
43568;335;[HTML]скажите салон-магазин на ленина уже не работает?и где сейчас склад,тк по улице тибетской он уже не находится!!на сайте устаревшая информация;"[HTML]Андрей, доброе утро.<br/>Спасибо за обращение. Сообщаю Вам, что салон на ул. Ленина  не работает, склад на ул. Тибетской в процессе переезда, скоро на сайте появится новый адрес склада.<br/>Основной и неизменный салон с небольшим складом, где Вам всегда рады и всегда ждут,  находится по адресу:<br/><br/>Ростов-на-Дону<br/>""Салон Декор""<br/>ИП Левичев С.В.<br/>улица Красноармейская, д. 87/50, 1 этаж<br/>Между проспектом Соколова и проспектом Ворошиловским по ул. Красноармейской<br/>Тел.: +7 (863) 220-89-80, +7 (863) 232-39-21<br/>decor-rostov@mail.ru<br/>Время работы:<br/>Будни - 09:00 - 18:00 <br/>Суббота - 10:00 - 15:30 <br/>Воскресенье - Выходной <br/>URL: http://www.kupidekor.ru/<br/><br/>Приятных Вам покупок!<br/><br/>";04.05.2018 09:54:20;Галина Гроян;андрей;Другое
43588;336;[HTML]Добрый день. Меня зовут Елена.-Студия инерьерного дизайна в Балаково Саратовской обл.<br/><br/>Уточните работаете ли с дизайнерами и на каких условиях. занимаемся комплектацией своих объектов.<br/><br/> В данный моментунас проект: Ресторан. в классическом стиле.  Планируем использовать лепнину. Европласт;"[HTML]Елена, доброе утро.<br/>Рады знакомству и очень благодарны Вам за обращение. Да, сотрудничаем.  На каких условиях, Вы сможете узнать у нашего официального представителя в Саратове. <br/>С удовольствием сообщаем Вам, что нашим официальным представителем на территории Саратовской области является компания ООО ""Дизайн Паркет"". Представительство имеет склад продукции, обеспечивающий возможность отгрузить необходимые товары клиенту «здесь и сейчас», ниже контакты. Приятного Вам сотрудничества.<br/><br/>Саратовская область<br/>Саратов<br/>Центр Лепного Декора<br/>ООО «Дизайн-Паркет»<br/>улица Московская, д. 11, этаж 1<br/>Салон находится на ул.Московская, между ул.Чернышевского и ул.Лермонтова<br/>Тел.: +7 (8452) 74-03-17, +7 (937) 225-04-30<br/>dezain-parket@bk.ru<br/>Время работы:<br/>Будни - 09:00 - 19:00 <br/>Суббота - 09:00 - 17:00 <br/>Воскресенье - 09:00 - 17:00 <br/>Без выходных <br/>URL: http://www.design-parket.com/<br/><br/>";04.05.2018 10:25:08;Галина Гроян;Елена;Другое
43601;337;[HTML] Галина, уточните пожалуйста. розничные цены  у Вас и в Саратове одинаковые.;[HTML]Елена, ещё раз добрый день.<br/>Да, розничные цены в Москве и в Саратове  одинаковые.<br/>Взаимовыгодного вам сотрудничества!!!;04.05.2018 12:22:02;Галина Гроян;Елена;Другое
43629;338;[HTML]Добрый день,<br/>Вам пишет Нериюс из Америки,предстовляю строителную компаию,  меня интересует Молдинги.<br/><br/>Пристиог фаил с ресунком  - можете таких зделать?<br/>Если можете пришлите каталог вашеи продукции. <br/><br/>напишите цены ? ( на доларах)<br/><br/>буду ждать ответа <br/><br/>Нериюс <br/><br/>;"[HTML]Нериюс, здравствуйте.<br/>Благодарим Вас за обращение. Сообщаем Вам, что для рассмотрения возможности изготовления изделия (формы) под заказ необходимо ответить на следующие вопросы:<br/>1) Какое количество изделий надо изготовить?<br/>2) Есть возможность отправить чертежи (эскиз, шаблон) минимум в 2-х проекциях, со всеми размерами  в миллиметрах? Если да, то прошу отправить их на электронный адрес: G.Groian@decor-evroplast.ru<br/>Изделия ""Европласт"" указанные на нашем сайте  есть в наличии на складе и если Вам нужен  каталог по этим изделиям можно отправить, укажите, пожалуйста, адрес  куда его нужно отправить. <br/>Ждем Ваших ответов. Хорошего Вам дня.<br/><br/><br/><br/>";04.05.2018 18:01:43;Галина Гроян;Nerijus;Другое
43681;339;[HTML]как пересчитать погонные метры в штуки это по молдингу 1.50.160;"[HTML]Флора, доброе утро.<br/>Благодарим за вопрос. Подробную консультацию Вы можете получить у официального дилера Европласта по Ленинградской области, ниже контакты:<br/>PITERRA<br/>ООО ""Питерра""<br/>Московский проспект, д. 111, 1 этаж<br/>Тел.: +7 (812) 319-88-88, доб. 702,732,752<br/>salonM111@piterra.ru<br/>Время работы:<br/>Будни - 10:00 - 20:00<br/>Суббота - 10:00 - 20:00<br/>Воскресенье - 10:00 - 18:00<br/>Без выходных<br/>URL: http://www.piterra.ru/<br/>Приятных Вам покупок.";07.05.2018 10:11:31;Галина Гроян;флора;Другое
43686;340;[HTML]Здравствуйте,<br/><br/>Возможно ли применять ваш фасадный декор на каркасном доме, облицованном деревянной имитацией бруса?<br/><br/>Как в таком случае будет крепится венчающий карниз?<br/><br/>Спасибо;[HTML]Добрый день, Олег.<br/>Применять фасадный материал можно. Монтаж производится при помощи спец.клеев (Клей Европласт Универсальный, Клей Европласт Стыковочный) дополнительно используются саморезы и алюминиевый профиль. Описание монтажа фасадных элементов в прикрепленном файле.  ;07.05.2018 17:51:12;Александра Высоцкая;Олег;Монтаж изделий
43806;341;[HTML]Добрый день! Подскажите,возможен ли демонтаж панелей с дальнейшим использованием их же? спасибо!;[HTML]Добрый день, Юлия!<br/>При монтаже панелей используется большое количество клея, в связи с чем демонтаж произвести сложно. Если у вас получится демонтировать материал без изломов, дальнейшее использование возможно.  ;08.05.2018 09:49:19;Александра Высоцкая;Юлия;Монтаж изделий
43807;342;[HTML]Здравствуйте! С праздником! Я с города Актау, казахстан. Занимаюсь продажей ламинатов, паркетов, дверей, ручек и т.д.  Пишу по поводу сотрудничества/ оптовый закуп. В каких городах есть ваши дилеры в Казахстане? Спасибо. Жду ответа, предложений.;;;;сабира ;Претензии и вопросы по заказам и сервису
43810;342;[HTML]Здравствуйте! С праздником! Я с города Актау, казахстан. Занимаюсь продажей ламинатов, паркетов, дверей, ручек и т.д.  Пишу по поводу сотрудничества/ оптовый закуп. В каких городах есть ваши дилеры в Казахстане? Спасибо. Жду ответа, предложений.;"[HTML]Сабира, добрый день.<br/>Благодарим Вас за обращение, а также поздравляем с праздником. Рады знакомству и сообщаем  Вам, что нашим официальным представителем на территории Казахстана является компания ТОО ""Эволюшн Технолоджис"", ниже контакты. Представительство имеет склад продукции, обеспечивающий возможность отгрузить необходимые товары клиенту «здесь и сейчас». Приятного Вам сотрудничества.<br/><br/>Казахстан<br/>Алматы<br/>Салон Премьера<br/>TOO Evolution Technologies<br/>Жилой дом<br/>ул. Абдуллиных, д. 64 (шестиэтажное здание)<br/>угол ул.Богенбай батыра<br/>Тел.: +7 (707) 212-77-17, +7 (7272) 22-10-55<br/>evokz@mail.ru<br/>Время работы:<br/>Будни - 10:00 - 19:00 <br/>Суббота - 10:00 - 19:00 <br/>Воскресенье - Выходной <br/>URL: http://www.evp.kz/<br/><br/>";08.05.2018 09:23:32;Галина Гроян;сабира ;Работа магазинов
43827;343;[HTML] Заказ №06970 изменен карниз 1.50.258-5шт<br/>карниз 1.50.257-2шт<br/>карниз 1.50.226-6шт<br/>;"[HTML]Добрый день, Андрей.<br/><br/>Ваши пожелания по изменению состава и количества элементов в заказе №06970 - Старый Оскол приняты и перенаправлены нашему официальному дилеру в Белгород.<br/>Обслуживание заказа в вашем регионе производит наш официальный дилер ООО ""Европласт-Белгород АрхДекор"".<br/>Справочную информацию Вы можете получить по телефону: +7 (4722) 20 75 82, <br/>E-mail: vkhim2008@yandex.ru<br/>Ответственный сотрудник компании-дилера свяжется с Вами в самое ближайшее время...";08.05.2018 15:22:19;Дмитрий Рудыкин;Андрей;Другое
43882;344;[HTML] Здравствуйте! <br/>Выполняет ли  ваше производство заказы по эскизам заказчика, в частности изготовить плинтус из полиуретана?;[HTML]Добрый день, Владимир. <br/>Присылайте эскизы и необходимый метраж, мои контакты ниже. В течении трех рабочих дней мы сможем рассмотреть вопрос об изготовление. <br/><br/>С Уважением <br/>Руководитель отдела розничных продаж<br/>Чиличихин Андрей<br/>+ 7 499 755 85 85 доб. 109 <br/>+ 7 926 266 17 65 <br/>A.Chilichihin@decor-evroplast.ru<br/>www.evroplast.ru<br/>Instagram: decor_evroplast<br/>Facebook : https://www.facebook.com/decor.evroplast<br/><br/><br/>;10.05.2018 11:00:02;Андрей Чиличихин;Владимир;Другое
43937;345;[HTML]Сотрудничество с Вашей компанией .;;;;Николай;Ассортимент и уточнение по размерам
