IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP113
"Нижневартовск, Салон &quot;Архитектурный Декор&quot; в ТЦ &quot;Твой дом&quot; ";улица Мира, д. 98 (1 этаж);;;"1. ИП Чащилов  А.П.; 2. ООО ТК ""Архитектурный декор""";"салон ""Архитектурный декор""";83466424324;nv@decor-ad.ru;info@decor-ad.ru;www.decor-ad.ru;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;3168
"Омск, Салон &quot;Арт-Декор&quot; на Герцена ";улица Герцена, д. 36 (4 этаж);"Торговый Дом ""На Герцена""";;ИП Акулинская Ю.В.;Салон Арт-Декор;"3812243021; 3812502600";decorart@mail.ru;artdecor-kit@mail.ru;artdecor-omsk.ru;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;Да;;3172
"Омск, Салон &quot;Арт Декор&quot; на Пушкина ";улица Пушкина, д. 37 (1 этаж);;Пересечение ул. Пушкина и ул. Почтовая;ИП Шелудько А.А.;Салон Арт-Декор;3812501600;ya.art-décor@yandex.ru;artdecor-kit@mail.ru;artdecor-omsk.ru;10:00 - 19:00;10:00 - 19:00;Выходной;Нет;;3172
"Омск, Салон &quot;Европласт&quot; ТК &quot;Кит Интерьер&quot; ";улица 10 лет Октября, д. 182, корп.3 (1 этаж);"ТК ""Кит-интерьер""";;ИП Шелудько А.А.;"Салон ""Европласт""";3812507600;artdecor-kit@mail.ru;artdecor-kit@mail.ru;artdecor-omsk.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3172
"Орел, Магазин &quot;ОБОИ&quot; (ИП Панухник В.Н.) ";Городская, д. 98, этаж 3;"ОАО ""База строительных товаров""";"В здании ""Эстетика интерьера""";ИП Панухник В.Н.;"Магазин ""ОБОИ""";"4862714894; 4862594149";egerasimova@57.leso-torg.ru;magoboi4@57.leso-torg.ru;www.leso-torg.ru;08:00 - 20:00;08:00 - 20:00;08:00 - 17:00;Да;;3176
"Пермь, ООО &quot;Визард-Стиль&quot; ";ул. Н. Островского, 44а, 2-этаж;отдельно стоящее здание;а/заправка на ул. Тихой;"ООО ""ВИЗАРД- ИНТЕРЬЕРНЫЕ РЕШЕНИЯ""";ВИЗАРД;3422141400;plotnikov_wizard@mail.ru;plotnikov_wizard@mail.ru;;10:00 - 19:00;11:00 - 18:00;Выходной;Нет;;3182
"Пермь, Салон &quot;Декор-Центр&quot; ";улица Ленина, д. 15;;;"ЗАО ""Стройинтер""";"Салон ""Декор центр""";"3422190570; 3422190571";stroyinter-dir@yandex.ru;stroyinter-dir@yandex.ru;;09:00 - 20:00;10:00 - 18:00;Выходной;Нет;;3182
"Пермь, Салон &quot;Декор-Центр&quot; ТЦ &quot;Гудвин&quot; ";улица Уральская, д. 63, пав. 1;"ТЦ ""Гудвин""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422640364;;;;10:00 - 20:00;10:00 - 20:00;11:00 - 19:00;Да;;3182
"Пермь, Салон &quot;Декор-Центр&quot; ТЦ &quot;Евразия&quot; ";улица Героев Хасана, д. 56;"ТЦ ""Евразия""";слева от эскалатора;"ЗАО ""Стройинтер""";"""Декоративка""";"3422113330; 3422113311";;;;10:00 - 21:00;10:00 - 21:00;10:00 - 20:00;Да;;3182
"Ростов-на-Дону, Салон &quot;Декор&quot; ";улица Красноармейская, д. 87/50, 1 этаж, стенд 1;;Между проспектом Соколова и проспектом Ворошиловским по ул. Красноармейской;ИП Левичев С.В.;"""Салон Декор""";"8632208980; 8632323921";decor-rostov@mail.ru;decor-rostov@mail.ru;evroplast-rostov.ru;09:00 - 18:00;10:00 - 15:30;Выходной;Нет;;3187
"Саратов, ООО &quot;Дизайн-Паркет&quot; ";улица Московская, д. 11, этаж 1;;Салон находится на ул.Московская, между ул.Чернышевского и ул.Лермонтова;ООО «Дизайн-Паркет»;Центр Лепного Декора;"8452250430; 9372250430";dezain-parket@bk.ru;dezain-parket@bk.ru;www.design-parket.com;09:00 - 19:00;09:00 - 17:00;09:00 - 17:00;Да;;3194
"Санкт-Петербург, Piterra Московский 111 (ООО &quot;Питерра&quot;) ";Московский проспект, д. 111, 1 этаж;2 салона;;"ООО ""Питерра""";PITERRA;"8124383940; доб. 702,732,752";shop@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;10:00 - 18:00;10:00 - 18:00;Да;;3196
"Санкт-Петербург, Piterra Интерио (ООО &quot;Питерра&quot;) ";ул. Полевая Сабировская, д. 54А, 2 этаж, секция 245;Торговый комплекс «Интерио»;;"ООО ""Питерра""";PITERRA;"8124383940; доб. 703";shop@piterra.ru;shop@piterra.ru;www.piterra.ru;11:00 - 21:00;11:00 - 21:00;11:00 - 21:00;Да;;3196
"Санкт-Петербург, Piterra Ланской (ООО &quot;Питерра&quot;) ";ул. Студенческая, д. 10, 1 этаж, Секция А-1;Торговый комплекс «Ланской»;;"ООО ""Питерра""";PITERRA;"8124383940; доб. 701, 724";shop@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3196
"Ставрополь, ООО &quot;Отан&quot; Салон-магазин &quot;Три Д&quot; (ул. Тухачевского) ";улица Тухачевского, д. 12А;Рядом рынок «Тухачевский»;Напротив ТЦ «Москва»;ИП Кулинцева Е.С.;Три Д: Дом, Дизайн, Декор;"8652721829; 8652724123";info@salon3d.ru;info@salon3d.ru;www.salon3d.ru;10:00 - 19:00;10:00 - 16:00;10:00 - 16:00;Да;;3204
"Ставрополь, ООО &quot;Отан&quot; Салон-магазин &quot;Три Д&quot; (ОРТЦ &quot;Ставрополь&quot;) ";улица Доваторцев, д. 61;Торговый комплекс «ОРТЦ»;;ИП Кулинцева Е.С.;Три Д: Дом, Дизайн, Декор;"8652515050; 8652555310";tridnew@yandex.ru;;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3204
"Тольятти, Салон &quot;Премьер&quot; ";улица Жукова, д. 2, оф. 3;;;ИП Рыбалка В.Н.;Салон Премьер;"8482539030; 9278911281";premier_tolgatti@rambler.ru;premier_tolgatti@rambler.ru;decor163.ru;09:00 - 18:00;Выходной;Выходной;Нет;;3213
Тула,  Магазин ЛЕПНИНА (И.П. Новиков Р.В.) ;ул. Мосина, д. 29А, 1 этаж, пав. 102;Торговый комплекс Мастер, 1 этаж;;И.П. Новиков Р.В.;Магазин ЛЕПНИНА;"9255094511; 9308961122; 9255060319";lepnina89@mail.ru;lepnina89@mail.ru;www.europlast-lepnina.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3217
"Уфа, Салон &quot;Розет&quot; (ул. Кирова) ";улица Кирова, д. 34 (1 этаж);Салон Розет;;ИП Розет Р.Р.;Салон Розет;"3472768513; 9173755100";rozetufa@gmail.com;rozetufa@gmail.com;www.ufa-rozet.ru;10:00 - 20:00;11:00 - 18:00;12:00 - 17:00;Да;;3223
"Уфа, Салон &quot;Розет&quot; (Радуга-Экспо) ";Индустриальное шоссе, д. 44/1, 2 этаж, пав. Экспо, секция 2Б;ТВК Радуга-Экспо;рядом с эскалатором;ИП Розет Р.Р.;Салон Розет;"3472922638; 9177651957; 9173444232";rozet-ekspo@mail.ru;rozetufa@gmail.com;www.ufa-rozet.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3223
"Хабаровск, Салон &quot;Текстура&quot; ";улица Дзержинского, д. 65;"салон ""Текстура""";Вход смотрит на Амурский бульвар, с правого торца здания;"ИП Лебедева М.Е. ООО ""Текстура и Дизайн""";"Салон ""Текстура""";84212464040;postmaster@terralux.ru;postmaster@terralux.ru;www.terralux.ru;10:00 - 19:00;10:00 - 16:00;Выходной;Нет;;3228
"Чебоксары, Cалон &quot;Montmartre&quot; (ИП Альхимович Г.А.) ";проспект Максима Горького, д. 26, цокольный этаж;Торговый дом «Респект»;;ИП Альхимович Г.А.;Салон «Montmartre»;"8007075476; 8352202368";montmartre.decorsten@gmail.com;montmartre.decorsten@gmail.com;montmartre-sdel.ru;09:00 - 18:00;09:00 - 18:00;Выходной;Нет;;3231
"Челябинск, ООО &quot;Дизайн-стиль&quot; ";ул. 8 Марта ,  д. 56, 1 этаж;;;"ООО ""Дизайн-Стиль""";Дизайн-Стиль;"9518099044; 9058342218";dzs2006@mail.ru;dzs2006@mail.ru;designstyle74.ru;10:00 - 17:00;Выходной;Выходной;Нет;;3233
"Чита, Сеть магазинов &quot;Респект&quot; ";улица Нечаева, д. 35;магазин Респект;;"ООО ""Респект ЛТД""";Респект;3022317635;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 18:00;10:00 - 18:00;Выходной;Нет;;3235
"Минск, &quot;ДАЛИ&quot;, ул. Пономаренко, 35А, оф. 103 (ЧТУП &quot;Салон Интерьера&quot;) ";улица Пономаренко, 35А, оф. 103;Товарищество собственников Пономаренко, 35 А;"Ресторан ""СОЧИ""";"ЧТУП ""Салон интерьера""";Товарищество собственников Пономаренко, 35 А;"375172022000; 375445750697";dekor-si@mail.ru;dekor-si@mail.ru;www.dekorus.by;09:00 - 18:00;10:00 - 17:00;Выходной;Нет;;3242
"Минск, ТЦ &quot;Град&quot;, ЧТУП &quot;Салон интерьера &quot;Декор&quot; ";ул. Тимирязева, 123, кор. 2, 2-й этаж;"ТЦ ""Град""";Рынок Ждановичи;"ЧТУП ""Салон интерьера ""Декор""";"ТЦ ""Град""";"375172596316; 375291068560";dekor-si@mail.ru;dekor-si@mail.ru;www.domdekor.by;10:00 - 17:00;10:00 - 17:00;10:00 - 17:00;Нет;Понедельник;3242
"Усть-Каменогорск, Салон &quot;Nota Bene&quot; (ТОО NS Tarde) ";улица Орджоникидзе, д. 48 (1 этаж);Жилой дом;;"ТОО ""NS Trade""";"Салон ""Nota Bene""";7772223817;region2@evp.kz;zakaz@evp.kz;;09:00 - 19:00;Выходной;Выходной;Нет;;3247
"Казань, ТК &quot;Савиново&quot; (Статус Кво) ";улица Ямашева, д. 93, 2 этаж;"Торговый Комплекс ""Савиново""";По экскалатору на 2 этаж и сразу налево наш салон;Статус Кво;ЕВРОПЛАСТ для красоты стен и потолков ЛЕПНИНА;9872263355;zakaz@evroplast116.ru;zakaz@evroplast116.ru;www.evroplast116.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;Да;;3260
"Москва, Магазин &quot;Лепнина&quot; в ТК &quot;Миллион мелочей&quot; (ИП Алекперов В.Г.) ";"ул. Пришвина д. 26, ТК ""Миллион мелочей"", павильон № С04/1";"ТК ""Миллион Мелочей""";;ИП Алекперов В.Г.;"Магазин ""Лепнина""";9269102057;decorru@yandex.ru;decorru@yandex.ru;www.1decor.ru;09:00 - 20:45;09:00 - 20:45;09:00 - 20:45;Да;;3109
"Оренбург, Интерьерный салон &quot;Viva Дизайн&quot; ";ул.Цвиллинга, д. 42 (1 этаж);;;ООО «Вива Дизайн»;"Интерьерный салон ""VIVA Design""";"3532408000; 3532599293";viva-design09@mail.ru;viva-design09@mail.ru;www.viva-interior.ru;10:00 - 19:00;10:00 - 16:00;Выходной;Нет;;3178
"Москва, ТЦ &quot;Метр Квадратный&quot; (ООО &quot;Деколепнина&quot;) ";Волгоградский проспект, д.32, корпус 25, 1 этаж, павильон № 229-230;"ТЦ ""Метр Квадратный""";;"ООО ""Деколепнина""";;9652511869;metr@decolepnina.ru;metr@decolepnina.ru;www.decolepnina.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3109
"Баку, Салон &quot;Elit Interior&quot;, ул. Ziya Bunyatova (ИП Алекперов В.Г.) ";улица Ziya Bunyatova, 90;"Салон ""Elit Interior""";;ИП Алекперов В.Г.;"Салон ""Elit Interior""";994503556666;decorru@yandex.ru;decorru@yandex.ru;;;;;Нет;;3287
"Москва, ТК &quot;ЭлитСтройМатериалы&quot; (ИП Алекперов  В.Г.) ";"51 км МКАД, разв. ""Очаково-Заречье"", стр.2, ТК ""ЭлитСтройМатериалы"",  павильон № А-14";"ТК ""ЭлитСтройМатериалы""";;ИП Алекперов  В.Г.;"магазин ""Лепнина""";4957107964;decorru@yandex.ru;decorru@yandex.ru;www.1decor.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3109
Великий Новгород, Салон «ОБОИ ЭРИСМАНН» (ИП Вакурова Л.М.) ;улица Ломоносова, д. 20, к. 1, стенд 2;Собственное встроенное помещение;;ИП Вакурова Л.М.;Салон «ОБОИ ЭРИСМАНН»;9116075445;salon38@mail.ru;38pr@mail.ru;;10:00 - 20:00;10:00 - 20:00;10:00 - 18:00;Да;;3299
"Киров, ТЦ. &quot;СтройРемо&quot; (ИП Кузницына Е.А.) ";улица Труда, д. 71, 2 этаж;"Торговый Центр ""СтройРемо""";;ИП Кузницына Екатерина Андреевна;"Торговый Центр ""СтройРемо""";8332432500;office@decorika43.ru;office@decorika43.ru;;09:00 - 18:00;Выходной;Выходной;Нет;;3302
"Ярославль, Магазин &quot;Элит Интерьер&quot; (ИП Алекперов В.Г.; ИП Парецкий М.Г.) ";улица Полушкина роща, д. 9, стр. 14, пав. А1-3, А1-4, А1-22;ОТК Тандем;;ИП Алекперов В.Г.;Элит Интерьер;9622123959;yar780781@gmail.com;lepnina76@gmail.com;www.1decor.ru;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;3237
"Кострома, Группа компаний &quot;Кредо&quot; ";Кинешемское шоссе, д. 31;;;ИП Кувтырева Л.М.;Группа компаний «Кредо»;"4942392026; 9109292026";lepnina44@gmail.com;lepnina44@gmail.com;;09:30 - 18:00;10:00 - 16:00;Выходной;Нет;;3316
"Владимир, Интерьерная компания &quot;Объект&quot; ";улица Студеная гора, д. 34-А;Интерьерная компания Объект;За бизнес-центром;ИП Смышляев С.Ю.;ИК Объект;"4997555227; 9262747037";info@planeta-decora.ru;info@planeta-decora.ru;www.planeta-decora.ru;10:00 - 18:00;Выходной;Выходной;Нет;;3321
"Ульяновск, ООО &quot;РАДА&quot; ";9 -й проезд Инженерный, д. 30, строение 7;Промышленная зона;;"ООО ""РАДА""";"ООО ""РАДА""";"8422260011; 8422250681";ul.evroplast@gmail.com;ul.evroplast@gmail.com;;08:00 - 17:00;Выходной;Выходной;Нет;;3326
"Липецк, Декор-Центр &quot;Ар-Декор&quot; ";улица Петра Смородина, д. 9а, пав. 19;"Дизайн-Центр ""Ар-Декор""";Октябрьский рынок;"ООО ""Ар-Декор""";"Дизайн-Центр ""Ар-Декор""";4742452933;ardekor@rambler.ru;ardekor@rambler.ru;ardekor@rambler.ru;10:00 - 19:00;10:00 - 15:00;Выходной;Нет;;3331
"Сухум, Магазин-салон &quot;Лепнина и Декор&quot; ";улица Конфедератов, д. 23;;На пересечении с ул. Лакоба;ИП Глушкова С.В.;"Магазин-салон ""Лепнина и Декор""";"9409930669; 9409997070";ra_simone@mail.ru;ra_Lepnina_dekor@mail.ru;;10:00 - 18:00;10:00 - 16:00;Выходной;Нет;;3336
"Архангельск, ООО &quot;Дизайн-студия &quot;Лигрант&quot;&quot; ";ул. Набережная Северной Двины, д.71, 1 этаж;ЖК «Омега Хаус»;;"ООО ""Дизайн-студия ""Лигрант""""";"Дизайн-студия ""Лигрант""";8182475248;arh.evroplast@inbox.ru;arh.evroplast@inbox.ru;Лигрант.рф;10:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;3340
Кокшетау, ИП Гаврилов  ;улица Ауельбекова, д.168, 1 этаж;"ТД ""Декор""";;ИП Гаврилов ;;"7070455694; 7073148548";region2@evp.kz;zakaz@evp.kz;;10:00 - 19:00;Выходной;Выходной;Нет;;3350
Элиста, Стройарсенал ;ул.Ленина, д. 7, стр.1 (этаж 1-2);Торговый дом;;ИП Железная Л.Н.;"Торговый дом ""Стройарсенал""";8472231049;stroyarsenal08@mail.ru;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3431
"Череповец, Строительный центр &quot;Квартирный вопрос&quot; (ИП Сальцман И.И.) ";Шекснинский пр-т, д. 25;;;ИП Сальцман И.И.;"Строительный центр ""Квартирный вопрос""";"9535203977; 8202640248";ks-studiya@yandex.ru;evroplast.35@mail.ru ;;11:00 - 19:00;11:00 - 16:00;Выходной;Нет;;3443
"Ишим, Центр отделочных материалов &quot;СтройМаг&quot; ";улица Гаранина, д. 1;СтройМаг, магазины отделочных материалов;;ИП Филипюк Елена Васильевна;СтройМаг, магазин отделочных материалов;"3455172869; 3455174020";stroi-mag2@yandex.ru;stroi-mag2@yandex.ru;;09:00 - 19:00;09:00 - 18:00;09:00 - 18:00;Да;;3456
"Курган, &quot;Зауральский Домострой&quot; Дизайн-студия «Строй de Lux»  ";ул. Куйбышева, д. 36, стр. 3 (2 этаж), образцы, инсталляция;ТЦ «Зауральский ДомоСтрой»;;ИП Сергеева А.А.;Дизайн-студия «Строй de Lux» ;"3522601643; 3522601642";studia5@domstroy45.ru;info@evroplast-ekaterinburg.ru ;дизайнстудия45.рф;09:00 - 19:10;10:00 - 16:00;10:00 - 16:00;Да;;3481
Курган, магазин Артекс (ИП Горбунов П.Ю.) ;ул. Куйбышева, д. 36/5 (1 этаж), образцы, инсталляция;"магазин ""Артекс""";;ИП Горбунов П.Ю.;"магазин отделочных материалов ""Артекс""";3522465491;artex.santeh@yandex.ru;info@evroplast-ekaterinburg.ru ;;09:00 - 19:00;10:00 - 17:00;10:00 - 16:00;Да;;3481
"Курск, &quot;Дом обоев&quot; на Добролюбова (ИП Шаталова Т.Л.) ";улица Добролюбова, д. 15а, 2 этаж;Торговый центр;;ИП Шаталова Т.Л.;Дом обоев;"4712396136; 4712396135";oboidom@yandex.ru;;;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;3154
"Липецк, Дизайн студия &quot;Дольмен&quot; ";улица Верхняя, д. 86а;"Дизайн студия ""Дольмен""";;ИП Филинская;"Дизайн студия ""Дольмен""";"4742376960; 4742376622";;ardekor@rambler.ru;;;;;Нет;;3331
"Липецк, Магазин отделочных материалов &quot;Новый Век&quot; ";переулок Пестеля, д. 38;"Магазин отделочных материалов ""Новый Век""";;;"Магазин отделочных материалов ""Новый Век""";4742333939;;ardekor@rambler.ru;;;;;Нет;;3331
"Липецк, Студия обоев &quot;Ванильное Небо&quot; ";улица Первомайская, д. 77в;;;ИП Трофимов;"Студия обоев ""Ванильное небо""";4742232322;;ardekor@rambler.ru;;;;;Нет;;3331
"Липецк, Торговая компания &quot;Артико Холл&quot; ";улица Водопьянова, д. 17;;;"Торговая компания ""Артико Холл""";"Торговая компания ""Артико Холл""";4742406378;;ardekor@rambler.ru;;;;;Нет;;3331
"Москва, ВК &quot;Росстройэкспо&quot; (ИП Семенюк А.А.) ";Фрунзенская набережная, д. 30, павильон 4, место №80;"ВК ""Росстройэкспо""";;ИП Семенюк А.А.;Салон лепнины;9037215468;zharov1956@bk.ru;;;10:00 - 18:00;11:00 - 17:00;11:00 - 17:00;Да;;3109
"Москва, ВК &quot;Росстройэкспо&quot; (ИП Стрекаловская О.Н.) ";Фрунзенская набережная, д. 30, павильон 4, место №59;;;ИП Стрекаловская О.Н.;;79 151 908 602;;;;;;;Нет;;3109
"Москва, ВК &quot;Росстройэкспо&quot; (ООО &quot;Декор Свет&quot;) ";Фрунзенская набережная, д. 30, павильон 4 место №15;;;"ООО ""Декор Свет""";;74 992 420 493;;;;;;;Нет;;3109
"Москва, ВК &quot;Росстройэкспо&quot; (ООО &quot;ТрэйдЭкспоХолдинг&quot;) ";Фрунзенская набережная, д. 30, павильон  27;;;"ООО ""ТрэйдЭкспоХолдинг""";;"+7 499 2428951; +7 499 2428991";;;;;;;Нет;;3109
Москва, Лепнина ТК Гвоздь (ИП Липадат) ;Волоколамское ш., 103, пав. Б-7;ТК Гвоздь;;ИП Липадат;Лепнина;"9263154602; 9267226081";lipadat@mail.ru;lipadat@mail.ru;;09:00 - 20:00;09:00 - 19:00;09:00 - 19:00;Да;;3109
"Москва, Строительная ярмарка &quot;41 км&quot; (ИП Цыбулева Е.И.) ";44 км. МКАД (внешняя сторона) пересечение Профсоюзной ул. и МКАД, павильоны А 11/2, А 28/2, А 45/2, БВ-8, БВ-28/2, БВ-11/1, Г-7/3, З-7/8, И 12/5, НБ-78, НС13/14, ВТ-1, ТЦ Карусель;"Строительный рынок ""Славянский мир""";;ИП Цыбулева Е.И.;Дом Лепнины;9015194020;cue1977@mail.ru;;;08:30 - 18:30;09:00 - 18:00;09:00 - 18:00;Да;;3109
"Москва, ТЦ &quot;ЭлитСтрой материалы&quot; (ИП Налбантов И.А.) ";"51 км МКАД, разв. ""Очаково-Заречье"", стр.2,  павильон № С-31, В-6";"ТЦ ""ЭлитСтрой материалы""";;ИП Налбантов И.А.;Лепные Декоры ;84957107949;7853505@mail.ru;7853505@mail.ru;www.mstyle.su;10:00 - 18:00;10:00 - 18:00;10:00 - 18:00;Да;;3109
Мытищи, Дом-декора (ИП Кулебякина Т.В.) ;г. Мытищи, Олимпийский пр-т, д. 29, корпус 1, этаж 1 (цокольный);"ТЦ ""Формат""";;ИП Кулебякина Т.В.;Дом-декора;"4955850042; 9859633728";tatiana16.11.08@mail.ru;tatiana16.11.08@mail.ru;www.dom-dekora.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;Да;;3109
"Нижний Тагил, Салон &quot;DERUFA&quot; (ООО &quot;Кристалл&quot;) ";ул. Карла Маркса, д.63а, 1 этаж (инсталляция);Салон магазин;;"ООО ""Кристалл""";Салон DERUFA;"3435410225; 9049845659";dekor-nt@rambler.ru;info@evroplast-ekaterinburg.ru;derufant.ru;09:00 - 18:00;10:00 - 14:00;Выходной;Нет;;3522
Орск, Миал ;проспект Ленина, д. 45;Миал-Орск;;ИП Швабенланд Л.Г.;Миал-Орск;"3537236818; 3537211623";mial-orsk@mail.ru;oksana-gubajdullina@yandex.ru;viva-design56;10:00 - 19:00;10:00 - 19:00;Выходной;Нет;;3547
Первоуральск, студия «ARCHIVISION» (ИП Незговорова А.А.) ;ул. Чкалова, 43 (образцы);;;ИП Незговорова А.А.;студия дизайна интерьеров «ARCHIVISION»;3439221333;archivision@mail.ru;info@evroplast-ekaterinburg.ru ;archi-vision.ru;10:00 - 19:00;11:00 - 17:00;11:00 - 17:00;Да;;3556
"Санкт-Петербург, Салон Piterra Home (ООО &quot;Питерра&quot;) ";ул. Уральская, д. 13;отдельный салон;;ООО ПИТЕРРА;PITERRA HOME;8124383940;shop@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;10:00 - 18:00;10:00 - 18:00;Да;;3196
Тамбов, ИП Дудник И.П. ;улица Советская, д. 191 А;;;ИП Дудник И.П.;ИП Дудник И.П.;89106528893;;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3211
