IE_XML_ID;IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP537;IP_PROP113
3162;Магнитогорск, салон АРХИТЕКТОР (ИП Козлова Н.Б.) ;улица Калинина д.1, этаж 1;Салон;"Бывшее детское кафе ""Сказка""";ИП Козлова Н.Б.;салон АРХИТЕКТОР;3519221899;ldsalon@mail.ru;ldsalon@mail.ru;;10:00 - 19:00;;3161
3165;"Нижний Новгород, Интерьерный салон &quot;Избранное&quot; ";улица Белинского, д. 11/66, 1 этаж;;Напротив парка Пушкина;ИП Негина О.С.;Салон Избранное;"8314213888; 8314211155";evroplast@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;;3163
3166;Нижний Новгород, салон “Decor360”, ИП Негина О.С. ;улица Бекетова, д. 13, 2 этаж;;"Стройцентр ""Бекетов""";ИП Негина О.С.;салон “Decor360”;"8314123130; 9082382424";salon@decor360.ru;;;10:00 - 21:00;;3163
3167;Нижний Новгород, Центр фасадного декора ;улица Белинского, д. 11/66, этаж цоколь;;Напротива парка Пушкина;ИП Негина О.С.;Центр Фасадного декора;8314211155;fasad@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;;3163
3169;"Нижневартовск, Салон &quot;Архитектурный Декор&quot; в ТЦ &quot;Твой дом&quot; ";улица Мира, д. 98 (1 этаж);;;"1. ИП Чащилов  А.П.; 2. ООО ТК ""Архитектурный декор""";"салон ""Архитектурный декор""";83466424324;nv@decor-ad.ru;info@decor-ad.ru;www.decor-ad.ru;09:00 - 19:00;;3168
3173;"Омск, Салон &quot;Арт-Декор&quot; на Герцена (ИП Акулинская) ";улица Герцена, д. 36 (1 этаж);"Торговый Дом ""На Герцена""";;ИП Акулинская Ю.В.;Салон Арт-Декор;"3812243021; 3812502600";decorart@mail.ru;artdecor-kit@mail.ru;artdecor-omsk.ru;10:00 - 20:00;;3172
3174;"Омск, Салон &quot;Арт Декор&quot; на Пушкина (ИП Калиничев В.Г.) ";улица Пушкина, д. 37 (1 этаж);;Пересечение ул. Пушкина и ул. Почтовая;ИП Калиничев В.Г.;Салон Арт-Декор;3812501600;ya.art-décor@yandex.ru;artdecor-kit@mail.ru;artdecor-omsk.ru;10:00 - 19:00;;3172
3175;"Омск, Салон &quot;Европласт&quot; ТК &quot;Кит Интерьер&quot; (ИП Калиничев) ";улица 10 лет Октября, д. 182, корп.3 (1 этаж);"ТК ""Кит-интерьер""";;ИП Калиничев В.Г.;"Салон ""Европласт""";3812507600;artdecor-kit@mail.ru;artdecor-kit@mail.ru;artdecor-omsk.ru;10:00 - 20:00;;3172
3177;"Орел, Магазин &quot;ОБОИ&quot; (ИП Панухник В.Н.) ";Городская, д. 98, этаж 3;"ОАО ""База строительных товаров""";"В здании ""Эстетика интерьера""";ИП Панухник В.Н.;"Магазин ""ОБОИ""";"4862714894; 4862594149";egerasimova@57.leso-torg.ru;magoboi4@57.leso-torg.ru;www.leso-torg.ru;08:00 - 20:00;;3176
3183;"Пермь, ООО &quot;Визард-Стиль&quot; ";ул. Н. Островского, 44а, 2-этаж;отдельно стоящее здание;а/заправка на ул. Тихой;"ООО ""ВИЗАРД- ИНТЕРЬЕРНЫЕ РЕШЕНИЯ""";ВИЗАРД;3422141400;plotnikov_wizard@mail.ru;plotnikov_wizard@mail.ru;;10:00 - 19:00;;3182
3184;"Пермь, Салон &quot;Декор-Центр&quot; ";улица Ленина, д. 15;;;"ЗАО ""Стройинтер""";"Салон ""Декор центр""";"3422190570; 3422190571";stroyinter-dir@yandex.ru;stroyinter-dir@yandex.ru;;09:00 - 20:00;;3182
3185;"Пермь, Салон &quot;Декор-Центр&quot; ТЦ &quot;Гудвин&quot; ";улица Уральская, д. 63, пав. 1;"ТЦ ""Гудвин""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422640364;;;;10:00 - 20:00;;3182
3186;"Пермь, Салон &quot;Декор-Центр&quot; ТЦ &quot;Евразия&quot; ";улица Героев Хасана, д. 56;"ТЦ ""Евразия""";слева от эскалатора;"ЗАО ""Стройинтер""";"""Декоративка""";"3422113330; 3422113311";;;;10:00 - 21:00;;3182
3188;"Ростов-на-Дону, Салон &quot;Декор&quot; ";улица Красноармейская, д. 87/50, 1 этаж, стенд 1;;Между проспектом Соколова и проспектом Ворошиловским по ул. Красноармейской;ИП Левичев С.В.;"""Салон Декор""";"8632208980; 8632323921";decor-rostov@mail.ru;decor-rostov@mail.ru;evroplast-rostov.ru;09:00 - 18:00;;3187
3195;"Саратов, ООО &quot;Дизайн-Паркет&quot; ";улица Московская, д. 11, этаж 1;;Салон находится на ул.Московская, между ул.Чернышевского и ул.Лермонтова;ООО «Дизайн-Паркет»;Центр Лепного Декора;"8452250430; 9372250430";dezain-parket@bk.ru;dezain-parket@bk.ru;www.design-parket.com;09:00 - 19:00;;3194
3198;"Санкт-Петербург, Piterra Московский 111 (ООО &quot;Питерра&quot;) ";Московский проспект, д. 111, 1 этаж;2 салона;;;PITERRA;8007070167;shop@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;;3196
3199;"Санкт-Петербург, Piterra Интерио (ООО &quot;Питерра&quot;) ";ул. Полевая Сабировская, д. 54, 2 этаж, секция 245;Торговый комплекс «Интерио»;;;PITERRA;8007070167;shop@piterra.ru;shop@piterra.ru;www.piterra.ru;11:00 - 21:00;;3196
3200;"Санкт-Петербург, Piterra Ланской (ООО &quot;Питерра&quot;) ";ул. Студенческая, д. 10, 1 этаж, Секция А-1;Торговый комплекс «Ланской»;;;PITERRA;8007070167;shop@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;;3196
3205;"Ставрополь, ООО &quot;Отан&quot; Салон-магазин &quot;Три Д&quot; (ул. Тухачевского) ";улица Тухачевского, д. 12А;Рядом рынок «Тухачевский»;Напротив ТЦ «Москва»;ИП Кулинцева Е.С.;Три Д: Дом, Дизайн, Декор;"8652721829; 8652724123";info@salon3d.ru;info@salon3d.ru;www.salon3d.ru;10:00 - 19:00;;3204
3206;"Ставрополь, ООО &quot;Отан&quot; Салон-магазин &quot;Три Д&quot; (ОРТЦ &quot;Ставрополь&quot;) ";улица Доваторцев, д. 61;Торговый комплекс «ОРТЦ»;;ИП Кулинцева Е.С.;Три Д: Дом, Дизайн, Декор;"8652515050; 8652555310";tridnew@yandex.ru;;;10:00 - 20:00;;3204
3214;"Тольятти, Салон &quot;Премьер&quot; ";улица Жукова, д. 2, оф. 3;;;ИП Рыбалка В.Н.;Салон Премьер;"8482539030; 9278911281";premier_tolgatti@rambler.ru;premier_tolgatti@rambler.ru;decor163.ru;09:00 - 18:00;;3213
3218;Тула,  Магазин ЛЕПНИНА (И.П. Новиков Р.В.) ;ул. Мосина, д. 29А, 1 этаж, пав. 102;Торговый комплекс Мастер, 1 этаж;;И.П. Новиков Р.В.;Магазин ЛЕПНИНА;"9255094511; 9308961122; 9255060319";lepnina89@mail.ru;lepnina89@mail.ru;www.europlast-lepnina.ru;09:00 - 18:00;;3217
3225;"Уфа, Салон &quot;Розет&quot; (ул. Кирова) ";улица Кирова, д. 34 (1 этаж);Салон Розет;;ИП Розет Р.Р.;Салон Розет;"3472768513; 9173755100";rozetufa@gmail.com;rozetufa@gmail.com;www.ufa-rozet.ru;10:00 - 20:00;;3223
3226;"Уфа, Салон &quot;Розет&quot; (Радуга-Экспо) ";Индустриальное шоссе, д. 44/1, 2 этаж, пав. Экспо, секция 2Б;ТВК Радуга-Экспо;рядом с эскалатором;ИП Розет Р.Р.;Салон Розет;"3472922638; 9177651957; 9173444232";rozet-ekspo@mail.ru;rozetufa@gmail.com;www.ufa-rozet.ru;10:00 - 20:00;;3223
3229;"Хабаровск, Салон &quot;Текстура&quot; ";улица Дзержинского, д. 65;"салон ""Текстура""";Вход смотрит на Амурский бульвар, с правого торца здания;"ИП Лебедева М.Е. ООО ""Текстура и Дизайн""";"Салон ""Текстура""";84212464040;postmaster@terralux.ru;postmaster@terralux.ru;www.terralux.ru;10:00 - 19:00;;3228
3232;"Чебоксары, Cалон &quot;Montmartre&quot; (ИП Альхимович Г.А.) ";проспект Максима Горького, д. 26, цокольный этаж;Торговый дом «Респект»;;ИП Альхимович Г.А.;Салон «Montmartre»;"8007075476; 8352202368";montmartre.decorsten@gmail.com;montmartre.decorsten@gmail.com;montmartre-sdel.ru;09:00 - 18:00;;3231
3234;"Челябинск, ООО &quot;Дизайн-стиль&quot; ";ул. 8 Марта ,  д. 56, 1 этаж;;;"ООО ""Дизайн-Стиль""";Дизайн-Стиль;"9518099044; 9058342218";dzs2006@mail.ru;dzs2006@mail.ru;designstyle74.ru;10:00 - 17:00;;3233
3236;"Чита, Сеть магазинов &quot;Респект&quot; ";улица Нечаева, д. 35;магазин Респект;;"ООО ""Респект ЛТД""";Респект;3022317635;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 18:00;;3235
3244;"Минск, &quot;ДАЛИ&quot;, ул. Пономаренко, 35А, оф. 103 (ЧТУП &quot;Салон Интерьера&quot;) ";улица Пономаренко, 35А, оф. 103;Товарищество собственников Пономаренко, 35 А;"Ресторан ""СОЧИ""";"ЧТУП ""Салон интерьера""";Товарищество собственников Пономаренко, 35 А;"375172022000; 375445750697";dekor-si@mail.ru;dekor-si@mail.ru;www.dekorus.by;09:00 - 18:00;;3242
3245;"Минск, ТЦ &quot;Град&quot;, ЧТУП &quot;Салон интерьера &quot;Декор&quot; ";ул. Тимирязева, 123, кор. 2, 2-й этаж;"ТЦ ""Град""";Рынок Ждановичи;"ЧТУП ""Салон интерьера ""Декор""";"ТЦ ""Град""";"375172596316; 375291068560";dekor-si@mail.ru;dekor-si@mail.ru;www.domdekor.by;10:00 - 17:00;;3242
3249;"Усть-Каменогорск, Салон &quot;Nota Bene&quot; (ТОО NS Tarde) ";улица Орджоникидзе, д. 48 (1 этаж);Жилой дом;;"ТОО ""NS Trade""";"Салон ""Nota Bene""";7772223817;region2@evp.kz;zakaz@evp.kz;;09:00 - 19:00;;3247
3262;"Казань, ТК &quot;Савиново&quot; (Статус Кво) ";улица Ямашева, д. 93, 2 этаж;"Торговый Комплекс ""Савиново""";По экскалатору на 2 этаж и сразу налево наш салон;Статус Кво;ЕВРОПЛАСТ для красоты стен и потолков ЛЕПНИНА;9872263355;zakaz@evroplast116.ru;zakaz@evroplast116.ru;www.evroplast116.ru;10:00 - 21:00;;3260
3266;"Москва, Магазин &quot;Лепнина&quot; в ТК &quot;Миллион мелочей&quot; (ИП Алекперов В.Г.) ";"ул. Пришвина д. 26, ТК ""Миллион мелочей"", павильон № С04/1";"ТК ""Миллион Мелочей""";;ИП Алекперов В.Г.;"Магазин ""Лепнина""";9269102057;decorru@yandex.ru;decorru@yandex.ru;www.1decor.ru;09:00 - 20:45;;3109
3277;"Оренбург, Интерьерный салон &quot;Viva Дизайн&quot; ";ул.Цвиллинга, д. 42 (1 этаж);;;ИП Яковлев О.В., ООО Вива Дизайн;салон VIVA Design;3532408000;viva-evroplast@yandex.ru;viva-evroplast@yandex.ru;viva-interior.ru;10:00 - 19:00;;3178
3282;"Москва, ТЦ &quot;Метр Квадратный&quot; (ООО &quot;Деколепнина&quot;) ";Волгоградский проспект, д.32, корпус 25, 1 этаж, павильон № 229-230;"ТЦ ""Метр Квадратный""";;"ООО ""Деколепнина""";;9652511869;metr@decolepnina.ru;metr@decolepnina.ru;www.decolepnina.ru;10:00 - 20:00;;3109
3288;"Баку, Салон &quot;Elit Interior&quot;, ул. Ziya Bunyatova (ИП Алекперов В.Г.) ";улица Ziya Bunyatova, 90;"Салон ""Elit Interior""";;ИП Алекперов В.Г.;"Салон ""Elit Interior""";994503556666;decorru@yandex.ru;decorru@yandex.ru;;;;3287
3292;"Москва, ТК &quot;ЭлитСтройМатериалы&quot; (ИП Алекперов  В.Г.) ";"51 км МКАД, разв. ""Очаково-Заречье"", стр.2, ТК ""ЭлитСтройМатериалы"",  павильон № А-14";"ТК ""ЭлитСтройМатериалы""";;ИП Алекперов  В.Г.;"магазин ""Лепнина""";4957107964;decorru@yandex.ru;decorru@yandex.ru;www.1decor.ru;10:00 - 20:00;;3109
3300;Великий Новгород, Салон «ОБОИ ЭРИСМАНН» (ИП Вакурова Л.М.) ;улица Ломоносова, д. 20, к. 1, стенд 2;Собственное встроенное помещение;;ИП Вакурова Л.М.;Салон «ОБОИ ЭРИСМАНН»;9116075445;salon38@mail.ru;38pr@mail.ru;;10:00 - 20:00;;3299
3303;"Киров, ТЦ. &quot;СтройРемо&quot; (ИП Кузницына Е.А.) ";улица Труда, д. 71, 2 этаж;"Торговый Центр ""СтройРемо""";;ИП Кузницына Екатерина Андреевна;"Торговый Центр ""СтройРемо""";8332432500;office@decorika43.ru;office@decorika43.ru;;09:00 - 18:00;;3302
3306;"Ярославль, Магазин &quot;Элит Интерьер&quot; (ИП Алекперов В.Г.; ИП Парецкий М.Г.) ";улица Полушкина роща, д. 9, стр. 14, пав. А1-3, А1-4, А1-22;ОТК Тандем;;ИП Алекперов В.Г.;Элит Интерьер;9622123959;yar780781@gmail.com;lepnina76@gmail.com;www.1decor.ru;09:00 - 20:00;;3237
3317;"Кострома, Группа компаний &quot;Кредо&quot; ";Кинешемское шоссе, д. 31;;;ИП Кувтырева Л.М.;Группа компаний «Кредо»;"4942392026; 9109292026";lepnina44@gmail.com;lepnina44@gmail.com;;09:30 - 18:00;;3316
3322;"Владимир, Интерьерная компания &quot;Объект&quot; ";улица Студеная гора, д. 34-А;Интерьерная компания Объект;За бизнес-центром;ИП Смышляев С.Ю.;ИК Объект;"4997555227; 9262747037";info@planeta-decora.ru;info@planeta-decora.ru;www.planeta-decora.ru;10:00 - 18:00;;3321
3327;"Ульяновск, ООО &quot;РАДА&quot; ";9 -й проезд Инженерный, д. 30, строение 7;Промышленная зона;;"ООО ""РАДА""";"ООО ""РАДА""";"8422260011; 8422250681";ul.evroplast@gmail.com;ul.evroplast@gmail.com;;08:00 - 17:00;;3326
3332;"Липецк, Декор-Центр &quot;Ар-Декор&quot; ";улица Петра Смородина, д. 9а, пав. 19;"Дизайн-Центр ""Ар-Декор""";Октябрьский рынок;"ООО ""Ар-Декор""";"Дизайн-Центр ""Ар-Декор""";4742452933;ardekor@rambler.ru;ardekor@rambler.ru;ardekor@rambler.ru;10:00 - 19:00;;3331
3337;"Сухум, Магазин-салон &quot;Лепнина и Декор&quot; ";улица Конфедератов, д. 23;;На пересечении с ул. Лакоба;ИП Глушкова С.В.;"Магазин-салон ""Лепнина и Декор""";"9409930669; 9409997070";ra_simone@mail.ru;ra_Lepnina_dekor@mail.ru;;10:00 - 18:00;;3336
3341;"Архангельск, ООО &quot;Дизайн-студия &quot;Лигрант&quot;&quot; ";ул. Набережная Северной Двины, д.71, 1 этаж;ЖК «Омега Хаус»;;"ООО ""Дизайн-студия ""Лигрант""""";"Дизайн-студия ""Лигрант""";8182475248;arh.evroplast@inbox.ru;arh.evroplast@inbox.ru;Лигрант.рф;10:00 - 19:00;;3340
3351;Кокшетау, ИП Гаврилов  ;улица Ауельбекова, д.168, 1 этаж;"ТД ""Декор""";;ИП Гаврилов ;;"7070455694; 7073148548";region2@evp.kz;zakaz@evp.kz;;10:00 - 19:00;;3350
3434;Элиста, Стройарсенал ;ул.Ленина, д. 7, стр.1 (этаж 1-2);Торговый дом;;ИП Железная Л.Н.;"Торговый дом ""Стройарсенал""";8472231049;stroyarsenal08@mail.ru;;;09:00 - 18:00;;3431
3444;"Череповец, Строительный центр &quot;Квартирный вопрос&quot; (ИП Сальцман И.И.) ";Шекснинский пр-т, д. 25;;;ИП Сальцман И.И.;"Строительный центр ""Квартирный вопрос""";"9535203977; 8202640248";ks-studiya@yandex.ru;evroplast.35@mail.ru ;;11:00 - 19:00;;3443
3461;"Ишим, Центр отделочных материалов &quot;СтройМаг&quot; ";улица Гаранина, д. 1;СтройМаг, магазины отделочных материалов;;ИП Филипюк Елена Васильевна;СтройМаг, магазин отделочных материалов;"3455172869; 3455174020";stroi-mag2@yandex.ru;stroi-mag2@yandex.ru;;09:00 - 19:00;;3456
3482;"Курган, &quot;Зауральский Домострой&quot; Дизайн-студия «Строй de Lux»  ";ул. Куйбышева, д. 36, стр. 3 (2 этаж);;ТЦ «Зауральский ДомоСтрой»;ИП Сергеева Александра Анатольевна;Студия «Строй de Lux» ;3522601643;studia5@domstroy45.ru;info@evroplast-ekaterinburg.ru ;www.дизайнстудия45.рф;09:00 - 19:00;;3481
3483;Курган, магазин Артекс (ИП Горбунов П.Ю.) ;ул. Куйбышева, д. 36/5 (1 этаж), образцы, инсталляция;"магазин ""Артекс""";;ИП Горбунов П.Ю.;"магазин отделочных материалов ""Артекс""";3522465491;artex.santeh@yandex.ru;info@evroplast-ekaterinburg.ru ;;09:00 - 19:00;;3481
3485;"Курск, &quot;Дом обоев&quot; на Добролюбова (ИП Шаталова Т.Л.) ";улица Добролюбова, д. 15а, 2 этаж;Торговый центр;;ИП Шаталова Т.Л.;Дом обоев;"4712396136; 4712396135";oboidom@yandex.ru;;;09:00 - 20:00;;3154
3489;"Липецк, Дизайн студия &quot;Дольмен&quot; ";улица Верхняя, д. 86а;"Дизайн студия ""Дольмен""";;ИП Филинская;"Дизайн студия ""Дольмен""";"4742376960; 4742376622";;ardekor@rambler.ru;;;;3331
3490;"Липецк, Магазин отделочных материалов &quot;Новый Век&quot; ";переулок Пестеля, д. 38;"Магазин отделочных материалов ""Новый Век""";;;"Магазин отделочных материалов ""Новый Век""";4742333939;;ardekor@rambler.ru;;;;3331
3492;"Липецк, Студия обоев &quot;Ванильное Небо&quot; ";улица Первомайская, д. 77в;;;ИП Трофимов;"Студия обоев ""Ванильное небо""";4742232322;;ardekor@rambler.ru;;;;3331
3493;"Липецк, Торговая компания &quot;Артико Холл&quot; ";улица Водопьянова, д. 17;;;"Торговая компания ""Артико Холл""";"Торговая компания ""Артико Холл""";4742406378;;ardekor@rambler.ru;;;;3331
3497;"Москва, ВК &quot;Росстройэкспо&quot; (ИП Семенюк А.А.) ";Фрунзенская набережная, д. 30, павильон 4, место №80;"ВК ""Росстройэкспо""";;ИП Семенюк А.А.;Салон лепнины;9037215468;zharov1956@bk.ru;;;10:00 - 18:00;;3109
3500;"Москва, ВК &quot;Росстройэкспо&quot; (ИП Стрекаловская О.Н.) ";Фрунзенская набережная, д. 30, павильон 4, место №59;;;ИП Стрекаловская О.Н.;;79 151 908 602;;;;;;3109
3506;Москва, Лепнина ТК Гвоздь (ИП Липадат) ;Волоколамское ш., 103, пав. Б-7;ТК Гвоздь;;ИП Липадат;Лепнина;"9263154602; 9267226081";lipadat@mail.ru;lipadat@mail.ru;;09:00 - 20:00;;3109
3514;"Москва, Строительная ярмарка &quot;41 км&quot; (ИП Цыбулева Е.И.) ";44 км. МКАД (внешняя сторона) пересечение Профсоюзной ул. и МКАД, павильоны А11/2, Б8, Г7/3, З7/8, НБ1/2 (З-17/150), Г20, ТЦ Карусель;"Строительный рынок ""Славянский мир""";;ИП Цыбулева Е.И.;Дом Лепнины;9015194020;cue1977@mail.ru;;;08:30 - 18:30;;3109
3516;"Москва, ТЦ &quot;ЭлитСтрой материалы&quot; (ИП Налбантов И.А.) ";"51 км МКАД, разв. ""Очаково-Заречье"", стр.2,  павильон № С-31, В-6";"ТЦ ""ЭлитСтрой материалы""";;ИП Налбантов И.А.;Лепные Декоры ;84957107949;7853505@mail.ru;7853505@mail.ru;www.mstyle.su;10:00 - 18:00;;3109
3518;Мытищи, Дом-декора (ИП Кулебякина Т.В.) ;г. Мытищи, Олимпийский пр-т, д. 29, корпус 1, этаж 1 (цокольный);"ТЦ ""Формат""";;ИП Кулебякина Т.В.;Дом-декора;"4955850042; 9859633728";tatiana16.11.08@mail.ru;tatiana16.11.08@mail.ru;www.dom-dekora.ru;10:00 - 21:00;;3109
3523;"Нижний Тагил, Салон &quot;DERUFA&quot; (ООО &quot;Кристалл&quot;) ";ул. Карла Маркса, д.63а, 1 этаж (инсталляция);Салон магазин;;"ООО ""Кристалл""";Салон DERUFA;"3435410225; 9049845659";dekor-nt@rambler.ru;info@evroplast-ekaterinburg.ru;derufant.ru;09:00 - 18:00;;3522
3548;Орск, Миал ;проспект Ленина, д. 45;Миал-Орск;;ИП Швабенланд Л.Г.;Миал-Орск;"3537236818; 3537211623";mial-orsk@mail.ru;oksana-gubajdullina@yandex.ru;viva-design56;10:00 - 19:00;;3547
3557;Первоуральск, студия «ARCHIVISION» (ИП Незговорова А.А.) ;ул. Чкалова, 43 (образцы);;;ИП Незговорова А.А.;студия дизайна интерьеров «ARCHIVISION»;3439221333;archivision@mail.ru;info@evroplast-ekaterinburg.ru ;archi-vision.ru;10:00 - 19:00;;3556
3589;"Санкт-Петербург, Салон Piterra Home (ООО &quot;Питерра&quot;) ";ул. Уральская, д. 13;отдельный салон;;;PITERRA HOME;8007070167;shop@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;;3196
3609;Тамбов, ИП Дудник И.П. ;улица Советская, д. 191 А;;;ИП Дудник И.П.;ИП Дудник И.П.;89106528893;;;;09:00 - 18:00;;3211
3611;"Тамбов, Салон &quot;Декорация&quot; (ИП Егорова З.Р.) ";улица Интернациональная, д. 30 А, этаж 2;Площадь Ленина;Налево в красную дверь;ИП Егорова З.Р.;Салон Декорация;9107527525;décor.tmb@mail.ru;décor.tmb@mail.ru;;09:00 - 18:00;;3211
3613;Тамбов, Строй Град ;улица Киквидзе, д. 69 Б;;;Строй Град;Строй Град;89158680070;;;;09:00 - 18:00;;3211
3614;"Тамбов, ТД &quot;Интерьер&quot; ";улица Коммунальная, д. 21 А;рынок;;"ТД ""Интерьер""";Обои Русь;84752713032;;;;09:00 - 18:00;;3211
3615;"Тамбов, Магазин &quot;Decobuilt&quot; ";улица Мичуринская, д. 215;;;"Магазин ""Decobuilt""";"Магазин ""Decobuilt""";89204772222;;;;09:00 - 18:00;;3211
3617;"Тобольск, Магазин &quot;Уют&quot; ";переулок Рощинский, д. 68;"""Уют"" магазин товаров для ремонта";;ИП Дергоусов Сергей Владимирович;"""Уют""";"3456240773; 34562241970";svet-krep@mail.ru;svet-krep@mail.ru;;09:00 - 19:00;;3616
3622;"Томск, салон &quot;Идея Ремонта&quot; ";ул. Советская, д. 108;"Салон ""Идея Ремонта""";;"ООО Торговый Дом ""Европласт-Сибирь""";"салон ""Идея Ремонта""";"3822530130; 9833496667";romantika2020@gmail.com;romantika2020@gmail.com;decoline.su;10:00 - 19:00;;3215
3640;"Тюмень, Салон &quot;Архитектурный Декор&quot; в ТЦ &quot;Премьер Дом&quot; ";улица Мельникайте, д.104, 1 этаж;"ТЦ ""Премьер Дом""";;"1. ИП Чащилов А.П.; 2. ООО ТК ""Архитектурный декор""";"Салон ""Архитектурный декор""";3452595409;galant-pd@mail.ru;;www.decor-ad.ru;10:00 - 20:00;;3220
3641;"Тюмень, Салон &quot;Архитектурный Декор&quot; в ТЦ &quot;Орион&quot; ";улица Федюнинского, д. 43, 1 этаж;"ТЦ ""Орион""";;"1. ИП Чащилов  А.П.; 2. ООО ТК ""Архитектурный декор""";"Салон ""Архитектурный декор""";3452546226;546226-orion@mail.ru;;www.decor-ad.ru;10:00 - 21:00;;3220
3642;"Тюмень, ул. 50 лет ВЛКСМ, 13, салон &quot;Архитектурный декор&quot;  ";улица 50 лет ВЛКСМ, д. 13;;;"1. ИП Чащилов А.П.; 2. ООО ТК ""Архитектурный декор""";"Салон ""Архитектурный декор"" ";"3452595746; 3452595745";info@decor-ad.ru;info@decor-ad.ru;www.decor-ad.ru;09:00 - 19:00;;3220
3643;"Улан-Удэ, Гипермаркет &quot;СМИТ&quot; ";улица Жердева, д. 8а;"Гипермаркет ""СМИТ""";;ИП Доржиев Г.Ю.;"""СМИТ""";3012297800;kaporskaya@smit.stbur.ru;smitbur@mail.ru;tgsmit.ru;10:00 - 19:00;;3275
3645;"Ханты-Мансийск, Салон интерьера &quot;Декор Стайл&quot; ";ул. Чехова, д. 82, 1 этаж;"Салон интерьера ""Декор Стайл""";;ИП Иванов Руслан Александрович;"салон интерьера ""Декор Стайл""";"3467394500; 3467337755";decorst@mail.ru;decorst@mail.ru;;09.00 - 19.00;;3644
