IE_XML_ID;IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP175;IP_PROP113
3160;Курск, салон  Ампир-декор (ИП Шаталова Т.Л.);улица Добролюбова, д. 15а, 1 этаж;Торговый центр;;ИП Шаталова Т.Л.;салон Ампир-декор;4712396138;salonampirkursk@yandex.ru;;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;;3154
3162;"Магнитогорск, Салон ""Lux Decor""";улица Калинина д.1;Салон;"Бывшее детское кафе ""Сказка""";ИП Козлова Н.Б,;салон Lux Decor;3519221899;decorsalon@gmail.com;decorsalon@gmail.com;;10:00 - 19:00;10:00 - 17:00;Выходной;;3161
3164;"Нижний Новгород, ООО ""ИнтерСтрой"", Интерьерный салон ""Интерстрой""";улица Короленко, д. 27, офис 103;;пл. Лядова, Телецентр;"ООО ""ИнтерСтрой""";"Интерьерный салон ""ИнтерСтрой""";"88312780314; 78312780550";interstroy@sandy.ru;interstroy@sandy.ru;;09:00 - 18:00;Выходной;Выходной;;3163
3165;"Нижний Новгород, Интерьерный салон ""Избранное""";улица Белинского, д. 11/66;;"Напротива парка Пушкина, Название крупными буквами ""Избранное""";ИП Негина О.С.;Салон Избранное;"8312128883; 8314213888";evroplast@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;10:00 - 18:00;10:00 - 18:00;;3163
3166;Нижний Новгород, салон “Decor360”, ИП Негина О.С.;улица Бекетова, д. 13;;"Стройцентр ""Бекетов";ИП Негина О.С.;салон “Decor360”;"8314123130; 9082382424";salon@decor360.ru;;;10:00 - 20:00;10:00 - 18:00;10:00 - 18:00;;3163
3167;Нижний Новгород, Центр фасадного декора;улица Белинского, д. 11/66, этаж цоколь;;Напротива парка Пушкина;ИП Негина О.С.;Центр Фасадного декора;"8312128883; 8314211155";fasad@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;;3163
3169;"Нижневартовск, Салон ""Архитектурный Декор"" в ТЦ ""Твой дом""";улица Мира, д. 98;;;ИП Чащилов А.П.;"салон ""Архитектурный декор""";"9222556917; 9824123213";leka_bulikeeva@mail.ru;leka_bulikeeva@mail.ru;www.decor-ad.ru;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;;3168
3173;"Омск, Салон ""Арт-Декор"" на Герцена";улица Герцена, д. 36 (4 этаж);"Торговый Дом ""На Герцена""";;ИП Акулинская Ю.В.;Салон Арт-Декор;"3812243021; 3812502600";decorart@mail.ru;artdecor-kit@mail.ru;artdecor-int.ru;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;;3172
3174;"Омск, Салон ""Арт Декор"" на Пушкина";улица Пушкина, д. 37 (1 этаж);;Пересечение ул. Пушкина и ул. Почтовая;ИП Шелудько А.А.;Салон Арт-Декор;3812501600;ya.art-décor@yandex.ru;artdecor-kit@mail.ru;artdecor-int.ru;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;;3172
3175;"Омск, Салон ""Европласт"" ТК ""Кит Интерьер""";улица 10 лет Октября, д. 182, корп.3 (1 этаж);"ТК ""Кит-интерьер""";;ИП Шелудько А.А.;"Салон ""Европласт""";3812507600;artdecor-kit@mail.ru;artdecor-kit@mail.ru;artdecor-int.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;;3172
3177;"Орел, МУП БСТ ""Лесоторговая""";Городская, д. 98, этаж 3;"ОАО ""База строительных товаров""";"В здании ""Эстетика интерьера""";ИП Панухник В.Н.;"Магазин ""ОБОИ""";"4862714801; 4862750711";info@57.leso-torg.ru;ibelova@57.leso-torg.ru;www.leso-torg.ru;08:00 - 20:00;08:00 - 20:00;08:00 - 17:00;;3176
3183;"Пермь, ООО ""Визард-Стиль""";ул. Н. Островского, 44а, 2-этаж;отдельно стоящее здание;а/заправка на ул. Тихой;"ООО ""ВИЗАРД- ИНТЕРЬЕРНЫЕ РЕШЕНИЯ""";ВИЗАРД;3422141400;plotnikov_wizard@mail.ru;plotnikov_wizard@mail.ru;;10:00 - 19:00;11:00 - 18:00;Выходной;;3182
3184;"Пермь, Салон ""Декор-Центр""";улица Ленина, д. 15;;;"ЗАО ""Стройинтер""";"Салон ""Декор центр""";"3422190570; 3422190571";stroyinter-dir@yandex.ru;stroyinter-dir@yandex.ru;;09:00 - 20:00;10:00 - 18:00;Выходной;;3182
3185;"Пермь, Салон ""Декор-Центр"" ТЦ ""Гудвин""";улица Уральская, д. 63, пав. 1;"ТЦ ""Гудвин""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422640364;;;;10:00 - 20:00;10:00 - 20:00;11:00 - 19:00;;3182
3186;"Пермь, Салон ""Декор-Центр"" ТЦ ""Евразия""";улица Героев Хасана, д. 56;"ТЦ ""Евразия""";слева от эскалатора;"ЗАО ""Стройинтер""";"""Декоративка""";"3422113330; 3422113311";;;;10:00 - 21:00;10:00 - 21:00;10:00 - 20:00;;3182
3188;"Ростов-на-Дону, Салон ""Декор""";улица Красноармейская, д. 87/50, 1 этаж, стенд 1;;Между проспектом Соколова и проспектом Ворошиловским по ул. Красноармейской;ИП Левичев С.В.;"""Салон Декор""";"8632208980; 8632323921";decor-rostov@mail.ru;decor-rostov@mail.ru;evroplast-rostov.ru;09:00 - 18:00;10:00 - 15:30;Выходной;;3187
3191;"Рязань, ТД ""СИНТИ""";Солотчинское шоссе, д. 2, этаж 2;"Торговый центр ""АВРОРА""";;"ООО ""Зеленый коридор""  ИП Фетисова Л.Г.";"ТД ""СИНТИ""";4912460046;opt@cinti.ru;opt@cinti.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 18:00;;3189
3193;"Самара, ТСК ""Кубатура""";улица Красноармейская, д. 1, пав. 238-240;СТК Кубатура;;ООО Форрум;магазин FORROOM;8462751696;forroom@forroom.ru;forroom@forroom.ru;;08:30 - 20:00;8:30 - 20:00;8:30 - 20:00;;3192
3195;"Саратов, ООО ""Дизайн-Паркет""";улица Московская, д. 11, этаж 1;;Салон находится на ул.Московская, между ул.Чернышевского и ул.Лермонтова;ООО «Дизайн-Паркет»;Центр Лепного Декора;"8452250430; 9372250430";dezain-parket@bk.ru;dezain-parket@bk.ru;www.design-parket.com;09:00 - 19:00;09:00 - 17:00;09:00 - 17:00;;3194
3198;"Санкт-Петербург, Piterra Московский 111 (ООО ""Питерра"")";Московский проспект, д. 111, 1 этаж;2 салона;;"ООО ""Питерра""";PITERRA;"8124383940; доб. 702,732,752";salonM111@piterra.ru;shop@piterra.ru ;www.piterra.ru;10:00 - 20:00;10:00 - 18:00;10:00 - 18:00;;3196
3199;"Санкт-Петербург, Piterra Интерио (ООО ""Питерра"")";ул. Полевая Сабировская, д. 54А, 2 этаж, секция 245;Торговый комплекс «Интерио»;;"ООО ""Питерра""";PITERRA;"8124383940; доб. 703";saloninterio@piterra.ru;shop@piterra.ru ;www.piterra.ru;11:00 - 21:00;11:00 - 21:00;11:00 - 21:00;;3196
3200;"Санкт-Петербург, Piterra Ланской (ООО ""Питерра"")";ул. Студенческая, д. 10, 1 этаж, Секция А-1;Торговый комплекс «Ланской»;;"ООО ""Питерра""";PITERRA;"8124383940; доб. 701, 724";salonLanskoy@piterra.ru;shop@piterra.ru ;www.piterra.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;;3196
3205;"Ставрополь, ООО ""Отан"" Салон-магазин ""Три Д"" (ул. Тухачевского)";улица Тухачевского, д. 12А;Рядом рынок «Тухачевский»;Напротив ТЦ «Москва»;ИП Кулинцева Е.С.;Три Д: Дом, Дизайн, Декор;"8652721829; 8652724123";info@salon3d.ru;info@salon3d.ru;www.salon3d.ru;10:00 - 19:00;10:00 - 16:00;10:00 - 16:00;;3204
3206;"Ставрополь, ООО ""Отан"" Салон-магазин ""Три Д"" (ОРТЦ ""Ставрополь"")";улица Доваторцев, д. 61;Торговый комплекс «ОРТЦ»;;ИП Кулинцева Е.С.;Три Д: Дом, Дизайн, Декор;"8652515050; 8652555310";tridnew@yandex.ru;;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;;3204
3214;"Тольятти, Салон ""Премьер""";улица Жукова, д. 2, оф. 3;;;ИП Рыбалка В.Н.;Салон Премьер;"8482539030; 9278911281";premier_tolgatti@rambler.ru;premier_tolgatti@rambler.ru;decor163.ru;09:00 - 18:00;Выходной;Выходной;;3213
3218;Тула,  Магазин ЛЕПНИНА (И.П. Новиков Р.В.);ул. Мосина, д. 29А, 1 этаж, пав. 102;Торговый комплекс Мастер, 1 этаж;;И.П. Новиков Р.В.;Магазин ЛЕПНИНА;"9255094511; 9308961122; 9255060319";lepnina89@mail.ru;lepnina89@mail.ru;www.europlast-lepnina.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;;3217
3225;"Уфа, Салон ""Розет"" (ул. Кирова)";улица Кирова, д. 34 (1 этаж);Салон Розет;;ИП Розет Р.Р.;Салон Розет;"3472768513; 9173755100";rozetufa@gmail.com;rozetufa@gmail.com;www.ufa-rozet.ru;10:00 - 20:00;11:00 - 18:00;12:00 - 17:00;;3223
3226;"Уфа, Салон ""Розет"" (Радуга-Экспо)";Индустриальное шоссе, д. 44/1, 2 этаж, пав. Экспо, секция 2Б;ТВК Радуга-Экспо;рядом с эскалатором;ИП Розет Р.Р.;Салон Розет;"3472922638; 9177651957; 9173444232";rozet-ekspo@mail.ru;rozetufa@gmail.com;www.ufa-rozet.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;;3223
3229;"Хабаровск, Салон ""Текстура""";улица Дзержинского, д. 65;"салон ""Текстура""";Вход смотрит на Амурский бульвар, с правого торца здания;"ИП Лебедева М.Е. ООО ""Текстура и Дизайн""";"Салон ""Текстура""";84212464040;postmaster@terralux.ru;postmaster@terralux.ru;www.terralux.ru;10:00 - 19:00;10:00 - 16:00;Выходной;;3228
3232;"Чебоксары, Cалон ""Montmartre"" (ИП Альхимович Г.А.)";проспект Максима Горького, д. 26;Торговый дом «Респект»;;ИП Альхимович Г.А.;Салон - мастерская «Montmartre»;"8352434565; 9276666028";montmartre@sdel.ru;montmartre@sdel.ru;;08:00 - 20:00;09:00 - 16:00;09:00 - 16:00;;3231
3234;"Челябинск, ООО ""Дизайн-стиль""";проспект Победы,  д. 177, оф. 111е;Торгово-офисное здание;;"ООО ""Дизайн-Стиль""";Дизайн-Стиль;"3517914912; 9058342218";dzs2006@mail.ru;dzs2006@mail.ru;designstyle74.ru;10:00 - 18:00;Выходной;Выходной;;3233
3236;"Чита, Сеть магазинов ""Респект""";улица Нечаева, д. 35;магазин Респект;;"ООО ""Респект ЛТД""";Респект;3022317635;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 18:00;10:00 - 18:00;Выходной;;3235
3244;"Минск, ""ДАЛИ"", ул. Пономаренко, 35А, оф. 103 (ЧТУП ""Салон Интерьера"")";улица Пономаренко, 35А, оф. 103;Товарищество собственников Пономаренко, 35 А;"Ресторан ""СОЧИ""";"ЧТУП ""Салон интерьера""";Товарищество собственников Пономаренко, 35 А;"375172022000; 375445750697";dekor-si@mail.ru;dekor-si@mail.ru;www.dekorus.by;09:00 - 18:00;10:00 - 17:00;Выходной;;3242
3245;"Минск, ТЦ ""Град"", ЧТУП ""Салон интерьера ""Декор""";ул. Тимирязева, 123, кор. 2, 2-й этаж;"ТЦ ""Град""";Рынок Ждановичи;"ЧТУП ""Салон интерьера ""Декор""";"ТЦ ""Град""";"375172596316; 375291068560";dekor-si@mail.ru;dekor-si@mail.ru;www.domdekor.by;10:00 - 17:00;10:00 - 17:00;10:00 - 17:00;Понедельник;3242
3249;Усть-Каменогорск, ТОО NS Tarde;улица Орджоникидзе, д. 48 (1 этаж);Жилой дом;;ТОО NS Tarde;Nota Bene;7232268248;;zakaz.evokz@mail.ru;;09:00 - 18:00;Выходной;Выходной;;3247
3253;"Самара, Бутик интерьера ""FORROOM"" (офис, склад)";улица Ново-Садовая, д. 14а;;;ООО Форрум;офис FORROOM;8462409016;forroom@forroom.ru;forroom@forroom.ru;www.samara.cc;10:00 - 19:00;11:00 - 17:00;Выходной;;3192
3256;"Абакан, Салон отделочных материалов ""ЗОДЧИЕ"" на Тельмана";улица Тельмана, д. 83-32Н;;;"ООО ""Зодчие""";"""Зодчие""";"3902348393; 3902346800";ninazodchi@mail.ru;ninazodchi@mail.ru;;10:00 - 19:00;10:00 - 17:00;Выходной;;3255
3262;Казань, ЕВРОПЛАСТ для красоты стен и потолков ЛЕПНИНА (Статус Кво);улица Ямашева, д. 93, 2 этаж;"Торговый Комплекс ""Савиново""";Левый ряд напротив дверей Гардиан;Статус Кво;ЕВРОПЛАСТ для красоты стен и потолков ЛЕПНИНА;8432263355;zakaz@evroplast116.ru;zakaz@evroplast116.ru;www.evroplast116.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;;3260
3266;"Москва, Магазин ""Лепнина"" в ТК ""Миллион мелочей"" (ИП Алекперов В.Г.)";"ул. Пришвина д. 26, ТК ""Миллион мелочей"", павильон № С04/1";"ТК ""Миллион Мелочей""";;ИП Алекперов В.Г.;"Магазин ""Лепнина""";9269102057;decorru@yandex.ru;decorru@yandex.ru;www.1decor.ru;09:00 - 20:45;09:00 - 20:45;09:00 - 20:45;;3109
3267;"Москва, ТК ""Люблинское поле"" (ИП Налбантов И.А.)";Тихорецкий бульвар, 1 , павильон № О-110;"ТК ""Люблинское поле""";;ИП Налбантов И.А.;Лепные Декоры;84957853505;7853505@mail.ru;7853505@mail.ru;www.mstyle.su;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;;3109
3270;Жуковский, ИП Принцев И.О.;Театральная ул., 3, Ярмарка на Театральной, павильон № 2, № 8;;;ИП Принцев И.О.;;"+7 915 4940995; +7 916 0212107";;;;;;;;3109
3277;"Оренбург, Интерьерный салон ""Viva Дизайн""";улица Правды, д. 25;"Салон ""VIVA design interior""";;"ООО ""Виват-Проект""";VIVA design interior;"3532408000; 3532599293";viva-design09@mail.ru;viva-evroplast@yandex.ru;www.vivainterior.ru;10:00 - 19:00;10:00 - 16:00;Выходной;;3178
3282;"Москва, ТВК ""Метр-Квадратный"" (ООО ""Сити-Декор"")";"Волгоградский проспект, д.32, корпус 25 (пересечение Волгоградского проспекта и ТТК), ТВК ""Метр-Квадратный"", павильон № 22";"ТВК ""Метр-Квадратный""";;"ООО ""Сити-Декор""";Лепнина;"4956693547; 4956485067";metr@decolepnina.ru;city-decor@yandex.ru;www.decolepnina.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;;3109
3285;"Москва, ТК ""ВЭСТЭНД"" (ИП Каюмов А.А.)";"55 км МКАД внешняя сторона, ТК ""ВЭСТЭНД"" (Кунцево-2), павильон ВВ 9";"ТК ""ВЭСТЭНД""";;ИП Каюмов А.А.;ЕВРОПЛАСТ;"4957884925; 4957827727; 9015410254";order@evro-lepnina.ru;order@evro-lepnina.ru;www.evro-lepnina.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;;3109
3288;"Баку, Салон ""Elit Interior"", ул. Ziya Bunyatova (ИП Алекперов В.Г.)";улица Ziya Bunyatova, 90;"Салон ""Elit Interior""";;ИП Алекперов В.Г.;"Салон ""Elit Interior""";994503556666;decorru@yandex.ru;decorru@yandex.ru;;;;;;3287
3292;"Москва, ТК ""ЭлитСтройМатериалы"" (ИП Алекперов  В.Г.)";"51 км МКАД, разв. ""Очаково-Заречье"", стр.2, ТК ""ЭлитСтройМатериалы"",  павильон № А-14";"ТК ""ЭлитСтройМатериалы""";;ИП Алекперов  В.Г.;"магазин ""Лепнина""";4957107964;decorru@yandex.ru;decorru@yandex.ru;www.1decor.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;;3109
3300;Великий Новгород, Салон «ОБОИ ЭРИСМАНН» (ИП Вакурова Л.М.);улица Ломоносова, д. 20, к. 1, стенд 2;Собственное встроенное помещение;;ИП Вакурова Л.М.;Салон «ОБОИ ЭРИСМАНН»;"8162948488; 8162948499";salon38@mail.ru;salon38@mail.ru;;10:00 - 20:00;10:00 - 20:00;10:00 - 18:00;;3299
3301;"Ярославль, салон ""АРАГОН""";ул. Вспольинское поле, д. 11Б, 2 этаж;;;"ООО ""Декор Коллекция""";"салон ""АРАГОН""";"4852910915; 4852282002";yar.aragon@mail.ru;aragondeco@mail.ru;www.aragondeco.ru;09:00 - 17:00;10:00 - 15:00;10:00 - 15:00;;3237
3303;"Киров, ООО ""Новый Мир""";улица Труда, д. 71;"Торговый Центр ""СтройРемо""";;"ООО ""Новый Мир""";"Центр Эксклюзивного Интерьера ""DINTERA""";"8332205777; 8332415577";irika-nm@yandex.ru;designer@stroy-remo.ru;динтера.рф;09:00 - 19:00;10:00 - 16:00;Выходной;;3302
3306;"Ярославль, Магазин ""Элит Интерьер"" (ИП Алекперов В.Г.; ИП Парецкий М.Г.)";улица Полушкина роща, д. 9, стр. 14, пав. А1-3, А1-4, А1-22;ОТК Тандем;;ИП Алекперов В.Г.;Элит Интерьер;4852780781;yar780781@gmail.com;yar780781@gmail.com;www.1decor.ru;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;;3237
3313;Шымкент, ТОО Галерея Юг;ул. Акпан Батыра, д. 111 (1 и 2 этаж);Отдельно стоящее здание;;ТОО Галерея Юг;Салон «Галерея Престиж»;"7252551407; 7252540687";;zakaz.evokz@mail.ru;galery.kz;09:00 - 19:00;09:00 - 19:00;09:00 - 18:00;;3312
3315;"Тараз, ТОО ""Галерея Юг""";ул. Ташкентская, д. 82 (этаж 1, 2);Торговый дом;угол пр-т Абая;"ТОО ""Галерея Юг""";"ТД ""Галерея""";"7262511469; 7070609437";;zakaz.evokz@mail.ru;www.galery.kz;09:00 - 19:00;09:00 - 18:00;09:00 - 18:00;;3314
3317;"Кострома, Группа компаний ""Кредо""";Кинешемское шоссе, д. 31;;;ИП Кувтырева Л.М.;Группа компаний «Кредо»;"4942392026; 9109292026";lepnina44@gmail.com;lepnina44@gmail.com;;09:30 - 18:00;10:00 - 16:00;Выходной;;3316
3322;"Владимир, Интерьерная компания ""Объект""";улица Студеная гора, д. 34-А;Интерьерная компания Объект;За бизнес-центром;ИП Смышляев С.Ю.;ИК Объект;"4997555227; 9262747037";info@planeta-decora.ru;info@planeta-decora.ru;www.planeta-decora.ru;10:00 - 18:00;Выходной;Выходной;;3321
3327;"Ульяновск, ООО ""РАДА""";9 -й проезд Инженерный, д. 30, строение 7;Промышленная зона;;"ООО ""РАДА""";"ООО ""РАДА""";"8422260011; 8422250681";ul.evroplast@gmail.com;ul.evroplast@gmail.com;;08:00 - 17:00;Выходной;Выходной;;3326
3332;"Липецк, Декор-Центр ""Ар-Декор""";улица Петра Смородина, д. 9а, пав. 19;"Дизайн-Центр ""Ар-Декор""";Октябрьский рынок;"ООО ""Ар-Декор""";"Дизайн-Центр ""Ар-Декор""";4742452933;ardekor@rambler.ru;ardekor@rambler.ru;ardekor@rambler.ru;10:00 - 19:00;10:00 - 15:00;Выходной;;3331
3337;"Сухум, Магазин-салон ""Лепнина и Декор""";улица Конфедератов, д. 23;;На пересечении с ул. Лакоба;ИП Глушкова С.В.;"Магазин-салон ""Лепнина и Декор""";"9409930669; 9409997070";ra_simone@mail.ru;ra_Lepnina_dekor@mail.ru;;10:00 - 18:00;10:00 - 16:00;Выходной;;3336
3341;"Архангельск, ООО""Дизайн-студия ""Лигрант""""";проспект Троицкий, 79, этаж 1;"Торговый центр ""Viva""";;"ООО ""Дизайн-студия ""Лигрант""""";"Дизайн-студия ""Лигрант""";8182475248;arh.evroplast@inbox.ru;arh.evroplast@inbox.ru;Лигрант.рф;10:00 - 19:00;10:00 - 18:00;10:00 - 18:00;;3340
3349;Караганда, ТОО Magic house;ул. Ерубаева, д. 52/2 (трехэтажный дом);Жилой дом;дом расположен во дворах;ТОО Magic house;"Салон-магазин ""Стиль-А"" ";"7016541704; 7212478568";;zakaz.evokz@mail.ru;www.stil-a.kz;10:00 - 19:00;10:00 - 18:00;выходной;;3347
3351;Кокшетау, ИП Гаврилов ;улица Ауельбекова, д.168;собственный магазин;угол ул.Пушкина;ИП Гаврилов ;"Торговый дом ""Декор""";"7162763606; 7162763403; 7162763404";;zakaz.evokz@mail.ru;;10:00 - 19:00;10:00 - 17:00;Выходной;;3350
3354;Шымкент, ТОО Галерея Юг;ул. Рыскулова, 30 (цокольный и первый этаж);Отдельно стоящее здание;;ТОО Галерея Юг;ТД «Галерея»;7252322234;;zakaz.evokz@mail.ru;galery.kz;09:00 - 19:00;09:00 - 19:00;09:00 - 18:00;;3312
3434;Элиста, Стройарсенал;ул.Ленина, д. 7, стр.1 (этаж 1-2);Торговый дом;;ИП Железная Л.Н.;"Торговый дом ""Стройарсенал""";8472231049;stroyarsenal08@mail.ru;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;;3431
3444;"Череповец, Строительный центр ""Квартирный вопрос"" (ИП Сальцман И.И.)";Шекснинский пр., д. 25;;;ИП Сальцман И.И.;"Строительный центр ""Квартирный вопрос""";"9535203977; 8202640248";ks-studiya@yandex.ru;evroplast.35@mail.ru ;www.ks-diz35.ru;11:00 - 19:00;11:00 - 16:00;Выходной;;3443
3461;"Ишим, Центр отделочных материалов ""СтройМаг""";улица Гаранина, д. 1;СтройМаг, магазины отделочных материалов;;ИП Филипюк Елена Васильевна;СтройМаг, магазин отделочных материалов;"3455172869; 3455174020";stroi-mag2@yandex.ru;stroi-mag2@yandex.ru;;09:00 - 19:00;09:00 - 18:00;09:00 - 18:00;;3456
3485;"Курск, ""Дом обоев"" на Добролюбова (ИП Шаталова Т.Л.)";улица Добролюбова, д. 15а, 2 этаж;Торговый центр;;ИП Шаталова Т.Л.;Дом обоев;"4712396136; 4712396135";oboidom@yandex.ru;;;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;;3154
3489;"Липецк, Дизайн студия ""Дольмен""";улица Верхняя, д. 86а;"Дизайн студия ""Дольмен""";;ИП Филинская;"Дизайн студия ""Дольмен""";"4742376960; 4742376622";;ardekor@rambler.ru;;;;;;3331
3490;"Липецк, Магазин отделочных материалов ""Новый Век""";переулок Пестеля, д. 38;"Магазин отделочных материалов ""Новый Век""";;;"Магазин отделочных материалов ""Новый Век""";4742333939;;ardekor@rambler.ru;;;;;;3331
3492;"Липецк, Студия обоев ""Ванильное Небо""";улица Первомайская, д. 77в;;;ИП Трофимов;"Студия обоев ""Ванильное небо""";4742232322;;ardekor@rambler.ru;;;;;;3331
3493;"Липецк, Торговая компания ""Артико Холл""";улица Водопьянова, д. 17;;;"Торговая компания ""Артико Холл""";"Торговая компания ""Артико Холл""";4742406378;;ardekor@rambler.ru;;;;;;3331
3497;"Москва, ВК ""Росстройэкспо"" (ИП Зарипов А.Т.)";Фрунзенская набережная, д. 30, павильон 13А первый этаж на входе справа;;;ИП Зарипов А.Т.;;"+7 495 7902011; +7 495 7215468";;;;;;;;3109
3500;"Москва, ВК ""Росстройэкспо"" (ИП Стрекаловская О.Н.)";Фрунзенская набережная, д. 30, павильон 12 место №22;;;ИП Стрекаловская О.Н.;;79 151 908 602;;;;;;;;3109
3503;"Москва, ВК ""Росстройэкспо"" (ООО ""Декор Свет"")";Фрунзенская набережная, д. 30, павильон 4 место №15;;;"ООО ""Декор Свет""";;74 992 420 493;;;;;;;;3109
3504;"Москва, ВК ""Росстройэкспо"" (ООО ""ТрэйдЭкспоХолдинг"")";Фрунзенская набережная, д. 30, павильон  27;;;"ООО ""ТрэйдЭкспоХолдинг""";;"+7 499 2428951; +7 499 2428991";;;;;;;;3109
3506;Москва, Лепнина ТК Гвоздь (ИП Липадат);Волоколамское ш., 103, пав. Б-7;ТК Гвоздь;;ИП Липадат;Лепнина;"9263154602; 9267226081";lipadat@mail.ru;lipadat@mail.ru;;09:00 - 20:00;09:00 - 19:00;09:00 - 19:00;;3109
