IE_XML_ID;IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP102;IP_PROP113;IC_GROUP0;IC_GROUP1;IC_GROUP2
3139;"Калининград, Салон ""Dom&Decor"" (ИП Федоров)";ул. сержанта Колоскова, д. 12, пав. 9;;;ИП Федоров Н.А.;Dom&Decor;"4012934242; 9814758575";salon@dom-decor.com;salon@dom-decor.com;dom-decor.com;10:00 - 19:00;11:00 - 18:00;Выходной;Нет;;54.7158903663,20.484795;3138;;;
3140;"Калининград, Салон ""Dom&Decor"" (ИП Федоров)";Проспект Победы, д. 157-А;территория «Калининградбуммонтаж»;;ООО «КБМ»;Dom&Decor;"4012565375; 9814758575";salon3@dom-decor.com;salon3@dom-decor.com;dom-decor.com;10:00 - 19:00;11:00 - 18:00;Выходной;Нет;;54.7106017734,20.4378136918;3138;;;
3141;"Советск, Магазин ""Сити"" (ИП Федоров"")";улица Темирязева, д. 3;Торговый центр «Михалыч»;;ООО «Стройдом»;«Михалыч»;"4016167272; 401667905";;logist@dom-decor.com;;09:00 - 19:00;09:00 - 15:00;09:00 - 15:00;Да;;55.0789626679,21.9124968221;6228;;;
3142;"Балтийск, ""Посейдон"" (ИП Федоров)";ул. Романова, д. 11;;;ИП Федоров;"""Посейдон""";79 632 917 940;info@dom-decor.com;;www.dom-decor.com;;;;Нет;;54.652402,19.917698;3138;;;
3144;"Калуга, ООО ""Алладин""";ул. Кирова, д. 50;;;"ООО ""Алладин""";;"+7 484 2561418; +7 484 2599384";aladdin@kaluga.net;;www.aladdin-kaluga.ru;;;;Нет;;54.513913,36.258664;3143;;;
3146;"Кемерово, Студия ""Гранд-Декор"" (ООО ""Гермес"")";"проспект Ленина, д. 81-""А""";Магазин;;"ООО ""Гермес""";Лепнина;3842359663;lepnina@granddekor.ru ;lepnina@granddekor.ru ;granddekor.ru;10:00 - 19:00;11:00 - 17:00;Выходной;Нет;;55.3429765075,86.1204766865;3145;;;
3148;"Комсомольск-на-Амуре, Салон ""Соломон""";улица Кирова, д. 46;;;"ООО """"Генезис";магазин Соломон;9838213323;;;solomon-kms.ru;09:00 - 18:00;09:00 - 16:00;Выходной;Нет;;50.551303,137.027998;3147;;;
3150;"Краснодар, Салон-магазин ""Лепные декоры"" ул. Красных партизан (ИП Гредина)";улица Красных Партизан, д. 214;;"напротив ресторана ""Мадьяр""";ИП Гредина Анжела Викторовна;Лепные Декоры;"8003338923; 9604756668";salon@l-decor.ru;e-shop@l-decor.ru;www.l-decor.ru;09:00 - 18:00;09:00 - 16:00;Выходной;Нет;;45.0494848437,38.966483;3149;;;
3151;"Краснодар , Салон-магазин ""Лепные декоры"" ТЦ ""Евроремонт"" (ИП Гредина)";улица Северная, д. 320, пав. 112;"Торговый комплекс ""Евроремонт""";;ИП Гредина Анжела Викторовна;Лепные Декоры;" 8003338923; 9654551837";krdld@l-decor.ru ;e-shop@l-decor.ru ;www.l-decor.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;45.040798936,38.9686852652;3149;;;
3153;"Красноярск, Салон ""Зодчие""";"Салон ""Зодчие""";;;;"Салон ""Зодчие""";"+7 391 2918111; +7 391 2918114; +7 391 2918141";zodchikrs@mail.ru;;;;;;Нет;;56.012259,92.890076;3152;;;
3155;"Курск, Магазин ""Обои""";улица Карла Маркса, д. 11;Интернет-магазин;;ИП Шаталова ТЛ;Мир Лепнины;9202650005;magazin@lepnina-kursk.ru;magazin@lepnina-kursk.ru;lepnina-kursk.ru;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;51.750522,36.192826;3154;;;
3156;"Курск, Магазин ""Дом обоев на Дружбе""";проспект Дружбы, д. 22;Салон;;ИП Литвинова ИС;"салон 
Элитных обоев";4 712 577 253;salonampirkursk@yandex.ru;;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;51.7401,36.132801;3154;;;
3157;Курск, Оптовая торговля;3-ий Средний пер., д. 5;;;;Оптовая торговля;79 606 828 172;;;;;;;Нет;;51.731393,36.219848;3154;;;
3158;Европласт - Курск (ул. Станционная);;;;;;;;;;;;;Нет;;51.743,36.234;3154;;;
3159;"Курск, ""Дом обоев"" на ул. Дружбы";проспект Дружбы, д. 22;Магазин;;ИП Шаталова ТЛ;дом обоев;"4712577251; 4712577252";oboiskursk@yandex.ru;;;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;51.7401,36.132801;3154;;;
3160;"Курск, Магазин ""Дом обоев""";улица Добролюбова, д. 15а;Торговый центр;;ИП Литвинова ИС;"салон 
Ампир-декор";4712396138;salonampirkursk@yandex.ru;;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;51.724024,36.186808;3154;;;
3162;"Магнитогорск, Салон ""Lux Decor""";улица Калинина д.1;Салон;"Бывшее детское кафе ""Сказка""";ИП Козлова Н.Б,;салон Lux Decor;3519221899;decorsalon@gmail.com;decorsalon@gmail.com;;10:00 - 19:00;10:00 - 17:00;Выходной;Нет;;53.419776,58.996497;3161;;;
3164;"Нижний Новгород, ООО ""ИнтерСтрой"", Интерьерный салон ""Интерстрой""";улица Короленко, д. 27, офис 103;;пл. Лядова, Телецентр;"ООО ""ИнтерСтрой""";"Интерьерный салон ""ИнтерСтрой""";"88312780314; 78312780550";interstroy@sandy.ru;interstroy@sandy.ru;;09:00 - 18:00;Выходной;Выходной;Нет;;56.310378,43.99341;3163;;;
3165;"Нижний Новгород, Интерьерный салон ""Избранное""";улица Белинского, д. 11/66;;"Напротива парка Пушкина, Название крупными буквами ""Избранное""";ИП Негина О.С.;Салон Избранное;"8312128883; 8314213888";evroplast@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;56.310577,44.000902;3163;;;
3166;Нижний Новгород, салон “Decor360”, ИП Негина О.С.;улица Бекетова, д. 13;;"Стройцентр ""Бекетов";ИП Негина О.С.;салон “Decor360”;"8314123130; 9082382424";salon@decor360.ru;;;10:00 - 20:00;10:00 - 18:00;10:00 - 18:00;Да;;56.290474,43.998126;3163;;;
3167;Нижний Новгород, Центр фасадного декора;улица Белинского, д. 11/66, этаж цоколь;;Напротива парка Пушкина;ИП Негина О.С.;Центр Фасадного декора;"8312128883; 8314211155";fasad@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;56.310577,44.000902;3163;;;
3169;"Нижневартовск, Салон ""Архитектурный Декор"" в ТЦ ""Твой дом""";улица Мира, д. 98;;;ИП Чащилов А.П.;"салон ""Архитектурный декор""";"9222556917; 9824123213";leka_bulikeeva@mail.ru;leka_bulikeeva@mail.ru;www.decor-ad.ru;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;60.9319608835,76.6203784749;3168;;;
3171;"Новосибирск, Салон ""Арт Декор"" на ул. Светлановской";улица Светлановская, д. 50;"ТВК ""Большая медведица""";;ИП Калиничев В.Г.;Салон Арт-Декор;"3832300323; 3832300201";decorsib@mail.ru;decorsib@mail.ru;artdecor.me;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;Да;;55.081302,82.932198;3170;;;
3173;"Омск, Салон ""Арт Декор"" на Герцена";улица Герцена, д. 36 (4 этаж);"Торговый Дом ""На Герцена""";;ИП Шелутько В.А.;Салон Арт-Декор;"3812243021; 3812502600";decorart@mail.ru;ya.art-decor@yandex.ru;artdecor.me;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;Да;;54.996438,73.373701;3172;;;
3174;"Омск, Салон ""Арт Декор"" на Пушкина";улица Пушкина, д. 37;;Пересечение улица Пушкина и улица Почтовая;ИП Шелутько В.А.;Салон Арт-Декор;"3812530836; 3812501600";ya.art-decor@yandex.ru;ya.art-decor@yandex.ru;artdecor.me;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;54.980802,73.385873;3172;;;
3175;"Омск, Салон ""Арт Декор"" ТК ""Кит Интерьер""";улица 10 лет Октября, д. 182;"ТК ""Кит-интерьер""";;ИП Шелутько В.А.;Салон Арт-Декор;3812507600;;ya.art-decor@yandex.ru;artdecor.me;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;54.989218,73.461439;3172;;;
3177;"Орел, МУП БСТ ""Лесоторговая""";Городская, д. 98;"ОАО ""База строительных товаров""";;ИП Панухник В.Н.;"Магазин ""ОБОИ""";"4862714801; 4862750711";info@57.leso-torg.ru;;www.leso-torg.ru;08:00 - 19:00;Выходной;Выходной;Нет;;52.942883,36.069452;3176;;;
3179;Оренбург, Идеал-Интерьер;пр. Гагарина, д. 58/1;;;;Идеал-Интерьер;"+7 353 2373181; +7 353 2327831";info@ideal56.ru;;www.ideal56.ru;;;;Нет;;51.774663,55.191746;3178;;;
3181;"Пенза, Магазин ""Элит Декор"" (ИП Новиков Н.Н.)";улица Пушкина, д. 7;Самостоятельные торговые точки;;ИП Новиков Н.Н.;"магазин ""Элит Декор""";"8412984058; 9053654747";novikovnn@mail.ru;novikovnn@mail.ru;elitdekornn.ru;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;53.196655,45.009836;3180;;;
3183;"Пермь, ООО ""Визард-Стиль""";улица Куйбышева, д. 101;;"стадион ""Звезда""";"ООО ""Визард-Стиль""";"ООО ""Визард-Стиль""";"3422460232; 3422460223";marina_vizard@mail.ru;marina_vizard@mail.ru;;09:00 - 19:00;11:00 - 16:00;Выходной;Нет;;57.988458,56.24802;3182;;;
3184;"Пермь, Салон ""Декор-Центр""";улица Ленина, д. 15;;;"ЗАО ""Стройинтер""";"Салон ""Декор центр""";"3422190570; 3422190571";stroyinter-dir@yandex.ru;stroyinter-dir@yandex.ru;decor-centre.ru;09:00 - 20:00;10:00 - 18:00;Выходной;Нет;;58.016,56.254;3182;;;
3185;"Пермь, Салон ""Декор-Центр"" ТЦ ""Гудвин""";улица Уральская, д. 63, пав. 1;"ТЦ ""Гудвин""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422640364;;;;10:00 - 20:00;10:00 - 20:00;11:00 - 19:00;Да;;58.029874,56.302872;3182;;;
3186;"Пермь, Салон ""Декор-Центр"" ТЦ ""Евразия""";улица Героев Хасана, д. 56;"ТЦ ""Евразия""";слева от эскалатора;"ЗАО ""Стройинтер""";"""Декоративка""";"3422113330; 3422113311";;;;10:00 - 21:00;10:00 - 21:00;10:00 - 20:00;Да;;57.965469,56.25951;3182;;;
3188;"Ростов-на-Дону, Салон ""Декор""";улица Красноармейская, д. 87/50;;Меджу проспект Соколова и проспект Ворошиловским по улица Красноармейской;ИП Левичев С.В.;"""Салон Декор""";"8632208980; 8632323921";decor-rostov@mail.ru;decor-rostov@mail.ru;www.kupidekor.ru;09:00 - 18:00;10:00 - 15:30;Выходной;Нет;;47.229207,39.716091;3187;;;
3190;"Рязань, Компания ""Синти"" (Куйбышевское шоссе)";Куйбышевское шоссе, д. 25, стр. 10;;;"Компания ""Синти"" (Куйбышевское шоссе)";;74 912 460 046;info@cinti.ru;;www.cinti.ru;;;;Нет;;54.599821,39.767942;3189;;;
3191;"Рязань, Компания ""Синти"" (Солотчинское шоссе)";Солотчинское шоссе, д. 2, этаж 2;"Торговый центр ""АВРОРА""";;ИП Фетисова Л.Г.;"ТД ""СИНТИ""";4912460046;vip@cinti.ru;vip@cinti.ru;;09:00 - 20:00;09:00 - 19:00;09:00 - 17:00;Да;;54.631504,39.774445;3189;;;
3193;"Самара, ТСК ""Кубатура""";улица Красноармейская, д. 1, пав. 238-240;СТК Кубатура;;ООО Форрум;магазин FORROOM;8462751696;forroom@forroom.ru;forroom@forroom.ru;;08:30 - 20:00;8:30 - 20:00;8:30 - 20:00;Да;;53.194389,50.090087;3192;;;
3195;"Саратов, ООО ""Дизайн-Паркет""";улица Чернышеского, д 203;Волжский Дом Быта;Вход с левого торца здания;ООО «Дизайн-Паркет»;Дизайн-Паркет;"8452740317; 9372250430";dezain-parket@bk.ru;dezain-parket@bk.ru;www.design-parket.com;09:00 - 19:00;09:00 - 18:00;Выходной;Нет;;51.527743,46.047866;3194;;;
3197;"Санкт-Петербург, Салон ""PITERRA"" (16-я Линия)";В.О., 16-я Линия, д. 93;;;ООО ПИТЕРРА;"Салон ""Piterra"" (16-я Линия)";8 123 198 888;;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;10:00 - 18:00;10:00 - 18:00;Да;;59.94586,30.258618;3196;;;
3198;"Санкт-Петербург, Салон ""PITERRA"" (Московский пр.)";Московский проспект, д. 111;2 салона;;ООО ПИТЕРРА;PITERRA;"8123198888; доб. 702";salonM111@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;10:00 - 18:00;10:00 - 18:00;Да;;59.889038,30.318761;3196;;;
3199;"Санкт-Петербург, Салон ""PITERRA"" (ТК ""Интерио"")";"Богатырский проспект, д. 14, ТК ""Интерио"", секция 245";Торговый комплекс «Интерио»;;ООО ПИТЕРРА;PITERRA;"8123198888; 703";saloninterio@piterra.ru;shop@piterra.ru;www.piterra.ru;11:00 - 21:00;11:00 - 21:00;11:00 - 21:00;Да;;59.9972975426,30.2686180172;3196;;;
3200;"Санкт-Петербург, Салон ""PITERRA"" (ТК ""Ланской"")";ул. Студенческая, д. 10, секция А-1;Торговый комплекс «Ланской»;;ООО ПИТЕРРА;PITERRA;"8123198888; доб. 701, 724";salonLanskoy@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;59.9892580109,30.3277746944;3196;;;
3201;"Санкт-Петербург, Салон ""PITERRA"" (ул. Железноводская)";ул. Железноводская, д. 3, секция 86;Строймаркет «Василеостровский»;;ООО ПИТЕРРА;PITERRA;"8123198888; доб. 704";salongelezka@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;59.953101,30.259202;3196;;;
3203;"Сочи, Салон-магазин ""Лепные декоры"", ТЦ ""Строй СИТИ"" (ИП Гредина А.В.)";улица Донская, д. 28;"ТЦ ""Строй Сити""";;ИП Гредина Анжела Викторовна;Лепные Декоры;"8003338923; 9654708422";sochi@l-decor.ru;e-shop@l-decor.ru;www.l-decor.ru;09:00 - 18:00;10:00 - 18:00;10:00 - 18:00;Да;;43.6122683494,39.729452464;3202;;;
3205;"Ставрополь, ООО ""Отан"" Салон-магазин ""Три Д"" (ул. Тухачевского)";улица Тухачевского, д. 12А;Рядом рынок «Тухачевский»;Напротив ТЦ «Москва»;ИП Кулинцева Е.С.;Три Д: Дом, Дизайн, Декор;"8652721829; 8652724123";info@salon3d.ru;info@salon3d.ru;www.salon3d.ru;10:00 - 19:00;10:00 - 16:00;10:00 - 16:00;Да;;45.011797,41.917781;3204;;;
3206;"Ставрополь, ООО ""Отан"" Салон-магазин ""Три Д"" (ОРТЦ ""Ставрополь"")";улица Доваторцев, д. 61;Торговый комплекс «ОРТЦ»;;ИП Кулинцева Е.С.;Три Д: Дом, Дизайн, Декор;"8652515050; 8652555310";tridnew@yandex.ru;;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;45.004952,41.925919;3204;;;
3208;"Стерлитамак, Салон ""РОЗЕТ"" (ИП Розет А.Р.)";"ул. Днепровская д. 7 ""А"", этаж 2";;;ИП Розет А.Р.;"Салон ""Розет""";"3473335363; 9174632379";rozetsterlitamak@mail.ru;Стерлитамак;rozetufa@gmail.com;10:00 - 19:00;10:00 - 18:00;Выходной;Нет;;53.619900166,55.9200861528;3207;;;
3210;"Сургут, Салон ""Архитектурный Декор"" в ТЦ ""Твой дом""";"ул. Кукуевицкого, 15/1, ТЦ ""Твой Дом""";;;;;+7(3462)324045;galant379075@mail.ru;;www.decor-ad.ru;;;;Нет;;61.254156,73.368176;3209;;;
3212;"Тамбов, Сеть фирменных салонов ""Декорация""";ул. Носовская, д.1;;;;"Сеть фирменных салонов ""Декорация""";79 107 527 525;decor.tmb@mail.ru;;;;;;Нет;;52.721715,41.447944;3211;;;
3214;"Тольятти, Салон ""Премьер""";улица Жукова, д. 2, оф. 3;;;ИП Рыбалка В.Н.;Салон Премьер;"8482539030; 9278911281";premier_tolgatti@rambler.ru;premier_tolgatti@rambler.ru;decor163.ru;09:00 - 18:00;Выходной;Выходной;Нет;;53.516398,49.307798;3213;;;
3216;"Томск, Салон ""Линия Декора""";пр-т. Фрунзе, д. 40;;;;"Салон ""Линия Декора""";73 822 530 130;romantika2020@sibmail.com;;;;;;Нет;;56.476498,84.963342;3215;;;
3218;"Тула,  ТЦ ""Мастер"" (ИП Новиков Р.В.)";ул Мосина, д. 29А;Торговый комплекс Мастер 1 этаж.;;И.П Новиков Р.В;;"9255060319; 9255094511; 9308961122";lepnina89@mail.ru;lepnina89@mail.ru;www. Evroplast-lepnina.ru;09:00 - 18:00;Выходной;Выходной;Нет;;54.2020126261,37.6013775509;3217;;;
3219;"Тула, ТЦ ""Наш Дом-1"" (ИП Новиков Р.В.)";ул Коминтерна, д. 24;Торговый комплекс Наш Дом 1 павильон 205.;;И.П Новиков Р.В;;"9255060319; 9308961122";lepnina89@mail.ru;lepnina89@mail.ru;;09:00 - 18:00;Выходной;Выходной;Нет;;54.200581,37.6016446442;3217;;;
3221;"Тюмень, Салон ""Архитектурный Декор"" в ТЦ ""Перестройка""";"ул. Пермякова, 1А, ТЦ ""Перестройка"", пав 123";;;;;"+7(3452)418181 (доб. 349); +7(3452)682290";galant_pk@mail.ru;;www.decor-ad.ru;;;;Нет;;57.1348061624,65.6059349367;3220;;;
3222;"Европласт - Тюмень ""Премьер Дом""";;;;;;;;;;;;;Нет;;57.134,65.563;3220;;;
3224;"Уфа, Салон ""Розет"" в ТД ""Арета""";"Большая Гражданская, д. 2, корп.Б, ТД ""Арета""";;;;"Салон ""Розет""";73 472 230 522;rozetufa@gmail.com;;www.ufa-rozet.ru;;;;Нет;;54.753,55.982;3223;;;
3225;"Уфа, Салон ""Розет"" (ул. Кирова)";улица Кирова, д. 34;Салон Розет;;ИП Розет Р.Р.;Салон Розет;"3472768513; 9173755100";rozetufa@gmail.com;rozetufa@gmail.com;;10:00 - 20:00;10:00 - 18:00;10:00 - 18:00;Да;;54.72998,55.952942;3223;;;
3226;"Уфа, Салон ""Розет"" (Радуга-Экспо)";Индустриальное шоссе, д. 44/1, 3 этаж, секция 3А-7;ТВК Радуга-Экспо;;ИП Розет  Р.Р.;Салон Розет;"3472922638; 9177651957; 9173444232";rozet-ekspo@mail.ru;rozetufa@gmail.com;;10:00 - 20:00;10:00 - 20:00;Выходной;Нет;;54.8014257191,56.0950214577;3223;;;
3227;"Уфа, Салон ""Розет""";ул. Индустриальное шоссе д. 44/1 корп.1, отдел № 2.25;;;;"Салон ""Розет""";73 472 463 167;rozetufa@gmail.com;;www.ufa-rozet.ru;;;;Нет;;54.8,56.108;3223;;;
3229;"Хабаровск, Салон ""Текстура""";улица Дзержинского, д. 65;"салон ""Текстура""";Вход смотрит на Амурский бульвар, с правого торца здания;"ИП Лебедева М.Е. ООО ""Текстура и Дизайн""";"Салон ""Текстура""";84212464040;postmaster@terralux.ru;postmaster@terralux.ru;www.terralux.ru;10:00 - 19:00;10:00 - 16:00;Выходной;Нет;;48.478,135.065;3228;;;
3230;"Хабаровск, Салон ""Терралюкс""";"ул. Пионерская, д. 16 ""а""";;;;"Салон ""Терралюкс""";"+7 4212 544040; +7 4212 754046";;;www.terralux.ru;;;;Нет;;48.463,135.083;3228;;;
3232;"Чебоксары, Cалон ""Montmartre"" (ИП Альхимович Г.А.)";проспект М.Горького, д. 26, цокольный этаж;Торговый дом «Респект»;;ИП Альхимович Г.А.;Салон «Montmartre»;"8352434565; 9170783919";montmartre_@mail.ru;montmartre_@mail.ru;sdel.ru;09:00 - 19:00;09:00 - 18:00;Выходной;Нет;;56.1492324937,47.1808518135;3231;;;
3234;"Челябинск, ООО ""Дизайн-стиль""";проспект Победы,  д. 177, оф. 111е;Торгово-офисное здание;;"ООО ""Дизайн-Стиль""";Дизайн-Стиль;"3517914912; 9058342218";dzs2006@mail.ru;dzs2006@mail.ru;designstyle74.ru;10:00 - 18:00;Выходной;Выходной;Нет;;55.183554,61.389088;3233;;;
3236;"Чита, Сеть магазинов ""Респект""";улица Нечаева, д. 35;магазин Респект;;"ООО ""Респект ЛТД""";Респект;3022317635;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 18:00;10:00 - 18:00;Выходной;Нет;;52.049611,113.508874;3235;;;
3238;"Ярославль, Магазин ""Синти"" (ООО ""Дизайн Проект"")";проспект Толбухина, д. 24/63;"Торговый центр ""На Толбухина""";;"ООО ""Дизайн Проект""";"Магазин ""Синти""";4852459593;yar@cinti.ru;;cinti.ru;10:00 - 19:00;10:00 - 18:00;10:00 - 17:00;Да;;57.622525,39.858528;3237;;;
3240;Якутск, ИП Чугунов Д.Г.;улица Жорницкого, д. 33;"Торговый центр ""Строительный""";;ИП Чугунов Д.Г.;"""Обои 44""";9142746100;Lidis72@mail.ru;;;10:00 - 18:00;10:00 - 18:00;10:00 - 18:00;Да;;62.0633,129.715002;3239;;;
3243;"Минск, Салон интерьера ""ЕвропластДекор""";ул. Cурганова, 2, офис 49;;;;"Салон интерьера ""ЕвропластДекор""";"+375 17 2842683; +375 44 7949489";;;;;;;Нет;;53.917,27.605;3242;;;
