IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP537;IP_PROP538;IP_PROP539;IP_PROP540;IP_PROP541;IP_PROP542;IP_PROP543;IP_PROP664;IP_PROP672;IP_PROP673;IP_PROP674;IP_PROP675;IP_PROP676;IP_PROP677;IP_PROP678;IP_PROP702;IP_PROP703;IP_PROP704;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP102;IP_PROP113;IC_GROUP0;IC_GROUP1;IC_GROUP2
3139;"Калининград, Салон ""Dom&Decor"" (ИП Федоров)";"<p><strong>ООО &laquo;КБМ&raquo;, Салон ""Dom&amp;Decor""</strong><br />Калининград, пр-т Мира, 84<br />тел.: +7 401 293 4242<br /><a href=""http://www.dom-decor.com"">www.dom-decor.com</a><br /><a href=""mailto:info@dom-decor.com"">info@dom-decor.com</a></p>";;ул. сержанта Колоскова, д. 12, пав. 9;;;ИП Федоров Н.А.;Dom&Decor;"4012934242; 9814758575";salon@dom-decor.com;salon@dom-decor.com;dom-decor.com;10:00 - 19:00;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;11:00 - 18:00;Выходной;Нет;;54.7158903663,20.484795;3138;;;
3140;Калининград, Dom&Decor (ООО Скандинавская Мебель, ИП В.А. Федоров);"<p><strong>ООО &laquo;КБМ&raquo;, Магазин &laquo;КБМ&raquo;</strong><br />Калининград, пр-т Победы, 157 А<br />тел.: +7 401 256 5375<br /><a href=""http://www.dom-decor.com"">www.dom-decor.com</a><br /><a href=""mailto:info@dom-decor.com"">info@dom-decor.com</a></p>";;Проспект Победы, д. 157А, 1 этаж;территория «Калининградбуммонтаж»;;ООО Скандинавская Мебель, ИП В.А. Федоров;Dom&Decor;"+7 (4012) 75-85-75; +7 (963) 292-48-78";salon@dom-decor.com;salon@dom-decor.com;dom-decor.com;10:00 - 19:00;;Нет;Нет;Нет;Нет;;;salon@dom-decor.com;;;;;;;;Да;;Нет;10:00 - 18:00;Выходной;Нет;;54.710602,20.437814;3138;;;
3141;Советск, «Михалыч» (ООО «Стройдом»);"<p><strong>ООО &laquo;КБМ&raquo;, Магазин &laquo;CITY&raquo;</strong><br />г. Советск, Калининградская обл., ул. Победы, 44<br />тел.: +7 401 613 8136, +7 401 613 6812, +7 401 613 1355<br /><a href=""http://www.dom-decor.com"">www.dom-decor.com</a><br /><a href=""mailto:info@dom-decor.com"">info@dom-decor.com</a></p>";;улица Тимирязева, д. 3, 1 этаж;Торговый центр «Михалыч»;;ООО «Стройдом»;«Михалыч»;"4016167272; 401667905";;logist@dom-decor.com;;09:00 - 19:00;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;09:00 - 15:00;09:00 - 15:00;Да;;55.0789626679,21.9124968221;6228;;;
3142;"Балтийск, ""Посейдон"" (ИП Федоров)";"<p><strong>ООО &laquo;КБМ&raquo;, &laquo;Посейдон&raquo;</strong><br />г. Балтийск, Калининградская обл., ул. Романова, 11<br />тел.: +7 963 291 7940<br /><a href=""http://www.dom-decor.com"">www.dom-decor.com</a><br /><a href=""mailto:info@dom-decor.com"">info@dom-decor.com</a></p>";;ул. Романова, д. 11;;;ИП Федоров;"""Посейдон""";79 632 917 940;info@dom-decor.com;;www.dom-decor.com;;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;;;Нет;;54.652402,19.917698;3138;;;
3146;"Кемерово, DecoХолл (ООО &quot;Олимп Плюс&quot;)";"<p><strong>Студия ""Гранд Декор""</strong><br />Кемерово, пр. Ленина 81-А<br />тел.: +7 384 235 9663<br /><a href=""http://www.granddekor.ru"">www.granddekor.ru</a><br /><a href=""mailto:mail@granddekor.ru"">mail@granddekor.ru</a></p>";;"проспект Ленина, д. 81-""А"", этаж 1";Магазин;;"ООО ""Олимп Плюс""";DecoХолл;+7 (3842) 35-96-63;lepnina@granddekor.ru;lepnina@granddekor.ru;granddekor.ru;10:00 - 19:00;;Нет;Нет;Нет;Нет;;;lepnina@granddekor.ru;retail;;;;;;;Да;+7 (3842) 35-96-63;Нет;11:00 - 17:00;Выходной;Нет;;55.342977,86.120477;3145;;;
3150;"Краснодар, Салон-магазин ""Лепные декоры"" ул. Красных партизан (ИП Гредина)";"<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><strong><span style=""font-size: small;""><span style=""font-family: Calibri;"">Салон-магазин<span style=""mso-spacerun: yes;"">&nbsp; </span>""Лепные декоры""</span></span></strong></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><span style=""font-size: small;""><span style=""font-family: Calibri;""><span style=""mso-bidi-font-weight: bold;"">Краснодар, ул. Красных партизан, 214</span><br />телефон: +7<span style=""mso-ansi-language: EN-US;"" lang=""EN-US"">&nbsp;</span>861<span style=""mso-ansi-language: EN-US;"" lang=""EN-US"">&nbsp;</span>251 0978, +7&nbsp;960&nbsp;475 6668<br />понедельник - пятница с 9.00 до 18.00, суббота с 10.00 до 16.00<br /><span style=""mso-ansi-language: EN-US;"" lang=""EN-US"">e</span>-<span style=""mso-ansi-language: EN-US;"" lang=""EN-US"">mail</span>: </span></span><a href=""mailto:l_decor1@mail.ru""><span style=""font-size: small;""><span style=""font-family: Calibri;""><span style=""color: windowtext; text-decoration: none; text-underline: none; mso-ansi-language: EN-US;"" lang=""EN-US"">l</span><span style=""color: windowtext; text-decoration: none; text-underline: none;"">_</span><span style=""color: windowtext; text-decoration: none; text-underline: none; mso-ansi-language: EN-US;"" lang=""EN-US"">decor</span><span style=""color: windowtext; text-decoration: none; text-underline: none;"">1@</span><span style=""color: windowtext; text-decoration: none; text-underline: none; mso-ansi-language: EN-US;"" lang=""EN-US"">mail</span><span style=""color: windowtext; text-decoration: none; text-underline: none;"">.</span><span style=""color: windowtext; text-decoration: none; text-underline: none; mso-ansi-language: EN-US;"" lang=""EN-US"">ru</span></span></span></a></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><span style=""font-size: small;""><span style=""font-family: Calibri;""><span style=""mso-ansi-language: EN-US;"" lang=""EN-US"">www</span>.<span style=""mso-ansi-language: EN-US;"" lang=""EN-US"">l</span>-<span style=""mso-ansi-language: EN-US;"" lang=""EN-US"">decor</span>.<span style=""mso-ansi-language: EN-US;"" lang=""EN-US"">ru</span></span></span></p>
<p>&nbsp;</p>";;улица Красных Партизан, д. 214;;"напротив ресторана ""Мадьяр""";ИП Гредина Анжела Викторовна;Лепные Декоры;"8003338923; 9604756668";salon@l-decor.ru;e-shop@l-decor.ru;www.l-decor.ru;09:00 - 18:00;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;09:00 - 16:00;Выходной;Нет;;45.0494848437,38.966483;3149;;;
3151;"Краснодар , Салон-магазин ""Лепные декоры"" ТЦ ""Евроремонт"" (ИП Гредина)";"<p><strong>Салон-магазин&nbsp; ""Лепные декоры""</strong><br />Краснодар, ул.Северная, д.320, <br />ТЦ &laquo;Евроремонт&raquo;, павильон 112<br />тел.: +7 861 210 5513<br /><a href=""http://www.l-decor.ru"">www.l-decor.ru</a><br /><a href=""mailto:l-decor2@mail.ru"">l-decor2@mail.ru</a></p>";;улица Северная, д. 320, пав. 112;"Торговый комплекс ""Евроремонт""";;ИП Гредина Анжела Викторовна;Лепные Декоры;"8003338923; 9654551837";krdld@l-decor.ru;e-shop@l-decor.ru;www.l-decor.ru;09:00 - 18:00;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;09:00 - 18:00;09:00 - 18:00;Да;;45.040798936,38.9686852652;3149;;;
3153;"Красноярск, Салон ""Зодчие""";"<p><strong>Салон ""Зодчие""</strong><br />Красноярск, пр. Мира 7 Г пом. 70<br />вход со стороны ул.Каратанова<br /><a href=""mailto:zodchikrs@mail.ru"">zodchikrs@mail.ru</a></p>";;"Салон ""Зодчие""";;;;"Салон ""Зодчие""";"+7 391 2918111; +7 391 2918114; +7 391 2918141";zodchikrs@mail.ru;;;;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;;;Нет;;56.012259,92.890076;3152;;;
3155;"Курск, Магазин ""Обои""";"<p><strong>Магазин &laquo;Обои&raquo;</strong><br />Курск, ул. Карла Маркса, 11<br />+7 471 258 7959, +7 471 258 7960<br /><a href=""mailto:oboimagkursk@yandex.ru"">oboimagkursk@yandex.ru</a></p>";;улица Карла Маркса, д. 11;Интернет-магазин;;ИП Шаталова ТЛ;Мир Лепнины;9202650005;magazin@lepnina-kursk.ru;magazin@lepnina-kursk.ru;lepnina-kursk.ru;09:00 - 20:00;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;09:00 - 20:00;09:00 - 20:00;Да;;51.750522,36.192826;3154;;;
3156;"Курск, Магазин ""Дом обоев на Дружбе""";"<p><strong>Магазин &laquo;Дом обоев на Дружбе&raquo;</strong><br />305048, г.Курск, пр-т Дружбы, д.22<br />+7 471 257 7251, +7 471 257 7252<br /><a href=""mailto:oboiskursk@yandex.ru"">oboiskursk@yandex.ru</a></p>";;проспект Дружбы, д. 22;Салон;;ИП Литвинова ИС;"салон 
Элитных обоев";4 712 577 253;salonampirkursk@yandex.ru;;;10:00 - 20:00;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;10:00 - 20:00;10:00 - 20:00;Да;;51.7401,36.132801;3154;;;
3157;Курск, Оптовая торговля;<p><strong>Оптовая торговля</strong><br />305031, г.Курск, 3-ий Средний пер., д.5<br />+7 960 682 8172</p>;;3-ий Средний пер., д. 5;;;;Оптовая торговля;79 606 828 172;;;;;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;;;Нет;;51.731393,36.219848;3154;;;
3158;Европласт - Курск (ул. Станционная);"<p><strong>Оптово-розничный склад &laquo;Обои&raquo;</strong><br />305038, г.Курск, ул.Станционная, д.42<br />+7 471 234 1875, +7 471 234 2328<br /><a href=""mailto:oboiopt@kursknet.ru"">oboiopt@kursknet.ru</a></p>";;;;;;;;;;;;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;;;Нет;;51.743,36.234;3154;;;
3159;"Курск, ""Дом обоев"" на ул. Дружбы";"<p><strong>Салон-магазин &laquo;Элит-Декор&raquo;</strong><br />305048, г.Курск, пр-т Дружбы, д.22<br />+7 471 257 7253<br /><a href=""mailto:Litvinovavipkursk@yandex.ru"">Litvinovavipkursk@yandex.ru</a></p>";;проспект Дружбы, д. 22;Магазин;;ИП Шаталова ТЛ;дом обоев;"4712577251; 4712577252";oboiskursk@yandex.ru;;;09:00 - 20:00;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;09:00 - 20:00;09:00 - 20:00;Да;;51.7401,36.132801;3154;;;
3160;Курск, салон  Ампир-декор (ИП Шаталова Т.Л.);"<p><strong>Магазин &laquo;Дом обоев&raquo;</strong><br />305001, г.Курск, ул.Добролюбова, д.15а<br />+7 471 239 6135, +7 471 239 6136<br /><a href=""mailto:oboidom@yandex.ru"">oboidom@yandex.ru</a></p>";;улица Добролюбова, д. 15а, 1 этаж;Торговый центр;;ИП Шаталова Т.Л.;салон Ампир-декор;4712396138;salonampirkursk@yandex.ru;;;10:00 - 20:00;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;10:00 - 20:00;10:00 - 20:00;Да;;51.724024,36.186808;3154;;;
3162;Магнитогорск, салон АРХИТЕКТОР (ИП Козлова Н.Б.);"<p><strong>Салон ""Lux Decor""</strong><br />Магнитогорск, ул. Калинина д.1<br />+7 351 922 1899<br /><a href=""mailto:decorsalon@gmail.com"">decorsalon@gmail.com</a></p>";;улица Калинина д.1, этаж 1;Салон;"Бывшее детское кафе ""Сказка""";ИП Козлова Н.Б.;салон АРХИТЕКТОР;+7 (3519) 22-18-99;ldsalon@mail.ru;ldsalon@mail.ru;;10:00 - 19:00;;Нет;Нет;Нет;Нет;;;ldsalon@mail.ru;retail;;;;;;;Да;+7 (3519) 22-18-99;Нет;10:00 - 17:00;Выходной;Нет;;53.419776,58.996497;3161;;;
3164;"Нижний Новгород, ООО ""ИнтерСтрой"", Интерьерный салон ""Интерстрой""";"<p><strong>ООО &ldquo;ИнтерСтрой&rdquo;</strong><br />Н.Новгород, ул.Короленко, 27, офис 103<br />(831) 278-05-50, 278-68-08, 278-03-14, 413-74-28<br /><a href=""http://www.decor360.ru"">www.decor360.ru</a><br /><a href=""mailto:interstroy@sandy.ru"">interstroy@sandy.ru</a></p>";;улица Короленко, д. 27, офис 103;;пл. Лядова, Телецентр;"ООО ""ИнтерСтрой""";"Интерьерный салон ""ИнтерСтрой""";"88312780314; 78312780550";interstroy@sandy.ru;interstroy@sandy.ru;;09:00 - 18:00;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;Выходной;Выходной;Нет;;56.310378,43.99341;3163;;;
3165;"Нижний Новгород, Интерьерный салон ""Избранное""";"<p><strong>Интерьерный салон &ldquo;Избранное&rdquo;</strong><br />г.Н.Новгород, ул.Белинского, 11/66<br />+7 347 274 11 11<br /><a href=""mailto:salon@elite-nn.ru"">salon@elite-nn.ru</a></p>";;улица Белинского, д. 11/66, 1 этаж;;Напротив парка Пушкина;ИП Негина О.С.;Салон Избранное;"8314213888; 8314211155";evroplast@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;10:00 - 18:00;10:00 - 18:00;Да;;56.310577,44.000902;3163;;;
3166;Нижний Новгород, салон “Decor360”, ИП Негина О.С.;"<p><strong>Салон &ldquo;Decor360&rdquo;</strong><br />г.Н.Новгород, ул.Бекетова, 13, <br />Строй Центр &ldquo;Бекетов&rdquo;, 2 этаж<br />тел.: (831) 412-31-30, <br />моб. 8(908) 238-24-24    <br /><a href=""mailto:salon@decor360.ru"">salon@decor360.ru</a></p>";;улица Бекетова, д. 13, 2 этаж;;"Стройцентр ""Бекетов""";ИП Негина О.С.;салон “Decor360”;"8314123130; 9082382424";salon@decor360.ru;;;10:00 - 21:00;;Нет;Нет;Нет;Нет;;;;;;;;;;;Нет;;Нет;10:00 - 19:00;10:00 - 19:00;Да;;56.290474,43.998126;3163;;;
3167;Нижний Новгород, Центр Фасадного декора (ИП Негина О.С.);"<p><strong>&ldquo;Центр фасадного декора&rdquo; </strong><br />Н. Новгород, ул. Белинского, д. 11/66<br />тел.: (831) 421-11-55, (831) 421-07-13<br /><a href=""mailto:fasad@elite-nn.ru"">fasad@elite-nn.ru</a></p>";;улица Белинского, д. 11/66, этаж цоколь;;Напротива парка Пушкина;ИП Негина О.С.;Центр Фасадного декора;+7 (831) 421-11-55;fasad@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;;Нет;Нет;Нет;Нет;;;opt@elite-nn.ru;;;;;;;;Да;;Нет;10:00 - 19:00;10:00 - 19:00;Да;;56.310577,44.000902;3163;;;
3169;"Нижневартовск, салон &quot;Архитектурный декор&quot; (1. ИП Чащилов А.П.; 2. ООО ТК &quot;Архитектурный декор&quot;)";"<p><strong>Салон &laquo;Галант&raquo;</strong><br />Нижневартовск, ул.Мира, д. 5/П, стр. 10, <br />ТЦ &laquo;Твой Дом&raquo;<br />тел.: (3466)29-34-08<br /><a href=""mailto:galant-vartovck@mail.ru"">galant-vartovck@mail.ru</a></p>";;улица Мира, д. 98 (1 этаж);;;"1. ИП Чащилов А.П.; 2. ООО ТК ""Архитектурный декор""";"салон ""Архитектурный декор""";+7 (3466) 42-43-24;nv@decor-ad.ru;info@decor-ad.ru;www.decor-ad.ru;09:00 - 19:00;;Нет;Нет;Нет;Нет;;;n.stepina@decor-ad.ru;;;;;;;;Да;;Нет;10:00 - 18:00;Выходной;Нет;;60.931961,76.620378;3168;;;
3171;Новосибирск, Салон Арт-Декор (ИП Калиничев В.Г.);"<p><strong>Салон ""Арт Декор""</strong><br />Новосибирск, ул. Светлановская, д.50, <br />ТВК ""Большая медведица"" <br />тел.: +7 383 230 03 23 <br /><a href=""mailto:decorsib@mail.ru"">decorsib@mail.ru</a></p>";;улица Светлановская, д. 50;"ТВК ""Большая медведица""";;ИП Калиничев В.Г.;Салон Арт-Декор;"+7 (383) 230-03-23; +7 (383) 230-02-01";decorsib@mail.ru;;;10:00 - 21:00;;Нет;Нет;Нет;Нет;;;;subdealer;"ООО ""ДЕКОЛЕ""";;;;;;Нет;;Нет;10:00 - 21:00;10:00 - 21:00;Да;;55.081302,82.932198;3170;;;
3173;Омск, Салон Арт-Декор (ИП Акулинская Ю.В.);"<p><strong>Салон ""Арт Декор""</strong><br />Омск, ул. Герцена, д.36, <br />ТД ""На Герцена"", 4 этаж<br />тел.: (3812)502-600, (3812)243-021 Факс<br /><a href=""http://www.artdecor.me"">www.artdecor.me</a><br /><a href=""mailto:decorart@mail.ru"">decorart@mail.ru</a></p>";;улица Герцена, д. 36 (1 этаж);"Торговый Дом ""На Герцена""";;ИП Акулинская Ю.В.;Салон Арт-Декор;"+7 (3812) 24-30-21; +7 (3812) 50-26-00";decorart@mail.ru;;artdecor-omsk.ru;10:00 - 20:00;;Нет;Нет;Нет;Нет;;;;retail;;;;;;;Нет;;Нет;10:00 - 19:00;10:00 - 19:00;Да;;54.996479,73.3732;3172;;;
