IE_XML_ID;IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP109;IP_PROP102;IP_PROP113;IC_GROUP0;IC_GROUP1;IC_GROUP2
3132;"Иваново, Декор-центр ""Арагон""";пр-т Шереметьевский, д. 18, 1-ый этаж;;;;"Декор-центр ""Арагон""";"+7 493 2580264; +7 915 8201116";aragondeco@mail.ru;;www.aragondeco.ru;;;;Нет;Пн-сб: 10:00-19:00, вск: 10:00-17:00;57.000941,40.987952;3131;;;
3134;"Ижевск, ООО ""Дженти"", ТЦ ""Гвоздь""";"ул. Удмуртская, 304, ТЦ ""Гвоздь"", офис 210а";;;"ООО ""Дженти""";;"+7 3412 656530; +7 3412 568030";andrei-lipin@mail.ru;;www.g-set.ru;;;;Нет;;56.860516,53.221551;3133;;;
3136;"Иркутск, Офис ООО ""Элит Декор""";ул. 30-й Иркутской Дивизии, д. 51;;;"ООО ""Элит Декор""";;+7 395 2278787;info@elit-decor.com;;www.elit-decor.com;;;;Нет;;52.266694,104.33358;3135;;;
3137;"Иркутск, ТЦ ""Фортуна"" (ООО ""Элит Декор"")";"ул. Октябрьской Революции, д. 1, ТЦ "" Фортуна"", пав. 118";;;"ООО ""Элит Декор""";"ТЦ ""Фортуна""";+7 395 2536549;info@elit-decor.com;;www.elit-decor.com;;;;Нет;;52.291367,104.297126;3135;;;
3139;"Калининград, Салон ""Dom&Decor"" (ИП Федоров)";пр-т Мира, д. 84;;;ИП Федоров;"Салон ""Dom&Decor""";+7 4012 934242;info@dom-decor.com;;www.dom-decor.com;;;;Нет;;54.720699,20.475399;3138;;;
3140;"Калининград, Салон ""Dom&Decor"" (ИП Федоров)";пр-т Победы, д. 157 А;;;ИП Федоров;;+7 4012 565375;info@dom-decor.com;;www.dom-decor.com;;;;Нет;;54.710667,20.439305;3138;;;
3141;"Советск, Магазин ""Сити"" (ИП Федоров"")";ул. Победы, д. 44;;;ИП Федоров;"Магазин ""CITY""";"+7 4016 138136; +7 4016 136812; +7 4016 131355";info@dom-decor.com;;www.dom-decor.com;;;;Нет;;55.0814,21.9024;3138;;;
3142;"Балтийск, ""Посейдон"" (ИП Федоров)";ул. Романова, д. 11;;;ИП Федоров;"""Посейдон""";+7 963 2917940;info@dom-decor.com;;www.dom-decor.com;;;;Нет;;54.652402,19.917698;3138;;;
3144;"Калуга, ООО ""Алладин""";ул. Кирова, д. 50;;;"ООО ""Алладин""";;"+7 484 2561418; +7 484 2599384";aladdin@kaluga.net;;www.aladdin-kaluga.ru;;;;Нет;;54.513913,36.258664;3143;;;
3146;"Кемерово, Студия ""Гранд Декор""";пр. Ленина, д. 81;;;ИП Шелутько В.А.;"Студия ""Гранд Декор""";+7 3842 359663;mail@granddekor.ru;;www.granddekor.ru;;;;Нет;;55.343957,86.120435;3145;;;
3148;"Комсомольск-на-Амуре, Салон ""Соломон""";ул. Кирова, д.46;;;;"Салон ""Соломон""";+7 421 7521505;solomon_kms@mail.ru;;www.terralux.ru;;;;Нет;;50.551303,137.027998;3147;;;
3150;"Краснодар, Салон-магазин ""Лепные декоры"" ул. Красных партизан";ул. Красных партизан, 214;;;ИП Гредина А.В.;"Салон-магазин ""Лепные декоры""";"+7 861 2553863; +7 903 4580921; +7 861 2510978; +7 960 4756668";salon@l-decor.ru ;;www.l-decor.ru;;;;Нет;Понедельник - пятница с 9.00 до 18.00, суббота с 10.00 до 16.00, всокресенье - выходной;45.049424,38.966483;3149;;;
3151;"Краснодар, Салон-магазин ""Лепные декоры"" ТЦ ""Евроремонт""";"ул. Северная, д. 320, ТЦ ""Евроремонт"", павильон 112";;;ИП Гредина А.В.;"ТЦ ""Евроремонт"", Салон-магазин ""Лепные декоры""";"+7 861 2105513; +7 965 4551837";salon@l-decor.ru ;;www.l-decor.ru;;;;Нет;Ежедневно с 9:00 до 18:00;45.041107,38.967489;3149;;;
3153;"Красноярск, Салон ""Зодчие""";"Салон ""Зодчие""";;;;"Салон ""Зодчие""";"+7 391 2918111; +7 391 2918114; +7 391 2918141";zodchikrs@mail.ru;;;;;;Нет;;56.012259,92.890076;3152;;;
3155;"Курск, Магазин ""Обои""";ул. Карла Маркса, д. 11;;;;"Магазин ""Обои""";"+7 471 2587959; +7 471 2587960";oboimagkursk@yandex.ru;;;;;;Нет;;51.750522,36.192826;3154;;;
3156;"Курск, Магазин ""Дом обоев на Дружбе""";пр-т Дружбы, д. 22;;;;"Магазин ""Дом обоев на Дружбе""";+7 471 2577252;oboiskursk@yandex.ru;;;;;;Нет;;51.7401,36.132801;3154;;;
3157;Курск, Оптовая торговля;3-ий Средний пер., д. 5;;;;Оптовая торговля;+7 960 6828172;;;;;;;Нет;;51.731393,36.219848;3154;;;
3158;Европласт - Курск (ул. Станционная);;;;;;;;;;;;;Нет;;51.743,36.234;3154;;;
3159;"Курск, ""Дом обоев"" на ул. Дружбы";пр-т Дружбы, д. 22;;;;"""Дом обоев""";+7 4712 577253;Litvinovavipkursk@yandex.ru;;;;;;Нет;;51.7401,36.132801;3154;;;
3160;"Курск, Магазин ""Дом обоев""";ул. Добролюбова, д. 15а;;;;"Магазин ""Дом обоев""";"+7 471 2396135; +7 471 2396136";oboidom@yandex.ru;;;;;;Нет;;51.724024,36.186808;3154;;;
3162;"Магнитогорск, Салон ""Lux Decor""";ул. Калинина д. 1;;;;"Салон ""Lux Decor""";+7 351 9221899;decorsalon@gmail.com;;;;;;Нет;;53.419776,58.996497;3161;;;
3164;"Н.Новгород, ООО ""ИнтерСтрой"", Интерьерный салон. Оптово-розничный склад. Интернет-магазин.";ул. Короленко, д. 27, офис 103;;;"ООО ""ИнтерСтрой""";;"+7 831 2780314; +7 831 2780550; +7 831 2786808; +7 903 6021230";interstroy@sandy.ru;evroplast@elite-nn.ru;www.decor360.ru;;;;Нет;;56.310378,43.99341;3163;;;
3165;"Н.Новгород, Интерьерный салон ""Избранное""";ул. Белинского, д. 11/66;;;;"Интерьерный салон ""Избранное""";"8 (831) 212-88-83; 8 (831) 421-11-55";evroplast@elite-nn.ru;evroplast@elite-nn.ru;www.iz-nn.ru;;;;Нет;;56.310577,44.000902;3163;;;
3166;Европласт - Нижний Новгород, “Decor360”;"ул. Бекетова, д. 13, СтройЦентр ""Бекетов"", 2 этаж";;;;"Салон ""Decor360""";"+7 831 4123130;+7 908 2382424";salon@decor360.ru;;;;;;Нет;;56.290474,43.998126;3163;;;
3167;Н.Новгород, Центр фасадного декора;ул. Белинского, д. 11/66;;;;Центр фасадного декора;"+7 831 4211155; +7 831 4210713";fasad@elite-nn.ru;;;;;;Нет;;56.310577,44.000902;3163;;;
3169;"Нижневартовск, Салон ""Архитектурный Декор"" в ТЦ ""Твой дом""";"ул.Мира, д. 5П, стр. 10, ТЦ ""Твой Дом""";;;;"Салон ""Архитектурный Декор""";+7 3466 293408;galant-vartovck@mail.ru;;"Салон ""Архитектурный Декор""";;;;Нет;;60.944899,76.555201;3168;;;
3171;"Новосибирск, Салон ""Арт Декор"" на ул. Светлановской";"ул. Светлановская, д. 50, ТВК ""Большая медведица""";;;ИП Шелутько В.А.;"Салон ""Арт Декор""";+7 383 2300323;decorsib@mail.ru;;;;;;Нет;;55.081302,82.932198;3170;;;
3173;"Омск, Салон ""Арт Декор"" на Герцена";"ул. Герцена, д. 36, ТД ""На Герцена"", 4 этаж";;;ИП Шелутько В.А.;"Салон ""Арт Декор"" на Герцена";+7 3812 243021;decorart@mail.ru;;www.artdecor.me;;;;Нет;;54.996438,73.373701;3172;;;
3174;"Омск, Салон ""Арт Декор"" на Пушкина";Пушкина, д. 37;;;ИП Шелутько В.А.;"Салон ""Арт Декор"" на Пушкина";+7 3812 530836;ya.artdecor@ya.ru;;www.artdecor.me;;;;Нет;;54.980802,73.385873;3172;;;
3175;"Омск, Салон ""Арт Декор"" ТК ""Кит Интерьер""";"ул.10 лет Октября, д.182, ТК ""Кит Интерьер"", 1-ый этаж";;;ИП Шелутько В.А.;"Салон ""Арт Декор"" ТК ""Кит Интерьер""";+7 3812 507600;;;www.artdecor.me;;;;Нет;;54.989218,73.461439;3172;;;
3177;"Орёл, МУП БСТ ""Лесоторговая""";"ул. Городская, д. 98 ""Б""";;;"МУП БСТ ""Лесоторговая""";;"+7 4862 476565; +7 4862 714801";info@bst.orel.ru;;;;;;Нет;;52.942883,36.069452;3176;;;
3179;Оренбург, Идеал-Интерьер;пр. Гагарина, д. 58/1;;;;Идеал-Интерьер;"+7 353 2373181; +7 353 2327831";info@ideal56.ru;;www.ideal56.ru;;;;Нет;;51.774663,55.191746;3178;;;
3181;"Пенза, Магазин ""Элит Декор""";ул. Пушкина, д. 7;;;;"Магазин ""Элит Декор""";+7 8412 205058;NovikovNN@mail.ru;;;;;;Нет;;53.196655,45.009836;3180;;;
3183;"Пермь, ООО ""Визард-Стиль""";Куйбышева, д. 101;;;"ООО ""Визард-Стиль""";;"+7 342 2460223 (-32); +7 342 2401191";info@wizard-style.ru;;www.wizard-style.ru;;;;Нет;;57.988458,56.24802;3182;;;
3184;"Пермь, Салон ""Декор-Центр""";ул. Ленина, д. 15;;;"ЗАО ""Стройинтер""";"Салон ""Декор-Центр""";"+7 342 2128080; +7 342 2190570";stroyinter-p@yandex.ru;;www.decor-centre.ru;;;;Нет;;58.016,56.254;3182;;;
3185;"Пермь, Салон ""Декор-Центр"" ТЦ ""Гудвин""";"ул. Уральская, д. 63, ТЦ ""Гудвин"", пав. 3, цокольный этаж";;;"ЗАО ""Стройинтер""";"Салон ""Декор-Центр"" ТЦ ""Гудвин""";+7 342 2607504;stroyinter-p@yandex.ru;;www.decor-centre.ru;;;;Нет;;58.029874,56.302872;3182;;;
3186;"Пермь, Салон ""Декор-Центр"" ТЦ ""Евразия""";"ул. Г.Хасана, д. 56, ТЦ ""Евразия"" 1-й этаж";;;"ЗАО ""Стройинтер""";"Салон ""Декор-Центр"" ТЦ ""Евразия""";+7 342 2113311;stroyinter-p@yandex.ru;;www.decor-centre.ru;;;;Нет;;57.965469,56.25951;3182;;;
3188;"Ростов-на-Дону, Салон ""Декор""";ул. Красноармейская, д. 87/50;;;;"Салон ""Декор""";"+7 863 2208980;+7 863 2323921";decor-rostov@mail.ru;;;;;;Нет;;47.229207,39.716091;3187;;;
3190;"Рязань, Компания ""Синти"" (Куйбышевское шоссе)";Куйбышевское шоссе, д. 25, стр. 10;;;"Компания ""Синти"" (Куйбышевское шоссе)";;+7 491 2460046;info@cinti.ru;;www.cinti.ru;;;;Нет;;54.599821,39.767942;3189;;;
3191;"Рязань, Компания ""Синти"" (Солотчинское шоссе)";Солотчинское шоссе, д. 2;;;"Компания ""Синти"" (Солотчинское шоссе)";;+7 491 2460047;info@cinti.ru;;www.cinti.ru;;;;Нет;;54.631504,39.774445;3189;;;
3193;"Самара, ТСК ""Кубатура""";"ул. Красноармейская, д. 1, ТСК ""Кубатура"", 2 этаж, секция 239";;;"ОО ""Форрум""";"Бутик интерьера ""FORROOM""";+7 846 2409016;mail@forroom.ru;;www.forroom.ru;;;;Нет;;53.194389,50.090087;3192;;;
3195;"Саратов, ООО ""Дизайн-Паркет""";ул.Чернышевского, д. 203, отдельный вход с левого торца здания;;;"ООО ""Дизайн-Паркет""";;+7 8452 740317;dezain-parket@bk.ru;;www.design-parket.com;;;;Нет;;51.527743,46.047866;3194;;;
3197;"Санкт-Петербург, Салон ""PITERRA"" (16-я Линия)";В.О., 16-я Линия, д. 93;;;;"Салон ""Piterra"" (16-я Линия)";+7 812 3198888;;shop@piterra.ru;www.piterra.ru;;;;Нет;;59.94586,30.258618;3196;;;
3198;"Санкт-Петербург, Салон ""PITERRA"" (Московский пр.)";Московский пр., д. 111;;;;"Салон ""Piterra"" (Московский пр.)";+7 812 3198888, доб. 617, 618, 702, 751, 752;salonM111@piterra.ru;shop@piterra.ru;www.piterra.ru;;;;Нет;;59.889038,30.318761;3196;;;
3199;"Санкт-Петербург, Салон ""PITERRA"" (ТК ""Интерио"")";"Богатырский пр., д. 14, ТК ""Интерио"", секция 245";;;;"Салон ""PITERRA"" (ТК ""Интерио"")";+7 812 3198888;saloninterio@piterra.ru;shop@piterra.ru;www.piterra.ru;;;;Нет;;59.998598,30.2685;3196;;;
3200;"Санкт-Петербург, Салон ""PITERRA"" (ТК ""Ланской"")";"ул. Студенческая, д. 10, ТК ""Ланской"", модуль А-1";;;;"Салон ""PITERRA"" (ТК ""Ланской"")";+7 812 3198888, доб. 701, 724;salonLanskoy@piterra.ru;shop@piterra.ru;www.piterra.ru;;;;Нет;;59.989,30.328;3196;;;
3201;"Санкт-Петербург, Салон ""PITERRA"" (ул. Железноводская)";ул. Железноводская, д. 3, секция 86;;;;"Салон ""PITERRA"" (ул. Железноводская)";+7 812 3198888, доб. 615, 616;salongelezka@piterra.ru;shop@piterra.ru;www.piterra.ru;;;;Нет;;59.953101,30.259202;3196;;;
3203;"Сочи, Салон-магазин ""Лепные декоры"", ТК ""СтройСИТИ"" (ИП Гредина А.В.)";"ул. Донская, д. 28, ТК ""СтройСИТИ"", синий сектор, пав. С10";;;ИП Гредина А.В.;"Салон-магазин  ""Лепные декоры""";"+7 862 2258519; +7 965 4708422; +7 965 4630246";sochi@l-decor.ru;sochi@l-decor.ru;www.l-decor.ru;;;;Нет;Ежедневно с 9:00 до 18:00;43.612853,39.728452;3202;;;
3205;"Ставрополь, ООО ""Отан"" Салон-магазин ""Три Д"" (ул. Тухачевского)";ул. Тухачевского, д. 12А;;;"ООО ""Отан""";"Салон-магазин ""Три Д"" (ул. Тухачевского)";"+7 8652 721829; +7 8652 724123";tri_d.info@mail.ru;;www.salon3d.ru;;;;Нет;;45.011797,41.917781;3204;;;
3206;"Ставрополь, ООО ""Отан"" Салон-магазин ""Три Д"" (ОРТЦ ""Ставрополь"")";"ул. Доваторцев, д. 61, ОРТЦ ""Ставрополь""";;;"ООО ""Отан""";"Салон-магазин ""Три Д"" (ОРТЦ ""Ставрополь"")";"+7 8652 721829; +7 8652 724124";tri_d.info@mail.ru;;www.salon3d.ru;;;;Нет;;45.004952,41.925919;3204;;;
3208;"Стерлитамак, Салон ""РОЗЕТ""";"ул. Днепровская д.7 корп. А, ТД ""Левашов""";;;;"Салон ""Розет""";+7 917 4632379;rozetsterlitamak@mail.ru;;www.ufa-rozet.ru;;;;Нет;;53.62,55.920504;3207;;;
3210;"Сургут, Салон ""Архитектурный Декор"" в ТЦ ""Твой дом""";"ул. Кукуевицкого, 15/1, ТЦ ""Твой Дом""";;;;;+7(3462)324045;galant379075@mail.ru;;www.decor-ad.ru;;;;Нет;;61.254156,73.368176;3209;;;
3212;"Тамбов, Сеть фирменных салонов ""Декорация""";ул. Носовская, д.1;;;;"Сеть фирменных салонов ""Декорация""";+7 910 7527525;decor.tmb@mail.ru;;;;;;Нет;;52.721715,41.447944;3211;;;
3214;"Тольятти, Салон ""Премьер""";ул.Жукова, д.2, оф.3;;;;"Салон ""Премьер""";"+7 8482 539030; +7 8482 611281";evroplast-togliatti@rambler.ru;;;;;;Нет;;53.516398,49.307798;3213;;;
3216;"Томск, Салон ""Линия Декора""";пр-т. Фрунзе, д. 40;;;;"Салон ""Линия Декора""";+7 3822 530130;romantika2020@sibmail.com;;;;;;Нет;;56.476498,84.963342;3215;;;
3218;"Тула,  ТЦ ""Мастер"" (ИП Новиков Р.В.)";ул. Мосина, д. 29А, ТЦ Мастер, пав. 102;;;ИП Новиков Р.В.;;"+7 925 5060319; +7 925 5094511; +7 930 8961122";lepnina89@maill.ru;lepnina89@maill.ru;www.evroplast-lepnina.ru;;;;Нет;Ежедневно 09:00-18:00;54.2020126261,37.6013775509;3217;;;
3219;"Тула, ТЦ ""Наш Дом-1"" (ИП Новиков Р.В.)";ул. Коминтерна, 24, ТЦ Наш Дом-1, пав. 205;;;ИП Новиков Р.В.;;"+7 925 5060319; +7 930 8961122";lepnina89@maill.ru;lepnina89@maill.ru;www.evroplast-lepnina.ru;;;;Нет;Ежедневно 09:00-18:00;54.200581,37.6016446442;3217;;;
3221;"Тюмень, Салон ""Архитектурный Декор"" в ТЦ ""Перестройка""";"ул. Пермякова, 1А, ТЦ ""Перестройка"", пав 123";;;;;"+7(3452)418181 (доб. 349); +7(3452)682290";galant_pk@mail.ru;;www.decor-ad.ru;;;;Нет;;57.1348061624,65.6059349367;3220;;;
3222;"Европласт - Тюмень ""Премьер Дом""";;;;;;;;;;;;;Нет;;57.134,65.563;3220;;;
3224;"Уфа, Салон ""Розет"" в ТД ""Арета""";"Большая Гражданская, д. 2, корп.Б, ТД ""Арета""";;;;"Салон ""Розет"" ";+7 347 2230522;rozetufa@gmail.com;;www.ufa-rozet.ru;;;;Нет;;54.753,55.982;3223;;;
3225;"Уфа, Салон ""Розет"" (ул. Кирова)";ул. Кирова, д. 34;;;;"Салон ""Розет"" (ул. Кирова)";"+7 347 2768513; +7 347 2912124; +7 347 2768163";rozetufa@gmail.com;;www.ufa-rozet.ru;;;;Нет;;54.72998,55.952942;3223;;;
3226;"Уфа, Салон ""Розет"" (Радуга-Экспо)";ул. Индустриальное шоссе, д. 44/1, Радуга-Экспо, 3 этаж, 3А7;;;;"Салон ""Розет"" (Радуга-Экспо)";"+7 347 2922638; +7 919 1581609";rozet-ekspo@mail.ru;;www.ufa-rozet.ru;;;;Нет;;54.803,56.095;3223;;;
3227;"Уфа, Салон ""Розет""";ул. Индустриальное шоссе д. 44/1 корп.1, отдел № 2.25;;;;"Салон ""Розет""";+7 347 2463167;rozetufa@gmail.com;;www.ufa-rozet.ru;;;;Нет;;54.8,56.108;3223;;;
3229;"Хабаровск Салон ""Текстура""";ул. Дзержинского, д. 65;;;ИП Лебедева;"Салон ""Текстура""";"+7 421 2464040; +7 421 2464046";postmaster@terralux.ru;;www.terralux.ru;;;;Нет;;48.478,135.065;3228;;;
3230;"Хабаровск, Салон ""Терралюкс""";"ул. Пионерская, д. 16 ""а""";;;;"Салон ""Терралюкс""";"+7 4212 544040; +7 4212 754046";;;www.terralux.ru;;;;Нет;;48.463,135.083;3228;;;
3232;"Чебоксары, Cалон ""Montmartre"" (ИП Альхимович Г.А.)";"пр. Максима Горького, д. 26, ТД ""Респект""";;;ИП Альхимович Г.А.;Салон «Montmartre»;"+7 8352 434565; +7 9170 783919";montmartre_@mail.ru;montmartre_@mail.ru;www.sdel.ru;;;;Нет;;56.1492324937,47.1808518135;3231;;;
3234;"Челябинск, ООО ""Дизайн-стиль""";пр-т Победы, д. 177;;;"ООО ""Дизайн-стиль""";;"+7 351 7914912; +7 905 8342218";dzs2006@mail.ru;;www.designstyle74.ru;;;;Нет;;55.183554,61.389088;3233;;;
3236;"Чита, Сеть магазинов ""Респект""";ул. Нечаева, д. 35;;;;"Сеть магазинов ""Респект""";"+7 3022 317634; +7 3022 317635";zaslonova@mail.ru;;www.respect-ltd.su;;;;Нет;пн - cб: 10 - 18;52.049611,113.508874;3235;;;
3238;"Ярославль, Магазин ""Синти""";пр-т Толбухина, д. 24/63;;;;"Магазин ""Синти""";";+7 4852 459593";office@sinti.ru;;www.сinti.ru;;;;Нет;;57.622525,39.858528;3237;;;
3240;Якутск, ИП Чугунов Д.Г.;ул. Жорницкого, д. 33, Строительный рынок, павильон 44;;;;;+7 4112 746100;;;;;;;Нет;пн - вс: 10 - 19;62.0633,129.715002;3239;;;
3243;"Минск, Салон интерьера ""ЕвропластДекор""";ул. Cурганова, 2, офис 49;;;;"Салон интерьера ""ЕвропластДекор""";"+375 17 2842683; +375 44 7949489";;;;;;;Нет;;53.917,27.605;3242;;;
3244;"Минск, ""ДАЛИ"", ул. Пономаренко, 35А, оф. 103 (ЧТУП ""Салон Интерьера"")";"ул. Пономаренко, 35А, оф. 103 (ресторан ""СОЧИ"") ";;;"ЧТУП ""Салон Интерьера""";ДАЛИ;"+375 17 2022000; +375 44 5750697";dekor-si@mail.ru;dekor-si@mail.ru;www.dekorus.by;;;;Нет;"пн - пн : 9.00 - 18.00
сб - вс : 10.00 - 17.00";53.8928863508,27.4935586952;3242;;;
3245;"Минск, ТЦ ""Град""";ул. Тимирязева, 123, кор. 2, 2-й этаж;;;;"ТЦ ""Град""";+375 17 2022062;;;;;;;Нет;;53.933,27.457;3242;;;
3248;"Усть-Каменогорск, ТОО ""NS Trade""";ул. Рабочая, д. 6/1;;;"ТОО ""NS Trade""";;"+7 7232 544807; +7 7232 544805; +7 7232 544800";nota-bene.kz@mail.ru;;;;;;Нет;;49.9784007318,82.605399;3247;;;
3249;"Усть-Каменогорск, Магазин ""Nota Bene""";ул. Орджоникидзе, д. 48;;;;"Магазин ""Nota Bene""";+7 7232 268248;nota-bene.kz@mail.ru;;;;;;Нет;;49.9527786209,82.6191367288;3247;;;
3252;"Киев, ТЦ ""Домосфера"" (D&D GROUP)";"Столичное шоссе, д. 101, ТЦ ""Домосфера"", секция С-34";;;D&D GROUP (ДИ ЭНД ДИ ГРУПП);;"+38 044 2527454; +38 098 3274958";info@d-dgroup.com.ua;;www.d-dgroup.com.ua;;;;Нет;;50.343333,30.552161;3251;;;
3253;"Самара, Бутик интерьера ""FORROOM"" (офис, склад)";ул.Ново-Садовая, д. 14А;;;"ОО ""Форрум""";"Бутик интерьера ""FORROOM"" (офис, склад)";+7 846 2409016;mail@forroom.ru;;www.forroom.ru;;;;Нет;;53.208996,50.130538;3192;;;
3254;"Самара, Бутик интерьера ""FORROOM"" ТЦ Стройдом";ул.Крупской, д.1, ТЦ СтройДом, 2 эт., секция 210 б;;;;;+7 846 2409016;mail@forroom.ru;;www.forroom.ru;;;;Нет;;53.180182,50.075175;3192;;;
3256;"Абакан, Салон отделочных материалов ""ЗОДЧИЕ"" на Тельмана";ул.Тельмана, д. 83;;;;;+7 3902 348393;zodchiabakan@mail.ru;;;;;;Нет;;53.731,91.443;3255;;;
3257;"Абакан, Салон отделочных материалов ""ЗОДЧИЕ"" на Чехова";ул.Чехова, д. 56;;;;;+7 390 2346800;;;;;;;Нет;;53.73,91.448;3255;;;
3259;"Нальчик, ТЦ ""Мега-Дом""";"ул. Идарова, д. 129 ТЦ ""Мега-Дом""";;;;;+7 866 2913484 ;;;;;;;Нет;;43.5041,43.622397;3258;;;
3261;"Казань, Склад-магазин (ООО ""Статус Кво Казань"")";ул.Чистопольская, д. 26/5;;;"ООО ""Статус Кво Казань""";Склад-магазин;"+7 843 2269624; +7 843 2263355";ch2269624@yandex.ru;ch2269624@yandex.ru;www.natyanemvsem.ru;;;;Нет;;55.818832,49.114741;3260;;;
3262;"Казань, ТК ""Савиново"" (ООО ""Статус Кво Казань"")";"ул. Ямашева д. 93, ТК ""Савиново"", 2 этаж";;;"ООО ""Статус Кво Казань""";;"+7 843 2962243; +7 843 2263355";statusquokazan@yandex.ru;;www.natyanemvsem.ru;;;;Нет;;55.826023,49.148797;3260;;;
3264;"Раменское, Компания ""Планета Декора"""; ул. Транспортный проезд, д. 1-Б;;;"Компания ""Планета Декора""";;+7 499 755 52 27;info@planeta-decora.ru;;www.planeta-decora.ru;;;;Нет;;55.561013,38.251091;3263;;;
3265;"Москва - Каширский двор 2 (ООО ""Сити Лайн"")";Каширский двор 2, павильон  П 6-2;;;"ООО ""Сити Лайн""";;+7 495 7825231;;;;;;;Нет;;55.673,37.628;3109;;;
3266;"Москва, Магазин ""Лепнина"" в ТК ""Миллион мелочей"" (ИП Алекперов В.Г.)";"ул. Пришвина д. 26, ТК ""Миллион мелочей"", павильон № С04/1";;;ИП Алекперов В.Г.;"Магазин ""Лепнина""";+7 926 9102057;decorru@yandex.ru;;www.1decor.ru;;;;Нет;Ежедневно с 9:00 до 21:00;55.8847521808,37.6037629153;3109;;;
