IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP360;IP_PROP361
43004;318;;;[HTML]Заказала элементы для камина, но в декоре не нашла основание (между элементами на пол) камина...чтобы было понятно прикладываю фото. Можно ли у вас заказать?;
43045;324;;;[HTML]дизайн и монтаж;"[HTML]Алексей, спасибо за обращение. С вами свяжется наш специалист.<br>
"
43061;325;;;[HTML]Добрый день, Подскажите представительства вашей продукции во Франции. И можно ли оформить заказа в Москве с доставкой во Францию;"[HTML]Екатерина, добрый день.<br>
С вами свяжется наш специалист по Франции<br>"
43069;326;;;[HTML]Добрый день.<br/>Нас интересуют декоративные столбы, закрыть метало каркас веранды.;
43070;326;;;[HTML]Добрый день.<br/>Нас интересуют декоративные столбы, закрыть метало каркас веранды.;"[HTML]Ольга, добрый день.<br/>Благодарим за вопрос. Консультацию Вы можете получить у официального дилера Европласта по Ленинградской области, контакты:<br/>PITERRA<br/>ООО ""Питерра""<br/>Московский проспект, д. 111, 1 этаж<br/>Тел.: +7 (812) 319-88-88, доб. 702,732,752<br/>salonM111@piterra.ru<br/>Время работы:<br/>Будни	- 10:00 - 20:00<br/>Суббота	- 10:00 - 20:00<br/>Воскресенье	- 10:00 - 18:00<br/>Без выходных<br/>URL: http://www.piterra.ru/<br/>Приятных Вам покупок."
43109;327;;;[HTML]Здравствуйте! Хотела бы уточнить вашу почту. Я архитектор. Наша компнаия закладывает ваши изделия в проект (Москва). Нам необходимо КП. Куда я могу отправить запрос на КП. Файл прикрепила;"[HTML]Добрый день, Светлана.<br/>Благодарю Вас за проявленный интерес к декору нашей торговой марки.<br/>Продажу и продвижение декора ТМ «Европласт» в регионах РФ компания ООО «Декор» осуществляет через своих официальных представителей – дилерские компании, содержащие склады с наличием продукции в регионе. <br/>По всем вопросам, связанным с декором ТМ «Европласт» во Владимирской области, в т. ч. и по вопросам приобретения, Вы можете обращаться к нашему официальному представителю. Во Владимире и Владимирской области это компания ООО «Планета Декора». Головной склад и офис компании находятся в г. Раменское, Московской области:<br/><br/>«ЕВРОПЛАСТ-ВЛАДИМИР»<br/>ООО ""ПЛАНЕТА ДЕКОРА""<br/>Тел.: +7 (499) 755-52-27<br/>info@planeta-decora.ru<br/>www.planeta-decora.ru<br/><br/>Оперативный склад и офис компании в г. Владимир:<br/><br/>«ЕВРОПЛАСТ-ВЛАДИМИР»<br/>Интерьерная компания Объект<br/>улица Студеная гора, д. 34-А <br/>Тел.: +7 (499) 755-52-27, +7 (926) 274-70-37<br/>info@planeta-decora.ru<br/>www.planeta-decora.ru<br/><br/>Директор компании ООО «Планета Декора» - Смышляев Сергей Юрьевич, +7 926 274 70 37.<br/><br/>Вам лёгких и результативных переговоров и хорошей стройки!<br/><br/>С уважением,<br/>Рудыкин Дмитрий <br/>Региональный менеджер <br/>ООО ""Декор""<br/> <br/>+7 903  103 47 66<br/>+7 499 755 85 85, доб.201<br/>D.Rudykin@decor-evroplast.ru<br/>www.evroplast.ru<br/>Instagram: decor_evroplast<br/>Facebook : https://www.facebook.com/decor.evroplast<br/><br/>"
43117;329;;;"[HTML]Добрый день! Уточните пожалуйста габариты алюминиевого уголка на изделия 4.01.301; 4.91.003 и габариты оцинковочных саморезов ";[HTML]Светлана, добрый день! <br/>Уголки используются 3-4 см <br/>Саморезы от 120 мм (в зависимости от вида и крепления элемента).<br/>Подробное описание крепления фасадных элементов отправлены Вам на электронную почту.<br/>
43152;330;;;[HTML]Добрый день! Я являюсь представителем   оптовой строительной компании в г. Харьков, Украина. У нас есть очень крупный заказ по Вашему продукту. Интересует вопрос сотрудничества и покупки Вашего товара. Свяжитесь со мной любым удобным для Вас способом. Заранее благодарна за оперативный ответ!;
43217;331;;;[HTML]Существует ли система скидок при крупных заказах? ;"[HTML]Екатерина, добрый день.<br/>Благодарим за вопрос. Консультацию по системе скидок Вы можете получить у официального дилера Европласта по Ленинградской области, контакты:<br/>PITERRA<br/>ООО ""Питерра""<br/>Московский проспект, д. 111, 1 этаж<br/>Тел.: +7 (812) 319-88-88, доб. 702,732,752<br/>salonM111@piterra.ru<br/>Время работы:<br/>Будни	- 10:00 - 20:00<br/>Суббота	- 10:00 - 20:00<br/>Воскресенье	- 10:00 - 18:00<br/>Без выходных<br/>URL: http://www.piterra.ru/<br/>Приятных Вам покупок. "
43266;332;;;[HTML]Добрый день. Цена молдингов и карнизов указана за метр погонный или за палку?;"[HTML]Добрый день, Татьяна.<br/><br/>Цена на карнизы и молдинги указана за одну штуку. Длина погонажных элементов декора ТМ ""Европласт"": карнизов, молдингов, плинтусов 2000 мм (2 метра)<br/><br/>Получить консультацию по нашей продукции в Брянске Вы можете в салонах наших официальных представителей:<br/><br/>Компания ""Империя Декора"", <br/>Торговый центр ""Аэропарк"", ул. Объездная д. 30, этаж 2<br/>Тел.: +7 (4832) 30-99-57, +7 (4832) 30-99-57       imperiya_dekora32@mail.ru<br/>Торговый Центр "" Мебель&Дом "", ул. Красноармейская д. 128<br/>Тел.: +7 (4832) 41-99-57, +7 (4832) 41-99-57   imperiya_dekora@mail.ru<br/><br/>Арт-студия ""Карнавал Красок"", <br/>Ул. Октябрьская, 42 Тел.: +7 (4832) 59-94-41, +7 (4832) 74-98-74   dekobryansk@mail.ru<br/><br/>Вам лёгких и результативных переговоров и хорошей стройки!"
43397;333;;;[HTML]Добрый день. Проинструктируйте, пожалуйста, как устанавливаются плинтусы Европласт при стеновой кладке из декоративного кирпича?Спасибо!;[HTML]Добрый день, монтаж изделий на декоративный кирпич производится без изменений, так-же монтируется на монтажный клей (если это в помещении) и соединяются стыковочным клеям между собою. Зазор между декором и кирпичом, проходить нудно именно тем клеям на который клеили.<br/><br/>Для информации: <br/>В интерьере монтируйте на монтажный клей Европласт<br/>На фасаде на универсальный клей Европласт.<br/>Стыковочный клей один Европласт - стыковочный, он подходит как для интерьера так и для фасада.
43495;334;;;[HTML]Добрый день. Подскажите как происходит процесс монтажа декоративных панелей? просто на клей?<br/><br/>и какой расход клея приблизительно будет?;[HTML]Добрый день. Декоративные панели монтируются на монтажный клей и соединяются между собою стыковочным клеем.<br/>1 балон монтажного клея идет на 4 панели<br/>1 балон стыковочного клея 290мл. идет на 6 панелей.<br/>Это приблизительный расчет клея, на расход влияет ровность стены на которую планируется устанавливать панели.
43568;335;;;[HTML]скажите салон-магазин на ленина уже не работает?и где сейчас склад,тк по улице тибетской он уже не находится!!на сайте устаревшая информация;"[HTML]Андрей, доброе утро.<br/>Спасибо за обращение. Сообщаю Вам, что салон на ул. Ленина  не работает, склад на ул. Тибетской в процессе переезда, скоро на сайте появится новый адрес склада.<br/>Основной и неизменный салон с небольшим складом, где Вам всегда рады и всегда ждут,  находится по адресу:<br/><br/>Ростов-на-Дону<br/>""Салон Декор""<br/>ИП Левичев С.В.<br/>улица Красноармейская, д. 87/50, 1 этаж<br/>Между проспектом Соколова и проспектом Ворошиловским по ул. Красноармейской<br/>Тел.: +7 (863) 220-89-80, +7 (863) 232-39-21<br/>decor-rostov@mail.ru<br/>Время работы:<br/>Будни - 09:00 - 18:00 <br/>Суббота - 10:00 - 15:30 <br/>Воскресенье - Выходной <br/>URL: http://www.kupidekor.ru/<br/><br/>Приятных Вам покупок!<br/><br/>"
43588;336;;;[HTML]Добрый день. Меня зовут Елена.-Студия инерьерного дизайна в Балаково Саратовской обл.<br/><br/>Уточните работаете ли с дизайнерами и на каких условиях. занимаемся комплектацией своих объектов.<br/><br/> В данный моментунас проект: Ресторан. в классическом стиле.  Планируем использовать лепнину. Европласт;"[HTML]Елена, доброе утро.<br/>Рады знакомству и очень благодарны Вам за обращение. Да, сотрудничаем.  На каких условиях, Вы сможете узнать у нашего официального представителя в Саратове. <br/>С удовольствием сообщаем Вам, что нашим официальным представителем на территории Саратовской области является компания ООО ""Дизайн Паркет"". Представительство имеет склад продукции, обеспечивающий возможность отгрузить необходимые товары клиенту «здесь и сейчас», ниже контакты. Приятного Вам сотрудничества.<br/><br/>Саратовская область<br/>Саратов<br/>Центр Лепного Декора<br/>ООО «Дизайн-Паркет»<br/>улица Московская, д. 11, этаж 1<br/>Салон находится на ул.Московская, между ул.Чернышевского и ул.Лермонтова<br/>Тел.: +7 (8452) 74-03-17, +7 (937) 225-04-30<br/>dezain-parket@bk.ru<br/>Время работы:<br/>Будни - 09:00 - 19:00 <br/>Суббота - 09:00 - 17:00 <br/>Воскресенье - 09:00 - 17:00 <br/>Без выходных <br/>URL: http://www.design-parket.com/<br/><br/>"
43601;337;;;[HTML] Галина, уточните пожалуйста. розничные цены  у Вас и в Саратове одинаковые.;[HTML]Елена, ещё раз добрый день.<br/>Да, розничные цены в Москве и в Саратове  одинаковые.<br/>Взаимовыгодного вам сотрудничества!!!
43629;338;;;[HTML]Добрый день,<br/>Вам пишет Нериюс из Америки,предстовляю строителную компаию,  меня интересует Молдинги.<br/><br/>Пристиог фаил с ресунком  - можете таких зделать?<br/>Если можете пришлите каталог вашеи продукции. <br/><br/>напишите цены ? ( на доларах)<br/><br/>буду ждать ответа <br/><br/>Нериюс <br/><br/>;"[HTML]Нериюс, здравствуйте.<br/>Благодарим Вас за обращение. Сообщаем Вам, что для рассмотрения возможности изготовления изделия (формы) под заказ необходимо ответить на следующие вопросы:<br/>1) Какое количество изделий надо изготовить?<br/>2) Есть возможность отправить чертежи (эскиз, шаблон) минимум в 2-х проекциях, со всеми размерами  в миллиметрах? Если да, то прошу отправить их на электронный адрес: G.Groian@decor-evroplast.ru<br/>Изделия ""Европласт"" указанные на нашем сайте  есть в наличии на складе и если Вам нужен  каталог по этим изделиям можно отправить, укажите, пожалуйста, адрес  куда его нужно отправить. <br/>Ждем Ваших ответов. Хорошего Вам дня.<br/><br/><br/><br/>"
43681;339;;;[HTML]как пересчитать погонные метры в штуки это по молдингу 1.50.160;"[HTML]Флора, доброе утро.<br/>Благодарим за вопрос. Подробную консультацию Вы можете получить у официального дилера Европласта по Ленинградской области, ниже контакты:<br/>PITERRA<br/>ООО ""Питерра""<br/>Московский проспект, д. 111, 1 этаж<br/>Тел.: +7 (812) 319-88-88, доб. 702,732,752<br/>salonM111@piterra.ru<br/>Время работы:<br/>Будни - 10:00 - 20:00<br/>Суббота - 10:00 - 20:00<br/>Воскресенье - 10:00 - 18:00<br/>Без выходных<br/>URL: http://www.piterra.ru/<br/>Приятных Вам покупок."
43686;340;;;[HTML]Здравствуйте,<br/><br/>Возможно ли применять ваш фасадный декор на каркасном доме, облицованном деревянной имитацией бруса?<br/><br/>Как в таком случае будет крепится венчающий карниз?<br/><br/>Спасибо;[HTML]Добрый день, Олег.<br/>Применять фасадный материал можно. Монтаж производится при помощи спец.клеев (Клей Европласт Универсальный, Клей Европласт Стыковочный) дополнительно используются саморезы и алюминиевый профиль. Описание монтажа фасадных элементов в прикрепленном файле.  
43806;341;;;[HTML]Добрый день! Подскажите,возможен ли демонтаж панелей с дальнейшим использованием их же? спасибо!;[HTML]Добрый день, Юлия!<br/>При монтаже панелей используется большое количество клея, в связи с чем демонтаж произвести сложно. Если у вас получится демонтировать материал без изломов, дальнейшее использование возможно.  
43807;342;;;[HTML]Здравствуйте! С праздником! Я с города Актау, казахстан. Занимаюсь продажей ламинатов, паркетов, дверей, ручек и т.д.  Пишу по поводу сотрудничества/ оптовый закуп. В каких городах есть ваши дилеры в Казахстане? Спасибо. Жду ответа, предложений.;
43810;342;;;[HTML]Здравствуйте! С праздником! Я с города Актау, казахстан. Занимаюсь продажей ламинатов, паркетов, дверей, ручек и т.д.  Пишу по поводу сотрудничества/ оптовый закуп. В каких городах есть ваши дилеры в Казахстане? Спасибо. Жду ответа, предложений.;"[HTML]Сабира, добрый день.<br/>Благодарим Вас за обращение, а также поздравляем с праздником. Рады знакомству и сообщаем  Вам, что нашим официальным представителем на территории Казахстана является компания ТОО ""Эволюшн Технолоджис"", ниже контакты. Представительство имеет склад продукции, обеспечивающий возможность отгрузить необходимые товары клиенту «здесь и сейчас». Приятного Вам сотрудничества.<br/><br/>Казахстан<br/>Алматы<br/>Салон Премьера<br/>TOO Evolution Technologies<br/>Жилой дом<br/>ул. Абдуллиных, д. 64 (шестиэтажное здание)<br/>угол ул.Богенбай батыра<br/>Тел.: +7 (707) 212-77-17, +7 (7272) 22-10-55<br/>evokz@mail.ru<br/>Время работы:<br/>Будни - 10:00 - 19:00 <br/>Суббота - 10:00 - 19:00 <br/>Воскресенье - Выходной <br/>URL: http://www.evp.kz/<br/><br/>"
43827;343;;;[HTML] Заказ №06970 изменен карниз 1.50.258-5шт<br/>карниз 1.50.257-2шт<br/>карниз 1.50.226-6шт<br/>;"[HTML]Добрый день, Андрей.<br/><br/>Ваши пожелания по изменению состава и количества элементов в заказе №06970 - Старый Оскол приняты и перенаправлены нашему официальному дилеру в Белгород.<br/>Обслуживание заказа в вашем регионе производит наш официальный дилер ООО ""Европласт-Белгород АрхДекор"".<br/>Справочную информацию Вы можете получить по телефону: +7 (4722) 20 75 82, <br/>E-mail: vkhim2008@yandex.ru<br/>Ответственный сотрудник компании-дилера свяжется с Вами в самое ближайшее время..."
43882;344;;;[HTML] Здравствуйте! <br/>Выполняет ли  ваше производство заказы по эскизам заказчика, в частности изготовить плинтус из полиуретана?;[HTML]Добрый день, Владимир. <br/>Присылайте эскизы и необходимый метраж, мои контакты ниже. В течении трех рабочих дней мы сможем рассмотреть вопрос об изготовление. <br/><br/>С Уважением <br/>Руководитель отдела розничных продаж<br/>Чиличихин Андрей<br/>+ 7 499 755 85 85 доб. 109 <br/>+ 7 926 266 17 65 <br/>A.Chilichihin@decor-evroplast.ru<br/>www.evroplast.ru<br/>Instagram: decor_evroplast<br/>Facebook : https://www.facebook.com/decor.evroplast<br/><br/><br/>
43937;345;;;[HTML]Сотрудничество с Вашей компанией .;
43938;345;;;[HTML]Сотрудничество с Вашей компанией .;"[HTML]Добрый день, Николай!<br/>Благодарим  Вас за вопрос. Рады Вам сообщить, что нашим официальным представителем на территории Оренбургской области является компания ООО ""Виват-Проект"". Представительство имеет склад продукции, обеспечивающий возможность отгрузить необходимые товары клиенту «здесь и сейчас». Приятного Вам сотрудничества.<br/><br/>Оренбургская область<br/>Оренбург<br/>VIVA design interior<br/>ООО ""Виват-Проект""<br/>Салон ""VIVA design interior""<br/>улица Правды, д. 25<br/>Тел.: +7 (3532) 40-80-00, +7 (3532) 59-92-93<br/>viva-design09@mail.ru<br/>Время работы:<br/>Будни - 10:00 - 19:00 <br/>Суббота - 10:00 - 16:00 <br/>Воскресенье - Выходной <br/>URL: http://www.vivainterior.ru/<br/><br/><br/>"
43944;346;;;[HTML]Здравствуйте! Это тестовый вопрос для проверки функционала. Отвечать не надо.<br/>https://evroplast.ru/question_service/;[HTML]Тестовый ответ
43957;348;;;[HTML]подскажите пожалуйста углы(1.52.322 ) подходят для молдинга(1.51.322 );[HTML]Добрый день Олег.<br/>Все верно, угол 1.52.322  подходит к молдингу 1.51.322.   
43975;349;;;[HTML]здравствуйте. карниз 1.50.108 крепится под натяжной потолок?;[HTML]Добрый день Елена.<br/>Выбранный вами карниз имеет выступ по потолку 114мм. это достаточно большое расстояние для натяжного потолка, лучше всего посмотрите карниз с менее большим вылетом по потолку например: 1.50.191, 1.50.159, 1.50.103, 1.50.160, 1.50.105, 1.50.174..... Выбирайте карниз под натяжной потолок с выступом от стены не более 70мм, т.к. крепиться карниз будет только к стене, а натяжной потолок имеет подвижность при перепаде температуры, что в дальнейшем может привезти к отрыву карниза с большим выступом по потолку.
43999;350;;;"[HTML]Доброе утро. Интересуют декоротивные панели белого цвета для отделки потолка, под рисунок стен ""дамаск"" но не тонкие панели, чтобы не просвечивали, толщиной 3-5 мм. Что можите предложить? Рисунок верхний правый угол.";[HTML]Добрый день, Наталья. Мы можем Вам предложить отделку потолка кессонами. Вы можете посмотреть их на нашем сайте по ссылке https://evroplast.ru/catalogue/interernyj-dekor/kessony-i-kupola. Согласно рисунку, который Вы приложили вам подойдет кессон 1.57.002.
44006;351;;;[HTML]По срокам доставки декоративного декора;
