IE_XML_ID;IE_NAME;IP_PROP103;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP113
3162;"Магнитогорск, Салон &quot;Lux Decor&quot; ";ИП Козлова Н.Б,;улица Калинина д.1;Салон;"Бывшее детское кафе ""Сказка""";салон Lux Decor;3519221899;decorsalon@gmail.com;decorsalon@gmail.com;;10:00 - 19:00;10:00 - 17:00;Выходной;Нет;;3161
3164;"Нижний Новгород, ООО &quot;ИнтерСтрой&quot;, Интерьерный салон &quot;Интерстрой&quot; ";"ООО ""ИнтерСтрой""";улица Короленко, д. 27, офис 103;;пл. Лядова, Телецентр;"Интерьерный салон ""ИнтерСтрой""";"88312780314; 78312780550";interstroy@sandy.ru;interstroy@sandy.ru;;09:00 - 18:00;Выходной;Выходной;Нет;;3163
3165;"Нижний Новгород, Интерьерный салон &quot;Избранное&quot; ";ИП Негина О.С.;улица Белинского, д. 11/66;;"Напротива парка Пушкина, Название крупными буквами ""Избранное""";Салон Избранное;"8312128883; 8314213888";evroplast@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;3163
3166;Нижний Новгород, салон “Decor360”, ИП Негина О.С. ;ИП Негина О.С.;улица Бекетова, д. 13;;"Стройцентр ""Бекетов";салон “Decor360”;"8314123130; 9082382424";salon@decor360.ru;;;10:00 - 20:00;10:00 - 18:00;10:00 - 18:00;Да;;3163
3167;Нижний Новгород, Центр фасадного декора ;ИП Негина О.С.;улица Белинского, д. 11/66, этаж цоколь;;Напротива парка Пушкина;Центр Фасадного декора;"8312128883; 8314211155";fasad@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;3163
3169;"Нижневартовск, Салон &quot;Архитектурный Декор&quot; в ТЦ &quot;Твой дом&quot; ";ИП Чащилов А.П.;улица Мира, д. 98;;;"салон ""Архитектурный декор""";"9222556917; 9824123213";leka_bulikeeva@mail.ru;leka_bulikeeva@mail.ru;www.decor-ad.ru;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;3168
3173;"Омск, Салон &quot;Арт-Декор&quot; на Герцена ";ИП Акулинская Ю.В.;улица Герцена, д. 36 (4 этаж);"Торговый Дом ""На Герцена""";;Салон Арт-Декор;"3812243021; 3812502600";decorart@mail.ru;artdecor-kit@mail.ru;artdecor-int.ru;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;Да;;3172
3174;"Омск, Салон &quot;Арт Декор&quot; на Пушкина ";ИП Шелудько А.А.;улица Пушкина, д. 37 (1 этаж);;Пересечение ул. Пушкина и ул. Почтовая;Салон Арт-Декор;"3812530836; 3812501600";ya.art-décor@yandex.ru;artdecor-kit@mail.ru;artdecor-int.ru;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;3172
3175;"Омск, Салон &quot;Арт-Декор&quot; ТК &quot;Кит Интерьер&quot; ";ИП Шелудько А.А.;улица 10 лет Октября, д. 182, корп.3 (1 этаж);"ТК ""Кит-интерьер""";;Салон Арт-Декор;3812507600;artdecor-kit@mail.ru;artdecor-kit@mail.ru;artdecor-int.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3172
3177;"Орел, МУП БСТ &quot;Лесоторговая&quot; ";ИП Панухник В.Н.;Городская, д. 98, этаж 3;"ОАО ""База строительных товаров""";"В здании ""Эстетика интерьера""";"Магазин ""ОБОИ""";"4862714801; 4862750711";info@57.leso-torg.ru;ibelova@57.leso-torg.ru;www.leso-torg.ru;08:00 - 20:00;08:00 - 20:00;08:00 - 17:00;Да;;3176
3183;"Пермь, ООО &quot;Визард-Стиль&quot; ";"ООО ""ВИЗАРД- ИНТЕРЬЕРНЫЕ РЕШЕНИЯ""";ул. Н. Островского, 44а, 2-этаж;отдельно стоящее здание;а/заправка на ул. Тихой;ВИЗАРД;3422141400;plotnikov_wizard@mail.ru;plotnikov_wizard@mail.ru;;10:00 - 19:00;11:00 - 18:00;Выходной;Нет;;3182
3184;"Пермь, Салон &quot;Декор-Центр&quot; ";"ЗАО ""Стройинтер""";улица Ленина, д. 15;;;"Салон ""Декор центр""";"3422190570; 3422190571";stroyinter-dir@yandex.ru;stroyinter-dir@yandex.ru;;09:00 - 20:00;10:00 - 18:00;Выходной;Нет;;3182
3185;"Пермь, Салон &quot;Декор-Центр&quot; ТЦ &quot;Гудвин&quot; ";"ЗАО ""Стройинтер""";улица Уральская, д. 63, пав. 1;"ТЦ ""Гудвин""";;"""Декоративка""";3422640364;;;;10:00 - 20:00;10:00 - 20:00;11:00 - 19:00;Да;;3182
3186;"Пермь, Салон &quot;Декор-Центр&quot; ТЦ &quot;Евразия&quot; ";"ЗАО ""Стройинтер""";улица Героев Хасана, д. 56;"ТЦ ""Евразия""";слева от эскалатора;"""Декоративка""";"3422113330; 3422113311";;;;10:00 - 21:00;10:00 - 21:00;10:00 - 20:00;Да;;3182
3188;"Ростов-на-Дону, Салон &quot;Декор&quot; ";ИП Левичев С.В.;улица Красноармейская, д. 87/50, 1 этаж, стенд 1;;Между проспектом Соколова и проспектом Ворошиловским по ул. Красноармейской;"""Салон Декор""";"8632208980; 8632323921";decor-rostov@mail.ru;decor-rostov@mail.ru;evroplast-rostov.ru;09:00 - 18:00;10:00 - 15:30;Выходной;Нет;;3187
3191;"Рязань, ТД &quot;СИНТИ&quot; ";"ООО ""Зеленый коридор""  ИП Фетисова Л.Г.";Солотчинское шоссе, д. 2, этаж 2;"Торговый центр ""АВРОРА""";;"ТД ""СИНТИ""";4912460046;vip@cinti.ru;vip@cinti.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 18:00;Да;;3189
3193;"Самара, ТСК &quot;Кубатура&quot; ";ООО Форрум;улица Красноармейская, д. 1, пав. 238-240;СТК Кубатура;;магазин FORROOM;8462751696;forroom@forroom.ru;forroom@forroom.ru;;08:30 - 20:00;8:30 - 20:00;8:30 - 20:00;Да;;3192
3195;"Саратов, ООО &quot;Дизайн-Паркет&quot; ";ООО «Дизайн-Паркет»;улица Московская, д. 11, этаж 1;;Салон находится на ул.Московская, между ул.Чернышевского и ул.Лермонтова;Центр Лепного Декора;"8452250430; 9372250430";dezain-parket@bk.ru;dezain-parket@bk.ru;www.design-parket.com;09:00 - 19:00;09:00 - 17:00;09:00 - 17:00;Да;;3194
3198;"Санкт-Петербург, Piterra Московский 111 (ООО &quot;Питерра&quot;) ";"ООО ""Питерра""";Московский проспект, д. 111, 1 этаж;2 салона;;PITERRA;"8123198888; доб. 702,732,752";salonM111@piterra.ru;shop@piterra.ru ;www.piterra.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 18:00;Да;;3196
3199;"Санкт-Петербург, Piterra Интерио (ООО &quot;Питерра&quot;) ";"ООО ""Питерра""";ул. Полевая Сабировская, д. 54А, 2 этаж, секция 245;Торговый комплекс «Интерио»;;PITERRA;"8123198888; доб. 703";saloninterio@piterra.ru;shop@piterra.ru ;www.piterra.ru;11:00 - 21:00;11:00 - 21:00;11:00 - 21:00;Да;;3196
3200;"Санкт-Петербург, Piterra Ланской (ООО &quot;Питерра&quot;) ";"ООО ""Питерра""";ул. Студенческая, д. 10, 1 этаж, Секция А-1;Торговый комплекс «Ланской»;;PITERRA;"8123198888; доб. 701, 724";salonLanskoy@piterra.ru;shop@piterra.ru ;www.piterra.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3196
3205;"Ставрополь, ООО &quot;Отан&quot; Салон-магазин &quot;Три Д&quot; (ул. Тухачевского) ";ИП Кулинцева Е.С.;улица Тухачевского, д. 12А;Рядом рынок «Тухачевский»;Напротив ТЦ «Москва»;Три Д: Дом, Дизайн, Декор;"8652721829; 8652724123";info@salon3d.ru;info@salon3d.ru;www.salon3d.ru;10:00 - 19:00;10:00 - 16:00;10:00 - 16:00;Да;;3204
3206;"Ставрополь, ООО &quot;Отан&quot; Салон-магазин &quot;Три Д&quot; (ОРТЦ &quot;Ставрополь&quot;) ";ИП Кулинцева Е.С.;улица Доваторцев, д. 61;Торговый комплекс «ОРТЦ»;;Три Д: Дом, Дизайн, Декор;"8652515050; 8652555310";tridnew@yandex.ru;;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3204
3214;"Тольятти, Салон &quot;Премьер&quot; ";ИП Рыбалка В.Н.;улица Жукова, д. 2, оф. 3;;;Салон Премьер;"8482539030; 9278911281";premier_tolgatti@rambler.ru;premier_tolgatti@rambler.ru;decor163.ru;09:00 - 18:00;Выходной;Выходной;Нет;;3213
3218;Тула,  Лепной Декор  (И.П. Новиков Р.В.) ;И.П. Новиков Р.В.;ул Мосина, д. 29, пав. 102;Торговый комплекс Мастер, 1 этаж;;Лепной Декор ;"9255094511; 9308961122";lepnina89@mail.ru;lepnina89@mail.ru;www.Evroplast-lepnina.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3217
3225;"Уфа, Салон &quot;Розет&quot; (ул. Кирова) ";ИП Розет Р.Р.;улица Кирова, д. 34 (1 этаж);Салон Розет;;Салон Розет;"3472768513; 9173755100";rozetufa@gmail.com;rozetufa@gmail.com;www.ufa-rozet.ru;10:00 - 20:00;11:00 - 18:00;12:00 - 17:00;Да;;3223
3226;"Уфа, Салон &quot;Розет&quot; (Радуга-Экспо) ";ИП Розет Р.Р.;Индустриальное шоссе, д. 44/1, 2 этаж, пав. Экспо, секция 2Б;ТВК Радуга-Экспо;рядом с эскалатором;Салон Розет;"3472922638; 9177651957; 9173444232";rozet-ekspo@mail.ru;rozetufa@gmail.com;www.ufa-rozet.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3223
3229;"Хабаровск, Салон &quot;Текстура&quot; ";"ИП Лебедева М.Е. ООО ""Текстура и Дизайн""";улица Дзержинского, д. 65;"салон ""Текстура""";Вход смотрит на Амурский бульвар, с правого торца здания;"Салон ""Текстура""";84212464040;postmaster@terralux.ru;postmaster@terralux.ru;www.terralux.ru;10:00 - 19:00;10:00 - 16:00;Выходной;Нет;;3228
3232;"Чебоксары, Cалон &quot;Montmartre&quot; (ИП Альхимович Г.А.) ";ИП Альхимович Г.А.;проспект М.Горького, д. 26, цокольный этаж;Торговый дом «Респект»;;Салон «Montmartre»;"8352434565; 9276666028";montmartre_@mail.ru;gossnab@sdel.ru;sdel.ru;09:00 - 19:00;09:00 - 18:00;Выходной;Нет;;3231
3234;"Челябинск, ООО &quot;Дизайн-стиль&quot; ";"ООО ""Дизайн-Стиль""";проспект Победы,  д. 177, оф. 111е;Торгово-офисное здание;;Дизайн-Стиль;"3517914912; 9058342218";dzs2006@mail.ru;dzs2006@mail.ru;designstyle74.ru;10:00 - 18:00;Выходной;Выходной;Нет;;3233
3236;"Чита, Сеть магазинов &quot;Респект&quot; ";"ООО ""Респект ЛТД""";улица Нечаева, д. 35;магазин Респект;;Респект;3022317635;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 18:00;10:00 - 18:00;Выходной;Нет;;3235
3244;"Минск, &quot;ДАЛИ&quot;, ул. Пономаренко, 35А, оф. 103 (ЧТУП &quot;Салон Интерьера&quot;) ";"ЧТУП ""Салон интерьера""";улица Пономаренко, 35А, оф. 103;Товарищество собственников Пономаренко, 35 А;"Ресторан ""СОЧИ""";Товарищество собственников Пономаренко, 35 А;"375172022000; 375445750697";dekor-si@mail.ru;dekor-si@mail.ru;www.dekorus.by;09:00 - 18:00;10:00 - 17:00;Выходной;Нет;;3242
3245;"Минск, ТЦ &quot;Град&quot;, ЧТУП &quot;Салон интерьера &quot;Декор&quot; ";"ЧТУП ""Салон интерьера ""Декор""";ул. Тимирязева, 123, кор. 2, 2-й этаж;"ТЦ ""Град""";Рынок Ждановичи;"ТЦ ""Град""";"375172596316; 375291068560";dekor-si@mail.ru;dekor-si@mail.ru;www.domdekor.by;10:00 - 17:00;10:00 - 17:00;10:00 - 17:00;Нет;Понедельник;3242
3249;Усть-Каменогорск, ТОО NS Tarde ;ТОО NS Tarde;улица Орджоникидзе, д. 48 (1 этаж);Жилой дом;;Nota Bene;7232268248;;zakaz.evokz@mail.ru;;09:00 - 18:00;Выходной;Выходной;Нет;;3247
3253;"Самара, Бутик интерьера &quot;FORROOM&quot; (офис, склад) ";ООО Форрум;улица Ново-Садовая, д. 14а;;;офис FORROOM;8462409016;forroom@forroom.ru;forroom@forroom.ru;www.samara.cc;10:00 - 19:00;11:00 - 17:00;Выходной;Нет;;3192
3256;"Абакан, Салон отделочных материалов &quot;ЗОДЧИЕ&quot; на Тельмана ";"ООО ""Зодчие""";улица Тельмана, д. 83-32Н;;;"""Зодчие""";"3902348393; 3902346800";ninazodchi@mail.ru;ninazodchi@mail.ru;;10:00 - 19:00;10:00 - 17:00;Выходной;Нет;;3255
3262;Казань, ЕВРОПЛАСТ для красоты стен и потолков ЛЕПНИНА (Статус Кво) ;Статус Кво;улица Ямашева, д. 93, 2 этаж;"Торговый Комплекс ""Савиново""";Левый ряд напротив дверей Гардиан;ЕВРОПЛАСТ для красоты стен и потолков ЛЕПНИНА;8432263355;zakaz@evroplast116.ru;zakaz@evroplast116.ru;www.evroplast116.ru;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;Да;;3260
3266;"Москва, Магазин &quot;Лепнина&quot; в ТК &quot;Миллион мелочей&quot; (ИП Алекперов В.Г.) ";ИП Алекперов В.Г.;"ул. Пришвина д. 26, ТК ""Миллион мелочей"", павильон № С04/1";"ТК ""Миллион Мелочей""";;"Магазин ""Лепнина""";9269102057;decorru@yandex.ru;decorru@yandex.ru;www.1decor.ru;09:00 - 20:45;09:00 - 20:45;09:00 - 20:45;Да;;3109
3267;"Москва, ТК &quot;Люблинское поле&quot; (ИП Налбантов И.А.) ";ИП Налбантов И.А.;Тихорецкий бульвар, 1 , павильон № О-110;"ТК ""Люблинское поле""";;Лепные Декоры;84957853505;7853505@mail.ru;7853505@mail.ru;www.mstyle.su;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;3109
3270;Жуковский, ИП Принцев И.О. ;ИП Принцев И.О.;Театральная ул., 3, Ярмарка на Театральной, павильон № 2, № 8;;;;"+7 915 4940995; +7 916 0212107";;;;;;;Нет;;3109
3273;"Казань, Центральный интерьерный салон ООО &quot;Европласт Декор&quot; ";"ООО ""Европласт Декор""";улица Адоратского д. 3;;"За ТК ""Савиново""";Европласт Декор;"8435220454; 9874101414";5220454@mail.ru;5220454@mail.ru;evroplastkazan.ru;09:00 - 19:00;09:00 - 19:00;10:00 - 17:00;Да;;3260
3277;"Оренбург, Интерьерный салон &quot;Viva Дизайн&quot; ";"ООО ""Виват-Проект""";улица Правды, д. 25;"Салон ""VIVA design interior""";;VIVA design interior;"3532408000; 3532599293";viva-design09@mail.ru;viva-evroplast@yandex.ru;www.vivainterior.ru;10:00 - 19:00;10:00 - 16:00;Выходной;Нет;;3178
3282;"Москва, ТВК &quot;Метр-Квадратный&quot; (ООО &quot;Сити-Декор&quot;) ";"ООО ""Сити-Декор""";"Волгоградский проспект, д.32, корпус 25 (пересечение Волгоградского проспекта и ТТК), ТВК ""Метр-Квадратный"", павильон № 22";"ТВК ""Метр-Квадратный""";;Лепнина;"4956693547; 4956485067";metr@decolepnina.ru;city-decor@yandex.ru;www.decolepnina.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3109
3285;"Москва, ТК &quot;ВЭСТЭНД&quot; (ИП Каюмов А.А.) ";ИП Каюмов А.А.;"55 км МКАД внешняя сторона, ТК ""ВЭСТЭНД"" (Кунцево-2), павильон ВВ 9";"ТК ""ВЭСТЭНД""";;ЕВРОПЛАСТ;"4957884925; 4957827727; 9015410254";order@evro-lepnina.ru;order@evro-lepnina.ru;www.evro-lepnina.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3109
3288;"Баку, Салон &quot;Elit Interior&quot;, ул. Ziya Bunyatova (ИП Алекперов В.Г.) ";ИП Алекперов В.Г.;улица Ziya Bunyatova, 90;"Салон ""Elit Interior""";;"Салон ""Elit Interior""";994503556666;decorru@yandex.ru;decorru@yandex.ru;;;;;Нет;;3287
3292;"Москва, ТК &quot;ЭлитСтройМатериалы&quot; (ИП Алекперов  В.Г.) ";ИП Алекперов  В.Г.;"51 км МКАД, разв. ""Очаково-Заречье"", стр.2, ТК ""ЭлитСтройМатериалы"",  павильон № А-14";"ТК ""ЭлитСтройМатериалы""";;"магазин ""Лепнина""";4957107964;decorru@yandex.ru;decorru@yandex.ru;www.1decor.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3109
3300;Великий Новгород, Салон «ОБОИ ЭРИСМАНН» (ИП Вакурова Л.М.) ;ИП Вакурова Л.М.;улица Ломоносова, д. 20, к. 1, стенд 2;Собственное встроенное помещение;;Салон «ОБОИ ЭРИСМАНН»;"8162948488; 8162948499";salon38@mail.ru;salon38@mail.ru;;10:00 - 20:00;10:00 - 20:00;10:00 - 18:00;Да;;3299
3301;"Ярославль, салон &quot;АРАГОН&quot; ";"ООО ""Декор Коллекция""";ул. Вспольинское поле, д. 11Б, 2 этаж;;;"салон ""АРАГОН""";"4852910915; 4852282002";yar.aragon@mail.ru;aragondeco@mail.ru;www.aragondeco.ru;09:00 - 17:00;10:00 - 15:00;10:00 - 15:00;Да;;3237
3303;"Киров, ООО &quot;Новый Мир&quot; ";"ООО ""Новый Мир""";улица Труда, д. 71;"Торговый Центр ""СтройРемо""";;"Центр Эксклюзивного Интерьера ""DINTERA""";"8332205777; 8332415577";irika-nm@yandex.ru;designer@stroy-remo.ru;динтера.рф;09:00 - 19:00;10:00 - 16:00;Выходной;Нет;;3302
3306;"Ярославль, Магазин &quot;Элит Интерьер&quot; (ИП Алекперов В.Г.; ИП Парецкий М.Г.) ";ИП Алекперов В.Г.;улица Полушкина роща, д. 9, стр. 14, пав. А1-3, А1-4, А1-22;ОТК Тандем;;Элит Интерьер;4852780781;yar780781@gmail.com;yar780781@gmail.com;www.1decor.ru;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;3237
3313;Шымкент, ТОО Галерея Юг ;ТОО Галерея Юг;ул. Акпан Батыра, д. 111 (1 и 2 этаж);Отдельно стоящее здание;;Салон «Галерея Престиж»;"7252551407; 7252540687";;zakaz.evokz@mail.ru;galery.kz;09:00 - 19:00;09:00 - 19:00;09:00 - 18:00;Да;;3312
3315;"Тараз, ТОО &quot;Галерея Юг&quot; ";"ТОО ""Галерея Юг""";ул. Ташкентская, д. 82 (этаж 1, 2);Торговый дом;угол пр-т Абая;"ТД ""Галерея""";"7262511469; 7070609437";;zakaz.evokz@mail.ru;www.galery.kz;09:00 - 19:00;09:00 - 18:00;09:00 - 18:00;Да;;3314
3317;"Кострома, Группа компаний &quot;Кредо&quot; ";ИП Кувтырева Л.М.;Кинешемское шоссе, д. 31;;;Группа компаний «Кредо»;"4942392026; 9109292026";lepnina44@gmail.com;lepnina44@gmail.com;;09:30 - 18:00;10:00 - 16:00;Выходной;Нет;;3316
3322;"Владимир, Интерьерная компания &quot;Объект&quot; ";ИП Смышляев С.Ю.;улица Студеная гора, д. 34-А;Интерьерная компания Объект;За бизнес-центром;ИК Объект;"4997555227; 9262747037";info@planeta-decora.ru;info@planeta-decora.ru;www.planeta-decora.ru;10:00 - 18:00;Выходной;Выходной;Нет;;3321
3327;"Ульяновск, ООО &quot;РАДА&quot; ";"ООО ""РАДА""";9 -й проезд Инженерный, д. 30, строение 7;Промышленная зона;;"ООО ""РАДА""";"8422260011; 8422250681";ul.evroplast@gmail.com;ul.evroplast@gmail.com;;08:00 - 17:00;Выходной;Выходной;Нет;;3326
3332;"Липецк, Декор-Центр &quot;Ар-Декор&quot; ";"ООО ""Ар-Декор""";улица Петра Смородина, д. 9а, пав. 19;"Дизайн-Центр ""Ар-Декор""";Октябрьский рынок;"Дизайн-Центр ""Ар-Декор""";4742452933;ardekor@rambler.ru;ardekor@rambler.ru;ardekor@rambler.ru;10:00 - 19:00;10:00 - 15:00;Выходной;Нет;;3331
3337;"Сухум, Магазин-салон &quot;Лепнина и Декор&quot; ";ИП Глушкова С.В.;улица Конфедератов, д. 23;;На пересечении с ул. Лакоба;"Магазин-салон ""Лепнина и Декор""";"9409930669; 9409997070";ra_simone@mail.ru;ra_Lepnina_dekor@mail.ru;;10:00 - 18:00;10:00 - 16:00;Выходной;Нет;;3336
3341;"Архангельск, ООО&quot;Дизайн-студия &quot;Лигрант&quot;&quot; ";"ООО ""Дизайн-студия ""Лигрант""""";проспект Троицкий, 79, этаж 1;"Торговый центр ""Viva""";;"Дизайн-студия ""Лигрант""";8182475248;arh.evroplast@inbox.ru;arh.evroplast@inbox.ru;Лигрант.рф;10:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;3340
3349;Караганда, ТОО Magic house ;ТОО Magic house;ул. Ерубаева, д. 52/2 (трехэтажный дом);Жилой дом;дом расположен во дворах;"Салон-магазин ""Стиль-А"" ";"7016541704; 7212478568";;zakaz.evokz@mail.ru;www.stil-a.kz;10:00 - 19:00;10:00 - 18:00;выходной;Нет;;3347
3351;Кокшетау, ИП Гаврилов  ;ИП Гаврилов ;улица Ауельбекова, д.168;собственный магазин;угол ул.Пушкина;"Торговый дом ""Декор""";"7162763606; 7162763403; 7162763404";;zakaz.evokz@mail.ru;;10:00 - 19:00;10:00 - 17:00;Выходной;Нет;;3350
3354;Шымкент, ТОО Галерея Юг ;ТОО Галерея Юг;ул. Рыскулова, 30 (цокольный и первый этаж);Отдельно стоящее здание;;ТД «Галерея»;7252322234;;zakaz.evokz@mail.ru;galery.kz;09:00 - 19:00;09:00 - 19:00;09:00 - 18:00;Да;;3312
3434;Элиста, Стройарсенал ;ИП Железная Л.Н.;ул.Ленина, д. 7, стр.1 (этаж 1-2);Торговый дом;;"Торговый дом ""Стройарсенал""";8472231049;stroyarsenal08@mail.ru;;;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3431
3444;"Череповец, Строительный центр &quot;Квартирный вопрос&quot; (ИП Сальцман И.И.) ";ИП Сальцман И.И.;Шекснинский пр., д. 25;;;"Строительный центр ""Квартирный вопрос""";"9535203977; 8202640248";ks-studiya@yandex.ru;evroplast.35@mail.ru ;www.ks-diz35.ru;11:00 - 19:00;11:00 - 16:00;Выходной;Нет;;3443
3461;"Ишим, Центр отделочных материалов &quot;СтройМаг&quot; ";ИП Филипюк Елена Васильевна;улица Гаранина, д. 1;СтройМаг, магазины отделочных материалов;;СтройМаг, магазин отделочных материалов;"3455172869; 3455174020";stroi-mag2@yandex.ru;stroi-mag2@yandex.ru;;09:00 - 19:00;09:00 - 18:00;09:00 - 18:00;Да;;3456
3485;"Курск, &quot;Дом обоев&quot; на Добролюбова (ИП Шаталова Т.Л.) ";ИП Шаталова Т.Л.;улица Добролюбова, д. 15а, 2 этаж;Торговый центр;;Дом обоев;"4712396136; 4712396135";oboidom@yandex.ru;;;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;3154
3489;"Липецк, Дизайн студия &quot;Дольмен&quot; ";ИП Филинская;улица Верхняя, д. 86а;"Дизайн студия ""Дольмен""";;"Дизайн студия ""Дольмен""";"4742376960; 4742376622";;ardekor@rambler.ru;;;;;Нет;;3331
3490;"Липецк, Магазин отделочных материалов &quot;Новый Век&quot; ";;переулок Пестеля, д. 38;"Магазин отделочных материалов ""Новый Век""";;"Магазин отделочных материалов ""Новый Век""";4742333939;;ardekor@rambler.ru;;;;;Нет;;3331
3492;"Липецк, Студия обоев &quot;Ванильное Небо&quot; ";ИП Трофимов;улица Первомайская, д. 77в;;;"Студия обоев ""Ванильное небо""";4742232322;;ardekor@rambler.ru;;;;;Нет;;3331
