IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP160;IP_PROP163;IP_PROP164;IP_PROP706;IP_PROP707
4896;карниз 1.50.267;1.50.267;Нет;ВР001007510;5,1;78,75;;
4897;карниз 1.50.268;1.50.268;Нет;ВР001007511;5,08;78,75;;
4898;карниз 1.50.269;1.50.269;Нет;ВР001007512;6,82;78,75;;
4899;карниз 1.50.270;1.50.270;Нет;ВР001007513;6,85;78,75;;
4900;карниз 1.50.271;1.50.271;Нет;ВР002025312;10,09;78,75;;
4901;карниз 1.50.273;1.50.273;Нет;ВР002025512;9,92;78,75;;
4902;карниз 1.50.114 гибкий;1.50.114;Да;ВР002028331;1,89;63,75;;
4903;карниз 1.50.115 гибкий;1.50.115;Да;ВР002028332;1,43;63,75;;
4904;карниз 1.50.116 гибкий;1.50.116;Да;ВР002028333;4,04;69,75;;
4905;карниз 1.50.117 гибкий;1.50.117;Да;ВР002028334;5,98;77,25;;
4906;карниз 1.50.118 гибкий;1.50.118;Да;ВР002028335;7,53;77,25;;
4907;карниз 1.50.119 гибкий;1.50.119;Да;ВР002028336;3,57;69,75;;
4908;карниз 1.50.120 гибкий;1.50.120;Да;ВР002028337;7,46;77,25;;
4909;карниз 1.50.121 гибкий;1.50.121;Да;ВР002028338;3,28;69,75;;
4910;карниз 1.50.122 гибкий;1.50.122;Да;ВР002028339;1,97;63,75;;
4911;карниз 1.50.100 гибкий;1.50.100;Да;ВР002028318;2,1;69,75;;
4912;карниз 1.50.102 гибкий;1.50.102;Да;ВР002028319;1,93;69,75;;
4913;карниз 1.50.103 гибкий;1.50.103;Да;ВР002028320;1,74;69,75;;
4914;карниз 1.50.104 гибкий;1.50.104;Да;ВР002028321;5,28;78,75;;
4915;карниз 1.50.105 гибкий;1.50.105;Да;ВР002028322;2,43;63,75;;
4916;карниз 1.50.106 гибкий;1.50.106;Да;ВР002028323;2,96;63,75;;
4917;карниз 1.50.107 гибкий;1.50.107;Да;ВР002028324;6,4;78,75;;
4918;карниз 1.50.109 гибкий;1.50.109;Да;ВР002028326;9,45;69,75;;
4919;карниз 1.50.110 гибкий;1.50.110;Да;ВР002028327;10,57;78,75;;
4920;карниз 1.50.111 гибкий;1.50.111;Да;ВР002028328;6,78;78,75;;
4921;карниз 1.50.112 гибкий;1.50.112;Да;ВР002028329;3,47;63,75;;
4922;карниз 1.50.113 гибкий;1.50.113;Да;ВР002028330;3,05;69,75;;
4923;карниз 1.50.123 гибкий;1.50.123;Да;ВР002028340;0,78;60;;
4924;карниз 1.50.124 гибкий;1.50.124;Да;ВР002028341;4,36;69,75;;
4925;карниз 1.50.125 гибкий;1.50.125;Да;ВР002028342;2,86;69,75;;
4926;карниз 1.50.126 гибкий;1.50.126;Да;ВР002028343;3,19;69,75;;
4927;карниз 1.50.127 гибкий;1.50.127;Да;ВР002028344;2,32;69,75;;
4928;карниз 1.50.128 гибкий;1.50.128;Да;ВР002028345;5,41;69,75;;
4929;карниз 1.50.129 гибкий;1.50.129;Да;ВР002028346;3,6;69,75;;
4930;карниз 1.50.130 гибкий;1.50.130;Да;ВР002028347;0,94;60;;
4931;карниз 1.50.131 гибкий;1.50.131;Да;ВР002028348;6,83;69,75;;
4932;карниз 1.50.132 гибкий;1.50.132;Да;ВР002028349;12,58;77,25;;
4933;карниз 1.50.133 гибкий;1.50.133;Да;ВР002028350;6,7;77,25;;
4934;карниз 1.50.134 гибкий;1.50.134;Да;ВР002028366;15,37;77,25;;
4935;карниз 1.50.135 гибкий;1.50.135;Да;ВР002028367;3,97;60;;
4936;карниз 1.50.136 гибкий;1.50.136;Да;ВР002028368;8,17;77,25;;
4937;карниз 1.50.137 гибкий;1.50.137;Да;ВР002028369;12,63;77,25;;
4938;карниз 1.50.138 гибкий;1.50.138;Да;ВР002028370;7,15;77,25;;
4939;карниз 1.50.139 гибкий;1.50.139;Да;ВР002028371;3,59;69,75;;
4940;карниз 1.50.140 гибкий;1.50.140;Да;ВР002028372;2,44;63,75;;
4941;карниз 1.50.141 гибкий;1.50.141;Да;ВР002028373;3,24;63,75;;
4942;карниз 1.50.142 гибкий;1.50.142;Да;ВР002028374;7,39;69,75;;
4943;карниз 1.50.143 гибкий;1.50.143;Да;ВР002028375;3,21;69,75;;
4944;карниз 1.50.144 гибкий;1.50.144;Да;ВР002028376;3,15;69,75;;
4945;карниз 1.50.145 гибкий;1.50.145;Да;ВР002028377;13,61;77,25;;
4946;карниз 1.50.146 гибкий;1.50.146;Да;ВР002028378;7,05;69,75;;
4947;карниз 1.50.147 гибкий;1.50.147;Да;ВР002028379;7,18;77,25;;
4948;карниз 1.50.148 гибкий;1.50.148;Да;ВР002028380;3,88;69,75;;
4950;карниз 1.50.150 гибкий;1.50.150;Да;ВР002028382;1,05;60;;
4951;карниз 1.50.151 гибкий;1.50.151;Да;ВР002028383;35,93;77,25;;
4952;карниз 1.50.152 гибкий;1.50.152;Да;ВР002028384;35,63;77,25;;
4953;карниз 1.50.153 гибкий;1.50.153;Да;ВР002028385;35,94;77,25;;
4954;карниз 1.50.154 гибкий;1.50.154;Да;ВР002028386;0,44;60;;
4955;карниз 1.50.155 гибкий;1.50.155;Да;ВР002028387;0,51;60;;
4956;карниз 1.50.156 гибкий;1.50.156;Да;ВР002028388;0,74;60;;
4957;карниз 1.50.157 гибкий;1.50.157;Да;ВР002028389;0,67;60;;
4958;карниз 1.50.158 гибкий;1.50.158;Да;ВР002028390;0,78;60;;
4959;карниз 1.50.159 гибкий;1.50.159;Да;ВР002028391;0,73;60;;
4960;карниз 1.50.160 гибкий;1.50.160;Да;ВР002028392;2,34;60;;
4961;карниз 1.50.162 гибкий;1.50.162;Да;ВР002028393;2,93;69,75;;
4962;карниз 1.50.163 гибкий;1.50.163;Да;ВР002028394;6,74;78,75;;
4963;карниз 1.50.164 гибкий;1.50.164;Да;ВР002028395;6,03;78,75;;
4964;карниз 1.50.165 гибкий;1.50.165;Да;ВР002028396;2,97;69,75;;
4965;карниз 1.50.166 гибкий;1.50.166;Да;ВР002028397;5,01;77,25;;
4966;карниз 1.50.168 гибкий;1.50.168;Да;ВР002028398;4,58;77,25;;
4967;карниз 1.50.169 гибкий;1.50.169;Да;ВР002028399;4,69;69,75;;
4968;карниз 1.50.170 гибкий;1.50.170;Да;ВР002028400;4,4;69,75;;
4969;карниз 1.50.171 гибкий;1.50.171;Да;ВР002028401;0,92;60;;
4970;карниз 1.50.172 гибкий;1.50.172;Да;ВР002028402;1,03;60;;
4971;карниз 1.50.173 гибкий;1.50.173;Да;ВР002028403;1,45;60;;
4972;карниз 1.50.174 гибкий;1.50.174;Да;ВР002028404;1,14;60;;
4973;карниз 1.50.175 гибкий;1.50.175;Да;ВР002028405;6,59;77,25;;
4974;карниз 1.50.176 гибкий;1.50.176;Да;ВР002028406;5,01;78,75;;
4975;карниз 1.50.177 гибкий;1.50.177;Да;ВР002028407;3,1;78,75;;
4976;карниз 1.50.180 гибкий;1.50.180;Да;ВР002028409;4,07;78,75;;
4977;карниз 1.50.181 гибкий;1.50.181;Да;ВР002028410;2,13;69,75;;
4978;карниз 1.50.182 гибкий;1.50.182;Да;ВР002028411;1,45;69,75;;
4979;карниз 1.50.183 гибкий;1.50.183;Да;ВР002028412;3,68;69,75;;
4980;карниз 1.50.184 гибкий;1.50.184;Да;ВР002028413;2,49;69,75;;
4981;карниз 1.50.185 гибкий;1.50.185;Да;ВР002028414;4,6;69,75;;
4982;карниз 1.50.186 гибкий;1.50.186;Да;ВР002028415;2,5;69,75;;
4983;карниз 1.50.187 гибкий;1.50.187;Да;ВР002028416;2,23;69,75;;
4984;карниз 1.50.188 гибкий;1.50.188;Да;ВР002028417;1,27;69,75;;
4985;карниз 1.50.190 гибкий;1.50.190;Да;ВР002028419;0,92;60;;
4986;карниз 1.50.191 гибкий;1.50.191;Да;ВР002028420;0,84;60;;
4987;карниз 1.50.192 гибкий;1.50.192;Да;ВР002028421;2,62;63,75;;
4988;карниз 1.50.193 гибкий;1.50.193;Да;ВР002028422;2,96;69,75;;
4989;карниз 1.50.194 гибкий;1.50.194;Да;ВР002028423;1,88;69,75;;
4990;карниз 1.50.195 гибкий;1.50.195;Да;ВР002028424;2,12;69,75;;
4991;карниз 1.50.197 гибкий;1.50.197;Да;ВР002028426;2,32;69,75;;
4992;карниз 1.50.200 гибкий;1.50.200;Да;ВР002028429;1,88;60;;
4994;карниз 1.50.203 гибкий;1.50.203;Да;ВР002028432;4,46;77,25;;
4995;карниз 1.50.209 гибкий;1.50.209;Да;ВР002028436;6,83;77,25;;
4997;карниз 1.50.220 гибкий;1.50.220;Да;ВР002028438;6,31;78,75;;
4998;карниз 1.50.221 гибкий;1.50.221;Да;ВР002028439;10,36;78,75;;
4999;карниз 1.50.222 гибкий;1.50.222;Да;ВР002028440;9,88;78,75;;
5000;карниз 1.50.250 гибкий;1.50.250;Да;ВР002028441;5,41;63,75;;
5001;карниз 1.50.251 гибкий;1.50.251;Да;ВР002028442;2,46;60;;
5002;карниз 1.50.252 гибкий;1.50.252;Да;ВР002028443;5,58;77,25;;
5003;карниз 1.50.253 гибкий;1.50.253;Да;ВР002028444;3;78,75;;
5004;карниз 1.50.254 гибкий;1.50.254;Да;ВР002028445;3,68;77,25;;
5005;карниз 1.50.255 гибкий;1.50.255;Да;ВР002028446;4,1;69,75;;
5006;карниз 1.50.256 гибкий;1.50.256;Да;ВР002028447;6,16;77,25;;
5007;карниз 1.50.257 гибкий;1.50.257;Да;ВР002028448;0,91;60;;
5008;карниз 1.50.258 гибкий;1.50.258;Да;ВР002028449;0,69;60;;
5009;карниз 1.50.259 гибкий;1.50.259;Да;ВР002028450;1,8;60;;
5010;карниз 1.50.260 гибкий;1.50.260;Да;ВР002028451;6,8;78,75;;
5011;карниз 1.50.261 гибкий;1.50.261;Да;ВР002028452;3,14;78,75;;
5012;карниз 1.50.262 гибкий;1.50.262;Да;ВР002028453;6,62;60;;
5013;карниз 1.50.264 гибкий;1.50.264;Да;ВР002028454;7,5;78,75;;
5014;карниз 1.50.265 гибкий;1.50.265;Да;ВР002028455;2,37;78,75;;
5015;карниз 1.50.266 гибкий;1.50.266;Да;ВР002028456;2,06;60;;
5016;карниз 1.50.267 гибкий;1.50.267;Да;ВР002028457;5,1;78,75;;
5017;карниз 1.50.268 гибкий;1.50.268;Да;ВР002028458;5,08;78,75;;
5018;карниз 1.50.269 гибкий;1.50.269;Да;ВР002028459;6,82;78,75;;
5019;карниз 1.50.270 гибкий;1.50.270;Да;ВР002028460;6,85;78,75;;
5020;молдинг 1.51.311;1.51.311;Нет;ВР000001522;2,48;69,75;;
5021;молдинг 1.51.314;1.51.314;Нет;ВР000001642;1,46;69,75;;
5022;молдинг 1.51.327;1.51.327;Нет;ВР000004028;3,59;69,75;;
5023;молдинг 1.51.301;1.51.301;Нет;ВР000001059;0,85;37,5;;
5024;молдинг 1.51.305;1.51.305;Нет;ВР000001062;0,82;15;;
5025;молдинг 1.51.321;1.51.321;Нет;ВР000005725;0,2;37,5;;
5026;молдинг 1.51.400;1.51.400;Нет;ВР000005827;0,96;69,75;;
5027;молдинг 1.51.302;1.51.302;Нет;ВР000001060;1,89;69,75;;
5028;молдинг 1.51.303;1.51.303;Нет;ВР000001061;1,94;69,75;;
5029;молдинг 1.51.304;1.51.304;Нет;ВР000001167;1,86;37,5;;
5030;молдинг 1.51.306;1.51.306;Нет;ВР000001064;0,68;37,5;;
5031;молдинг 1.51.307;1.51.307;Нет;ВР000001065;3,06;69,75;;
5032;молдинг 1.51.324;1.51.324;Нет;ВР000002932;1,13;69,75;;
5033;молдинг 1.51.352;1.51.352;Нет;ВР000005503;1,06;37,5;;
5034;молдинг 1.51.325;1.51.325;Нет;ВР000002935;3,29;69,75;;
5035;молдинг 1.51.312;1.51.312;Нет;ВР000001595;1,08;37,5;;
5036;молдинг 1.51.332;1.51.332;Нет;ВР001023823;1,26;69,75;;
5037;молдинг 1.51.350;1.51.350;Нет;ВР000005488;5,16;69,75;;
5038;молдинг 1.51.326;1.51.326;Нет;ВР000004305;2,12;69,75;;
5039;молдинг 1.51.308;1.51.308;Нет;ВР000001175;1,15;37,5;;
5040;молдинг 1.51.309;1.51.309;Нет;ВР000001170;2,36;69,75;;
5041;молдинг 1.51.310;1.51.310;Нет;ВР000001183;2,77;69,75;;
5042;молдинг 1.51.313;1.51.313;Нет;ВР000004235;1,75;69,75;;
5043;молдинг 1.51.315;1.51.315;Нет;ВР000001942;2,85;69,75;;
5044;молдинг 1.51.316;1.51.316;Нет;ВР000002045;2,89;69,75;;
5045;молдинг 1.51.317;1.51.317;Нет;ВР000002067;2,61;69,75;;
5046;молдинг 1.51.318;1.51.318;Нет;ВР000002158;2,33;69,75;;
5047;молдинг 1.51.319;1.51.319;Нет;ВР000002566;5,35;69,75;;
5048;молдинг 1.51.320;1.51.320;Нет;ВР000002330;3,35;69,75;;
5049;молдинг 1.51.322;1.51.322;Нет;ВР001022869;0,48;37,5;;
5050;молдинг 1.51.328;1.51.328;Нет;ВР000005631;1,33;69,75;;
5051;молдинг 1.51.330;1.51.330;Нет;ВР000004389;2,26;69,75;;
5053;молдинг 1.51.340;1.51.340;Нет;ВР000002481;2,56;69,75;;
5054;молдинг 1.51.341;1.51.341;Нет;ВР001007514;1,76;69,75;;
5055;молдинг 1.51.342;1.51.342;Нет;ВР001007515;1,64;69,75;;
5056;молдинг 1.51.343;1.51.343;Нет;ВР001007516;1,57;69,75;;
5057;молдинг 1.51.344;1.51.344;Нет;ВР001007518;2,09;69,75;;
5058;молдинг 1.51.351;1.51.351;Нет;ВР000005561;2,43;69,75;;
5059;молдинг 1.51.380;1.51.380;Нет;ВР000004027;9,98;69,75;;
5060;молдинг 1.51.401;1.51.401;Нет;ВР000005728;0,34;37,5;;
5061;молдинг 1.51.323;1.51.323;Нет;ВР001022870;0,56;37,5;;
5062;молдинг 1.51.339;1.51.339;Нет;ВР001023833;1,28;69,75;;
5063;молдинг 1.51.331;1.51.331;Нет;ВР001023821;1,44;69,75;;
5064;молдинг 1.51.336;1.51.336;Нет;ВР001023829;1,12;69,75;;
5065;молдинг 1.51.334;1.51.334;Нет;ВР001023825;0,8;37,5;;
5066;молдинг 1.51.335;1.51.335;Нет;ВР001023827;1,84;69,75;;
5067;молдинг 1.51.337;1.51.337;Нет;ВР001023831;1,49;69,75;;
5068;молдинг 1.51.348;1.51.348;Нет;ВР002025333;1,8;69,75;;
5069;молдинг 1.51.349;1.51.349;Нет;ВР002025335;2,74;69,75;;
5070;молдинг 1.51.329;1.51.329;Нет;ВР001023819;0,45;37,5;;
5071;молдинг 1.51.347;1.51.347;Нет;ВР002025135;2,91;69,75;;
5072;молдинг 1.51.355;1.51.355;Нет;ВР002025434;2,96;69,75;;
5073;молдинг 1.51.354;1.51.354;Нет;ВР002025432;2,09;69,75;;
5074;молдинг 1.51.311 гибкий;1.51.311;Да;ВР002028473;2,48;69,75;;
5075;молдинг 1.51.314 гибкий;1.51.314;Да;ВР002028476;1,46;69,75;;
5076;молдинг 1.51.327 гибкий;1.51.327;Да;ВР002028488;3,59;69,75;;
5077;молдинг 1.51.301 гибкий;1.51.301;Да;ВР002028463;0,85;37,5;;
5078;молдинг 1.51.305 гибкий;1.51.305;Да;ВР002028467;0,82;15;;
5079;молдинг 1.51.321 гибкий;1.51.321;Да;ВР002028482;0,2;37,5;;
5080;молдинг 1.51.400 гибкий;1.51.400;Да;ВР002028520;0,96;69,75;;
5081;молдинг 1.51.302 гибкий;1.51.302;Да;ВР002028464;1,89;69,75;;
5082;молдинг 1.51.303 гибкий;1.51.303;Да;ВР002028465;1,94;69,75;;
5083;молдинг 1.51.304 гибкий;1.51.304;Да;ВР002028466;1,86;37,5;;
5084;молдинг 1.51.306 гибкий;1.51.306;Да;ВР002028468;0,68;37,5;;
5085;молдинг 1.51.307 гибкий;1.51.307;Да;ВР002028469;3,06;69,75;;
5086;молдинг 1.51.324 гибкий;1.51.324;Да;ВР002028485;1,13;69,75;;
5087;молдинг 1.51.352 гибкий;1.51.352;Да;ВР002028511;1,06;37,5;;
5088;молдинг 1.51.325 гибкий;1.51.325;Да;ВР002028486;3,29;69,75;;
5089;молдинг 1.51.312 гибкий;1.51.312;Да;ВР002028474;1,08;37,5;;
5090;молдинг 1.51.332 гибкий;1.51.332;Да;ВР002028493;1,26;69,75;;
5091;молдинг 1.51.350 гибкий;1.51.350;Да;ВР002028509;5,16;69,75;;
5092;молдинг 1.51.326 гибкий;1.51.326;Да;ВР002028487;2,12;69,75;;
5093;молдинг 1.51.308 гибкий;1.51.308;Да;ВР002028470;1,15;37,5;;
5094;молдинг 1.51.309 гибкий;1.51.309;Да;ВР002028471;2,36;69,75;;
5095;молдинг 1.51.310 гибкий;1.51.310;Да;ВР002028472;2,77;69,75;;
5096;молдинг 1.51.313 гибкий;1.51.313;Да;ВР002028475;1,75;69,75;;
5097;молдинг 1.51.315 гибкий;1.51.315;Да;ВР002028477;2,85;69,75;;
5098;молдинг 1.51.316 гибкий;1.51.316;Да;ВР002028478;2,89;69,75;;
5099;молдинг 1.51.317 гибкий;1.51.317;Да;ВР002028479;2,61;69,75;;
5100;молдинг 1.51.318 гибкий;1.51.318;Да;ВР002028480;2,33;69,75;;
5101;молдинг 1.51.319 гибкий;1.51.319;Да;ВР002028481;5,35;69,75;;
5102;молдинг 1.51.320 гибкий;1.51.320;Да;ВР002028566;3,35;69,75;;
5103;молдинг 1.51.322 гибкий;1.51.322;Да;ВР002028483;0,48;37,5;;
5104;молдинг 1.51.328 гибкий;1.51.328;Да;ВР002028489;1,33;69,75;;
5105;молдинг 1.51.330 гибкий;1.51.330;Да;ВР002028491;2,26;69,75;;
5107;молдинг 1.51.340 гибкий;1.51.340;Да;ВР002028500;2,56;69,75;;
5108;молдинг 1.51.341 гибкий;1.51.341;Да;ВР002028501;1,76;69,75;;
5109;молдинг 1.51.342 гибкий;1.51.342;Да;ВР002028502;1,64;69,75;;
5110;молдинг 1.51.343 гибкий;1.51.343;Да;ВР002028503;1,57;69,75;;
5111;молдинг 1.51.344 гибкий;1.51.344;Да;ВР002028504;2,09;69,75;;
