IE_XML_ID;IE_NAME;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP113
3137;"Иркутск, ТЦ ""Фортуна"" (ООО ""Элит Декор"")";улица Октябрьской революции, д. 1, пав. 118;"Строительный центр ""Фортуна Стройматериалы""";;ООО Элит Декор;ООО Элит Декор;3952278787;info@elit-decor.com;info@elit-decor.com;www.elit-decor.com;09:00 - 19:00;11:00 - 17:00;Выходной;Нет;;3135
3139;"Калининград, Салон ""Dom&Decor"" (ИП Федоров)";ул. сержанта Колоскова, д. 12, пав. 9;;;ИП Федоров Н.А.;Dom&Decor;"4012934242; 9814758575";salon@dom-decor.com;salon@dom-decor.com;dom-decor.com;10:00 - 19:00;11:00 - 18:00;Выходной;Нет;;3138
3140;"Калининград, Салон ""Dom&Decor"" (ООО Скандинавская Мебель, ИП В.А. Федоров)";Проспект Победы, д. 157А, 1 этаж;территория «Калининградбуммонтаж»;;ООО Скандинавская Мебель, ИП В.А. Федоров;Dom&Decor;"4012758575; 9632924878";salon@dom-decor.com;salon@dom-decor.com, logist@dom-decor.com;dom-decor.com;10:00 - 19:00;10:00 - 18:00;Выходной;Нет;;3138
3141;Советск, «Михалыч» (ООО «Стройдом»);улица Тимирязева, д. 3, 1 этаж;Торговый центр «Михалыч»;;ООО «Стройдом»;«Михалыч»;"4016167272; 401667905";;logist@dom-decor.com;;09:00 - 19:00;09:00 - 15:00;09:00 - 15:00;Да;;6228
3142;"Балтийск, ""Посейдон"" (ИП Федоров)";ул. Романова, д. 11;;;ИП Федоров;"""Посейдон""";79 632 917 940;info@dom-decor.com;;www.dom-decor.com;;;;Нет;;3138
3144;"Калуга, ООО ""Алладин""";ул. Кирова, д. 50;;;"ООО ""Алладин""";;"+7 484 2561418; +7 484 2599384";aladdin@kaluga.net;;;;;;Нет;;3143
3146;"Кемерово, Студия ""DecoХолл"" (ООО ""Гермес"")";"проспект Ленина, д. 81-""А"", этаж 1";Магазин;;"ООО ""Гермес""";DecoХолл;3842359663;lepnina@granddekor.ru;lepnina@granddekor.ru;granddekor.ru;10:00 - 19:00;11:00 - 17:00;Выходной;Нет;;3145
3148;"Комсомольск-на-Амуре, Салон ""Соломон""";улица Кирова, д. 46;;;"ООО """"Генезис";магазин Соломон;9838213323;;;;09:00 - 18:00;09:00 - 16:00;Выходной;Нет;;3147
3150;"Краснодар, Салон-магазин ""Лепные декоры"" ул. Красных партизан (ИП Гредина)";улица Красных Партизан, д. 214;;"напротив ресторана ""Мадьяр""";ИП Гредина Анжела Викторовна;Лепные Декоры;"8003338923; 9604756668";salon@l-decor.ru;e-shop@l-decor.ru;www.l-decor.ru;09:00 - 18:00;09:00 - 16:00;Выходной;Нет;;3149
3151;"Краснодар , Салон-магазин ""Лепные декоры"" ТЦ ""Евроремонт"" (ИП Гредина)";улица Северная, д. 320, пав. 112;"Торговый комплекс ""Евроремонт""";;ИП Гредина Анжела Викторовна;Лепные Декоры;"8003338923; 9654551837";krdld@l-decor.ru;e-shop@l-decor.ru;www.l-decor.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3149
3153;"Красноярск, Салон ""Зодчие""";"Салон ""Зодчие""";;;;"Салон ""Зодчие""";"+7 391 2918111; +7 391 2918114; +7 391 2918141";zodchikrs@mail.ru;;;;;;Нет;;3152
3155;"Курск, Магазин ""Обои""";улица Карла Маркса, д. 11;Интернет-магазин;;ИП Шаталова ТЛ;Мир Лепнины;9202650005;magazin@lepnina-kursk.ru;magazin@lepnina-kursk.ru;lepnina-kursk.ru;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;3154
3156;"Курск, Магазин ""Дом обоев на Дружбе""";проспект Дружбы, д. 22;Салон;;ИП Литвинова ИС;"салон 
Элитных обоев";4 712 577 253;salonampirkursk@yandex.ru;;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3154
3157;Курск, Оптовая торговля;3-ий Средний пер., д. 5;;;;Оптовая торговля;79 606 828 172;;;;;;;Нет;;3154
3158;Европласт - Курск (ул. Станционная);;;;;;;;;;;;;Нет;;3154
3159;"Курск, ""Дом обоев"" на ул. Дружбы";проспект Дружбы, д. 22;Магазин;;ИП Шаталова ТЛ;дом обоев;"4712577251; 4712577252";oboiskursk@yandex.ru;;;09:00 - 20:00;09:00 - 20:00;09:00 - 20:00;Да;;3154
3160;Курск, салон  Ампир-декор (ИП Шаталова Т.Л.);улица Добролюбова, д. 15а, 1 этаж;Торговый центр;;ИП Шаталова Т.Л.;салон Ампир-декор;4712396138;salonampirkursk@yandex.ru;;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3154
3162;"Магнитогорск, Салон ""Lux Decor""";улица Калинина д.1;Салон;"Бывшее детское кафе ""Сказка""";ИП Козлова Н.Б,;салон Lux Decor;3519221899;decorsalon@gmail.com;decorsalon@gmail.com;;10:00 - 19:00;10:00 - 17:00;Выходной;Нет;;3161
3164;"Нижний Новгород, ООО ""ИнтерСтрой"", Интерьерный салон ""Интерстрой""";улица Короленко, д. 27, офис 103;;пл. Лядова, Телецентр;"ООО ""ИнтерСтрой""";"Интерьерный салон ""ИнтерСтрой""";"88312780314; 78312780550";interstroy@sandy.ru;interstroy@sandy.ru;;09:00 - 18:00;Выходной;Выходной;Нет;;3163
3165;"Нижний Новгород, Интерьерный салон ""Избранное""";улица Белинского, д. 11/66, 1 этаж;;Напротив парка Пушкина;ИП Негина О.С.;Салон Избранное;"8314213888; 8314211155";evroplast@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;3163
3166;Нижний Новгород, салон “Decor360”, ИП Негина О.С.;улица Бекетова, д. 13, 2 этаж;;"Стройцентр ""Бекетов""";ИП Негина О.С.;салон “Decor360”;"8314123130; 9082382424";salon@decor360.ru;;;10:00 - 21:00;10:00 - 19:00;10:00 - 19:00;Да;;3163
3167;Нижний Новгород, Центр фасадного декора;улица Белинского, д. 11/66, этаж цоколь;;Напротива парка Пушкина;ИП Негина О.С.;Центр Фасадного декора;8314211155;fasad@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;Да;;3163
3169;"Нижневартовск, Салон ""Архитектурный Декор"" в ТЦ ""Твой дом""";улица Мира, д. 98 (1 этаж);;;"1. ИП Чащилов  А.П.; 2. ООО ТК ""Архитектурный декор""";"салон ""Архитектурный декор""";83466424324;nv@decor-ad.ru;info@decor-ad.ru;www.decor-ad.ru;09:00 - 19:00;10:00 - 18:00;10:00 - 18:00;Да;;3168
3171;"Новосибирск, Салон ""Арт Декор"" на ул. Светлановской";улица Светлановская, д. 50;"ТВК ""Большая медведица""";;ИП Калиничев В.Г.;Салон Арт-Декор;"3832300323; 3832300201";decorsib@mail.ru;decorsib@mail.ru;;10:00 - 21:00;10:00 - 21:00;10:00 - 21:00;Да;;3170
3173;"Омск, Салон ""Арт-Декор"" на Герцена";улица Герцена, д. 36 (4 этаж);"Торговый Дом ""На Герцена""";;ИП Акулинская Ю.В.;Салон Арт-Декор;"3812243021; 3812502600";decorart@mail.ru;artdecor-kit@mail.ru;artdecor-omsk.ru;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;Да;;3172
3174;"Омск, Салон ""Арт Декор"" на Пушкина";улица Пушкина, д. 37 (1 этаж);;Пересечение ул. Пушкина и ул. Почтовая;ИП Шелудько А.А.;Салон Арт-Декор;3812501600;ya.art-décor@yandex.ru;artdecor-kit@mail.ru;artdecor-omsk.ru;10:00 - 19:00;10:00 - 19:00;Выходной;Нет;;3172
3175;"Омск, Салон ""Европласт"" ТК ""Кит Интерьер""";улица 10 лет Октября, д. 182, корп.3 (1 этаж);"ТК ""Кит-интерьер""";;ИП Шелудько А.А.;"Салон ""Европласт""";3812507600;artdecor-kit@mail.ru;artdecor-kit@mail.ru;artdecor-omsk.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3172
3177;"Орел, Магазин ""ОБОИ"" (ИП Панухник В.Н.)";Городская, д. 98, этаж 3;"ОАО ""База строительных товаров""";"В здании ""Эстетика интерьера""";ИП Панухник В.Н.;"Магазин ""ОБОИ""";"4862714894; 4862594149";egerasimova@57.leso-torg.ru;magoboi4@57.leso-torg.ru;www.leso-torg.ru;08:00 - 20:00;08:00 - 20:00;08:00 - 17:00;Да;;3176
3179;Оренбург, Идеал-Интерьер;пр. Гагарина, д. 58/1;;;;Идеал-Интерьер;"+7 353 2373181; +7 353 2327831";info@ideal56.ru;;www.ideal56.ru;;;;Нет;;3178
3181;"Пенза, Магазин ""Элит Декор"" (ИП Новиков Н.Н.)";улица Пушкина, д. 7;Самостоятельные торговые точки;;ИП Новиков Н.Н.;"магазин ""Элит Декор""";"8412984058; 9053654747";novikovnn@mail.ru;novikovnn@mail.ru;elitdekornn.ru;09:00 - 19:00;09:00 - 19:00;09:00 - 19:00;Да;;3180
3183;"Пермь, ООО ""Визард-Стиль""";ул. Н. Островского, 44а, 2-этаж;отдельно стоящее здание;а/заправка на ул. Тихой;"ООО ""ВИЗАРД- ИНТЕРЬЕРНЫЕ РЕШЕНИЯ""";ВИЗАРД;3422141400;plotnikov_wizard@mail.ru;plotnikov_wizard@mail.ru;;10:00 - 19:00;11:00 - 18:00;Выходной;Нет;;3182
3184;"Пермь, Салон ""Декор-Центр""";улица Ленина, д. 15;;;"ЗАО ""Стройинтер""";"Салон ""Декор центр""";"3422190570; 3422190571";stroyinter-dir@yandex.ru;stroyinter-dir@yandex.ru;;09:00 - 20:00;10:00 - 18:00;Выходной;Нет;;3182
3185;"Пермь, Салон ""Декор-Центр"" ТЦ ""Гудвин""";улица Уральская, д. 63, пав. 1;"ТЦ ""Гудвин""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422640364;;;;10:00 - 20:00;10:00 - 20:00;11:00 - 19:00;Да;;3182
3186;"Пермь, Салон ""Декор-Центр"" ТЦ ""Евразия""";улица Героев Хасана, д. 56;"ТЦ ""Евразия""";слева от эскалатора;"ЗАО ""Стройинтер""";"""Декоративка""";"3422113330; 3422113311";;;;10:00 - 21:00;10:00 - 21:00;10:00 - 20:00;Да;;3182
3188;"Ростов-на-Дону, Салон ""Декор""";улица Красноармейская, д. 87/50, 1 этаж, стенд 1;;Между проспектом Соколова и проспектом Ворошиловским по ул. Красноармейской;ИП Левичев С.В.;"""Салон Декор""";"8632208980; 8632323921";decor-rostov@mail.ru;decor-rostov@mail.ru;evroplast-rostov.ru;09:00 - 18:00;10:00 - 15:30;Выходной;Нет;;3187
3190;"Рязань, Компания ""Синти"" (Куйбышевское шоссе)";Куйбышевское шоссе, д. 25, стр. 10;;;"Компания ""Синти"" (Куйбышевское шоссе)";;74 912 460 046;info@cinti.ru;;www.cinti.ru;;;;Нет;;3189
3191;"Рязань, ТД ""СИНТИ"" (ИП Фетисова Л.Г  ООО ЗЕЛЕНЫЙ КОРИДОР)";Солотчинское шоссе, д. 2, этаж 2;"Торговый центр ""АВРОРА""";;"ООО ""Зеленый коридор""  ИП Фетисова Л.Г.";"ТД ""СИНТИ""";4912460046;opt@cinti.ru;opt@cinti.ru;;10:00 - 20:00;10:00 - 19:00;10:00 - 19:00;Да;;3189
3193;"Самара, ТСК ""Кубатура"" магазин FORROOM";улица Красноармейская, д. 1, пав. 238-240;СТК Кубатура;;"ООО ""Форрум""";магазин FORROOM;8462751696;forroom@forroom.ru;forroom@forroom.ru;;08:30 - 20:00;8:30 - 20:00;8:30 - 20:00;Да;;3192
3195;"Саратов, ООО ""Дизайн-Паркет""";улица Московская, д. 11, этаж 1;;Салон находится на ул.Московская, между ул.Чернышевского и ул.Лермонтова;ООО «Дизайн-Паркет»;Центр Лепного Декора;"8452250430; 9372250430";dezain-parket@bk.ru;dezain-parket@bk.ru;www.design-parket.com;09:00 - 19:00;09:00 - 17:00;09:00 - 17:00;Да;;3194
3197;"Санкт-Петербург, Центральный офис (ООО ""Питерра"", 16 линия)";16-я линия В.О., д. 93;;;"ООО ""Питерра""";Центральный офис;"8123198888; 88007009229";3198888@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 18:00;Выходной;Выходной;Нет;;3196
3198;"Санкт-Петербург, Piterra Московский 111 (ООО ""Питерра"")";Московский проспект, д. 111, 1 этаж;2 салона;;"ООО ""Питерра""";PITERRA;"8124383940; доб. 702,732,752";shop@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;10:00 - 18:00;10:00 - 18:00;Да;;3196
3199;"Санкт-Петербург, Piterra Интерио (ООО ""Питерра"")";ул. Полевая Сабировская, д. 54А, 2 этаж, секция 245;Торговый комплекс «Интерио»;;"ООО ""Питерра""";PITERRA;"8124383940; доб. 703";shop@piterra.ru;shop@piterra.ru;www.piterra.ru;11:00 - 21:00;11:00 - 21:00;11:00 - 21:00;Да;;3196
3200;"Санкт-Петербург, Piterra Ланской (ООО ""Питерра"")";ул. Студенческая, д. 10, 1 этаж, Секция А-1;Торговый комплекс «Ланской»;;"ООО ""Питерра""";PITERRA;"8124383940; доб. 701, 724";shop@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3196
3201;"Санкт-Петербург, Салон ""PITERRA"" (ул. Железноводская)";ул. Железноводская, д. 3, секция 86;Строймаркет «Василеостровский»;;ООО ПИТЕРРА;PITERRA;"8123198888; доб. 704";salongelezka@piterra.ru;shop@piterra.ru;www.piterra.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3196
3203;"Сочи, Салон-магазин ""Лепные декоры"", ТЦ ""Строй СИТИ"" (ИП Гредина А.В.)";улица Донская, д. 28;"ТЦ ""Строй Сити""";;ИП Гредина Анжела Викторовна;Лепные Декоры;"8003338923; 9654708422";sochi@l-decor.ru;e-shop@l-decor.ru;www.l-decor.ru;09:00 - 18:00;10:00 - 18:00;10:00 - 18:00;Да;;3202
3205;"Ставрополь, ООО ""Отан"" Салон-магазин ""Три Д"" (ул. Тухачевского)";улица Тухачевского, д. 12А;Рядом рынок «Тухачевский»;Напротив ТЦ «Москва»;ИП Кулинцева Е.С.;Три Д: Дом, Дизайн, Декор;"8652721829; 8652724123";info@salon3d.ru;info@salon3d.ru;www.salon3d.ru;10:00 - 19:00;10:00 - 16:00;10:00 - 16:00;Да;;3204
3206;"Ставрополь, ООО ""Отан"" Салон-магазин ""Три Д"" (ОРТЦ ""Ставрополь"")";улица Доваторцев, д. 61;Торговый комплекс «ОРТЦ»;;ИП Кулинцева Е.С.;Три Д: Дом, Дизайн, Декор;"8652515050; 8652555310";tridnew@yandex.ru;;;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3204
3208;"Стерлитамак, Салон ""РОЗЕТ"" (ИП Розет А.Р.)";ул. Днепровская д. 7а , этаж 2;;;ИП Розет А.Р.;"Салон ""Розет""";"3473335363; 9174632379";rozetsterlitamak@mail.ru;rozetufa@gmail.com;;10:00 - 19:00;10:00 - 18:00;Выходной;Нет;;3207
3210;"Сургут, Салон ""Архитектурный Декор"" в ТЦ ""Твой дом""";"ул. Кукуевицкого, 15/1, ТЦ ""Твой Дом""";;;;;+7(3462)324045;galant379075@mail.ru;;www.decor-ad.ru;;;;Нет;;3209
3212;"Тамбов, Сеть фирменных салонов ""Декорация""";ул. Носовская, д.1;;;;"Сеть фирменных салонов ""Декорация""";79 107 527 525;decor.tmb@mail.ru;;;;;;Нет;;3211
3214;"Тольятти, Салон ""Премьер""";улица Жукова, д. 2, оф. 3;;;ИП Рыбалка В.Н.;Салон Премьер;"8482539030; 9278911281";premier_tolgatti@rambler.ru;premier_tolgatti@rambler.ru;decor163.ru;09:00 - 18:00;Выходной;Выходной;Нет;;3213
3216;"Томск, Салон ""Линия Декора""";пр-т. Фрунзе, д. 40;;;;"Салон ""Линия Декора""";73 822 530 130;romantika2020@sibmail.com;;;;;;Нет;;3215
3218;Тула,  Магазин ЛЕПНИНА (И.П. Новиков Р.В.);ул. Мосина, д. 29А, 1 этаж, пав. 102;Торговый комплекс Мастер, 1 этаж;;И.П. Новиков Р.В.;Магазин ЛЕПНИНА;"9255094511; 9308961122; 9255060319";lepnina89@mail.ru;lepnina89@mail.ru;www.europlast-lepnina.ru;09:00 - 18:00;09:00 - 18:00;09:00 - 18:00;Да;;3217
3219;"Тула, ТЦ ""Наш Дом-1"" (ИП Новиков Р.В.)";ул Коминтерна, д. 24;Торговый комплекс Наш Дом 1 павильон 205.;;И.П Новиков Р.В;;"9255060319; 9308961122";lepnina89@mail.ru;lepnina89@mail.ru;;09:00 - 18:00;Выходной;Выходной;Нет;;3217
3221;"Тюмень, Салон ""Архитектурный Декор"" в ТЦ ""Перестройка""";"ул. Пермякова, 1А, ТЦ ""Перестройка"", пав 123";;;;;"+7(3452)418181 (доб. 349); +7(3452)682290";galant_pk@mail.ru;;www.decor-ad.ru;;;;Нет;;3220
3222;"Европласт - Тюмень ""Премьер Дом""";;;;;;;;;;;;;Нет;;3220
3224;"Уфа, Салон ""Розет"" в ТД ""Арета""";"Большая Гражданская, д. 2, корп.Б, ТД ""Арета""";;;;"Салон ""Розет""";73 472 230 522;rozetufa@gmail.com;;www.ufa-rozet.ru;;;;Нет;;3223
3225;"Уфа, Салон ""Розет"" (ул. Кирова)";улица Кирова, д. 34 (1 этаж);Салон Розет;;ИП Розет Р.Р.;Салон Розет;"3472768513; 9173755100";rozetufa@gmail.com;rozetufa@gmail.com;www.ufa-rozet.ru;10:00 - 20:00;11:00 - 18:00;12:00 - 17:00;Да;;3223
3226;"Уфа, Салон ""Розет"" (Радуга-Экспо)";Индустриальное шоссе, д. 44/1, 2 этаж, пав. Экспо, секция 2Б;ТВК Радуга-Экспо;рядом с эскалатором;ИП Розет Р.Р.;Салон Розет;"3472922638; 9177651957; 9173444232";rozet-ekspo@mail.ru;rozetufa@gmail.com;www.ufa-rozet.ru;10:00 - 20:00;10:00 - 20:00;10:00 - 20:00;Да;;3223
3227;"Уфа, Салон ""Розет""";ул. Индустриальное шоссе д. 44/1 корп.1, отдел № 2.25;;;;"Салон ""Розет""";73 472 463 167;rozetufa@gmail.com;;www.ufa-rozet.ru;;;;Нет;;3223
3229;"Хабаровск, Салон ""Текстура""";улица Дзержинского, д. 65;"салон ""Текстура""";Вход смотрит на Амурский бульвар, с правого торца здания;"ИП Лебедева М.Е. ООО ""Текстура и Дизайн""";"Салон ""Текстура""";84212464040;postmaster@terralux.ru;postmaster@terralux.ru;www.terralux.ru;10:00 - 19:00;10:00 - 16:00;Выходной;Нет;;3228
3230;"Хабаровск, Салон ""Терралюкс""";"ул. Пионерская, д. 16 ""а""";;;;"Салон ""Терралюкс""";"+7 4212 544040; +7 4212 754046";;;www.terralux.ru;;;;Нет;;3228
3232;"Чебоксары, Cалон ""Montmartre"" (ИП Альхимович Г.А.)";проспект Максима Горького, д. 26, цокольный этаж;Торговый дом «Респект»;;ИП Альхимович Г.А.;Салон - мастерская «Montmartre»;"8352434565; 9276666028";montmartre@sdel.ru;montmartre@sdel.ru;sdel.ru;08:00 - 20:00;10:00 - 16:00;10:00 - 16:00;Да;;3231
3234;"Челябинск, ООО ""Дизайн-стиль""";проспект Победы,  д. 177, оф. 111е;Торгово-офисное здание;;"ООО ""Дизайн-Стиль""";Дизайн-Стиль;"3517914912; 9058342218";dzs2006@mail.ru;dzs2006@mail.ru;designstyle74.ru;10:00 - 18:00;Выходной;Выходной;Нет;;3233
3236;"Чита, Сеть магазинов ""Респект""";улица Нечаева, д. 35;магазин Респект;;"ООО ""Респект ЛТД""";Респект;3022317635;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 18:00;10:00 - 18:00;Выходной;Нет;;3235
3238;"Ярославль, Магазин ""Синти"" (ООО ""Дизайн Проект"")";проспект Толбухина, д. 24/63;"Торговый центр ""На Толбухина""";;"ООО ""Дизайн Проект""";"Магазин ""Синти""";4852459593;yar@cinti.ru;;cinti.ru;10:00 - 19:00;10:00 - 18:00;10:00 - 17:00;Да;;3237
3240;Якутск, ИП Чугунов Д.Г.;улица Жорницкого, д. 33;"Торговый центр ""Строительный""";;ИП Чугунов Д.Г.;"""Обои 44""";9142746100;Lidis72@mail.ru;;;10:00 - 18:00;10:00 - 18:00;10:00 - 18:00;Да;;3239
3243;"Минск, Салон интерьера ""ЕвропластДекор""";ул. Cурганова, 2, офис 49;;;;"Салон интерьера ""ЕвропластДекор""";"+375 17 2842683; +375 44 7949489";;;;;;;Нет;;3242
3244;"Минск, ""ДАЛИ"", ул. Пономаренко, 35А, оф. 103 (ЧТУП ""Салон Интерьера"")";улица Пономаренко, 35А, оф. 103;Товарищество собственников Пономаренко, 35 А;"Ресторан ""СОЧИ""";"ЧТУП ""Салон интерьера""";Товарищество собственников Пономаренко, 35 А;"375172022000; 375445750697";dekor-si@mail.ru;dekor-si@mail.ru;www.dekorus.by;09:00 - 18:00;10:00 - 17:00;Выходной;Нет;;3242
3245;"Минск, ТЦ ""Град"", ЧТУП ""Салон интерьера ""Декор""";ул. Тимирязева, 123, кор. 2, 2-й этаж;"ТЦ ""Град""";Рынок Ждановичи;"ЧТУП ""Салон интерьера ""Декор""";"ТЦ ""Град""";"375172596316; 375291068560";dekor-si@mail.ru;dekor-si@mail.ru;www.domdekor.by;10:00 - 17:00;10:00 - 17:00;10:00 - 17:00;Нет;Понедельник;3242
3248;"Усть-Каменогорск, ТОО ""NS Trade""";ул. Рабочая, д. 6/1;;;"ТОО ""NS Trade""";;"+7 7232 544807; +7 7232 544805; +7 7232 544800";nota-bene.kz@mail.ru;;;;;;Нет;;3247
3249;"Усть-Каменогорск, Салон ""Nota Bene"" (ТОО NS Tarde)";улица Орджоникидзе, д. 48 (1 этаж);Жилой дом;;"ТОО ""NS Trade""";"Салон ""Nota Bene""";7772223817;region2@evp.kz;zakaz@evp.kz;;09:00 - 19:00;Выходной;Выходной;Нет;;3247
3252;"Киев, ТЦ ""Домосфера"" (D&D GROUP)";"Столичное шоссе, д. 101, ТЦ ""Домосфера"", секция С-34";;;D&D GROUP (ДИ ЭНД ДИ ГРУПП);;"+38 044 2527454; +38 098 3274958";info@d-dgroup.com.ua;;;;;;Нет;;3251
3253;"Самара, Бутик интерьера ""FORROOM"" (офис, склад)";улица Ново-Садовая, д. 14а;;;ООО Форрум;офис FORROOM;8462409016;forroom@forroom.ru;forroom@forroom.ru;www.samara.cc;10:00 - 19:00;11:00 - 17:00;Выходной;Нет;;3192
