IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP101;IP_PROP169;IP_PROP170;IP_PROP103;IP_PROP104;IP_PROP105;IP_PROP106;IP_PROP107;IP_PROP108;IP_PROP171;IP_PROP537;IP_PROP538;IP_PROP539;IP_PROP540;IP_PROP541;IP_PROP542;IP_PROP543;IP_PROP664;IP_PROP672;IP_PROP673;IP_PROP676;IP_PROP677;IP_PROP702;IP_PROP703;IP_PROP704;IP_PROP172;IP_PROP173;IP_PROP174;IP_PROP175;IP_PROP102;IP_PROP113;IC_GROUP0;IC_GROUP1;IC_GROUP2
3165;"Нижний Новгород, Интерьерный салон &quot;Избранное&quot; ";"<p><strong>Интерьерный салон &ldquo;Избранное&rdquo;</strong><br />г.Н.Новгород, ул.Белинского, 11/66<br />+7 347 274 11 11<br /><a href=""mailto:salon@elite-nn.ru"">salon@elite-nn.ru</a></p>";;улица Белинского, д. 11/66, 1 этаж;;Напротив парка Пушкина;ИП Негина О.С.;Салон Избранное;"8314213888; 8314211155";evroplast@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;;N;N;N;N;;;;;;;;;;;10:00 - 18:00;10:00 - 18:00;Y;;56.310577,44.000902;3163;;;
3166;Нижний Новгород, салон “Decor360”, ИП Негина О.С. ;"<p><strong>Салон &ldquo;Decor360&rdquo;</strong><br />г.Н.Новгород, ул.Бекетова, 13, <br />Строй Центр &ldquo;Бекетов&rdquo;, 2 этаж<br />тел.: (831) 412-31-30, <br />моб. 8(908) 238-24-24    <br /><a href=""mailto:salon@decor360.ru"">salon@decor360.ru</a></p>";;улица Бекетова, д. 13, 2 этаж;;"Стройцентр ""Бекетов""";ИП Негина О.С.;салон “Decor360”;"8314123130; 9082382424";salon@decor360.ru;;;10:00 - 21:00;;N;N;N;N;;;;;;;;;;;10:00 - 19:00;10:00 - 19:00;Y;;56.290474,43.998126;3163;;;
3167;Нижний Новгород, Центр Фасадного декора (ИП Негина О.С.) ;"<p><strong>&ldquo;Центр фасадного декора&rdquo; </strong><br />Н. Новгород, ул. Белинского, д. 11/66<br />тел.: (831) 421-11-55, (831) 421-07-13<br /><a href=""mailto:fasad@elite-nn.ru"">fasad@elite-nn.ru</a></p>";;улица Белинского, д. 11/66, этаж цоколь;;Напротива парка Пушкина;ИП Негина О.С.;Центр Фасадного декора;+7 (831) 421-11-55;fasad@elite-nn.ru;evroplast@elite-nn.ru;;10:00 - 19:00;;N;N;N;N;;;opt@elite-nn.ru;;;;;Y;;N;10:00 - 19:00;10:00 - 19:00;Y;;56.310577,44.000902;3163;;;
3169;"Нижневартовск, салон &amp;quot;Архитектурный декор&amp;quot; (1. ИП Чащилов А.П.; 2. ООО ТК &amp;quot;Архитектурный декор&amp;quot;) ";"<p><strong>Салон &laquo;Галант&raquo;</strong><br />Нижневартовск, ул.Мира, д. 5/П, стр. 10, <br />ТЦ &laquo;Твой Дом&raquo;<br />тел.: (3466)29-34-08<br /><a href=""mailto:galant-vartovck@mail.ru"">galant-vartovck@mail.ru</a></p>";;улица Мира, д. 98 (1 этаж);;;"1. ИП Чащилов А.П.; 2. ООО ТК ""Архитектурный декор""";"салон ""Архитектурный декор""";+7 (3466) 42-43-24;nv@decor-ad.ru;info@decor-ad.ru;www.decor-ad.ru;09:00 - 19:00;;N;N;N;N;;;n.stepina@decor-ad.ru;;;;;Y;;N;10:00 - 18:00;Выходной;N;;60.931961,76.620378;3168;;;
3173;Омск, Салон архитектурного декора  (Арт Декор) ;"<p><strong>Салон ""Арт Декор""</strong><br />Омск, ул. Герцена, д.36, <br />ТД ""На Герцена"", 4 этаж<br />тел.: (3812)502-600, (3812)243-021 Факс<br /><a href=""http://www.artdecor.me"">www.artdecor.me</a><br /><a href=""mailto:decorart@mail.ru"">decorart@mail.ru</a></p>";;"улица Герцена, д. 36 (1 этаж) Торговый Дом ""На Герцена""";;;Арт Декор;Салон архитектурного декора ;"+7 (904) 828-89-89; +7 (3812) 50-26-00";decorart@mail.ru;;artdecor-omsk.ru;10:00 - 19:00;;N;N;N;N;;;;retail;;;;N;;N;10:00 - 19:00;10:00 - 19:00;Y;;54.996479,73.3732;3172;;;
3177;"Орел, Салон-магазин &amp;quot;ОБОИ&amp;quot; (ИП Пенькова Л.П.) ";"<p><strong>МУП БСТ""Лесоторговая""</strong><br />Орёл, ул. Городская, д. 98 ""Б""<br />тел.: (4862) 47-65-65, 71-48-01<br /><a href=""mailto:info@bst.orel.ru"">info@bst.orel.ru</a></p>";;Городская, д. 64 Д, этаж 3;"В здании ""Эстетика интерьера""";"В здании ""Эстетика интерьера""";ИП Пенькова Л.П.;"Салон-магазин ""ОБОИ""";"+7 (4862) 71-48-94; +7 (4862) 71-48-60";AZinovyeva@57.leso-torg.ru;magoboi4@57.leso-torg.ru;www.leso-torg.ru;08:00 - 20:00;;N;N;N;N;;;magoboi4@57.leso-torg.ru;retail;;;;Y;+7 4862 71-48-94;N;08:00 - 20:00;08:00 - 20:00;Y;;52.942883,36.069452;3176;;;
3183;"Пермь, ВИЗАРД (ООО &amp;quot;ВИЗАРД- ИНТЕРЬЕРНЫЕ РЕШЕНИЯ&amp;quot;) ";"<p><strong>ООО ""Визард-Стиль""</strong><br />Пермь, ул. Куйбышева, д. 101<br />тел.: (342) 246-02-23 (-32), 240-11-91 (-92)<br /><a href=""http://www.wizard-style.ru"">www.wizard-style.ru</a><br /><a href=""mailto:info@wizard-style.ru"">info@wizard-style.ru</a></p>";;ул. Н. Островского, 44а, 2-этаж;отдельно стоящее здание;а/заправка на ул. Тихой;"ООО ""ВИЗАРД- ИНТЕРЬЕРНЫЕ РЕШЕНИЯ""";ВИЗАРД;+7 (342) 214-14-00;plotnikov_wizard@mail.ru;plotnikov_wizard@mail.ru;;10:00 - 19:00;;N;N;N;N;;;vaseva_vizard@mail.ru;retail;;;;Y;;N;11:00 - 18:00;Выходной;N;;58.010141,56.261925;3182;;;
3184;"Пермь, Салон &amp;quot;Декор центр&amp;quot; (ЗАО &amp;quot;Стройинтер&amp;quot;) ";"<p><strong>ЗАО &laquo;Стройинтер&raquo; , салоны Декор-Центр</strong><br />Пермь, ул. Ленина 15<br />(342) 212-80-80, (342) 219-05-70, (342)219-05-71<br /><a href=""http://www.decor-centre.ru"">www.decor-centre.ru</a><br /><a href=""mailto:stroyinter-p@yandex.ru"">stroyinter-p@yandex.ru</a></p>";;улица Ленина, д. 15;;;"ЗАО ""Стройинтер""";"Салон ""Декор центр""";"+7 (342) 219-05-70; +7 (342) 219-05-71";stroyinter-dir@yandex.ru;stroyinter-dir@yandex.ru;;09:00 - 20:00;;;;;;;;log@decor-centre.ru;retail;;;;Y;;N;10:00 - 18:00;Выходной;N;;58.016,56.254;3182;;;
3185;"Пермь, Салон &quot;Декор-Центр&quot; ТЦ &quot;Гудвин&quot; ";"<p><strong>ЗАО &laquo;Стройинтер&raquo; , салоны Декор-Центр</strong><br />Пермь, ул. Уральская 63, <br />ТЦ &laquo;Гудвин&raquo;, пав3, (цок этаж)<br />(342) 260-75-04<br /><a href=""http://www.decor-centre.ru"">www.decor-centre.ru</a><br /><a href=""mailto:stroyinter-p@yandex.ru"">stroyinter-p@yandex.ru</a></p>";;улица Уральская, д. 63, пав. 1;"ТЦ ""Гудвин""";;"ЗАО ""Стройинтер""";"""Декоративка""";3422640364;;;;10:00 - 20:00;;;;;;;;;;;;;;;;10:00 - 20:00;11:00 - 19:00;Y;;58.029874,56.302872;3182;;;
3186;"Пермь, Салон &quot;Декор-Центр&quot; ТЦ &quot;Евразия&quot; ";"<p><strong>ЗАО &laquo;Стройинтер&raquo; , салоны Декор-Центр</strong><br />Пермь, ул.&nbsp; Г.Хасана 56<br />ТЦ &laquo;Евразия&raquo; 1-й этаж, <br />(342) 211-33-11<br />4-й этаж<br />(342) 211-33-30<br /><a href=""http://www.decor-centre.ru"">www.decor-centre.ru</a><br /><a href=""mailto:stroyinter-p@yandex.ru"">stroyinter-p@yandex.ru</a></p>";;улица Героев Хасана, д. 56;"ТЦ ""Евразия""";слева от эскалатора;"ЗАО ""Стройинтер""";"""Декоративка""";"3422113330; 3422113311";;;;10:00 - 21:00;;;;;;;;;;;;;;;;10:00 - 21:00;10:00 - 20:00;Y;;57.965469,56.25951;3182;;;
3188;"Ростов-на-Дону, &amp;quot;Салон Декор&amp;quot; (ИП Левичев С.В.) ";"<p><strong>Салон ""Декор""</strong><br />Ростов-на-Дону, ул. Красноармейская, д.87/50<br />(863) 220-89-80, (863) 232-39-21<br /><a href=""mailto:decor-rostov@mail.ru"">decor-rostov@mail.ru</a></p>";;улица Красноармейская, д. 87/50, 1 этаж, стенд 1;;Между проспектом Соколова и проспектом Ворошиловским по ул. Красноармейской;ИП Левичев С.В.;"""Салон Декор""";"+7 (863) 220-89-80; +7 (863) 232-39-21";decor-rostov@mail.ru;decor-rostov@mail.ru;evroplast-rostov.ru;09:00 - 18:00;;;;;;;;decor-rostov@mail.ru;retail;;;;Y;+7 (863) 232-39-21;N;10:00 - 15:30;Выходной;N;;47.229225,39.717671;3187;;;
3195;Саратов, Центр Лепного Декора (ООО «Дизайн-Паркет») ;"<p><strong>ООО &laquo;Дизайн-Паркет&raquo;</strong><br />Саратов, ул.Чернышевского, 203<br />отдельный вход с левого торца здания.<br />(8452) 74-03-17<br /><a href=""http://www.design-parket.com"">www.design-parket.com</a><br /><a href=""mailto:dezain-parket@bk.ru"">dezain-parket@bk.ru</a></p>";;улица Московская, д. 11, этаж 1;;Салон находится на ул.Московская, между ул.Чернышевского и ул.Лермонтова;ООО «Дизайн-Паркет»;Центр Лепного Декора;"+7 (8452) 25-04-30; +7 (937) 225-04-30";lepnoidecor@decorinfo.ru;lepnoidecor@decorinfo.ru;www.rusplintus.ru;09:00 - 19:00;;N;N;N;N;;;lepnoidecor@decorinfo.ru;retail;;;;Y;+7 (937) 225-04-30;N;10:00 - 16:00;10:00 - 16:00;Y;;51.528335,46.053702;3194;;;
3199;Санкт-Петербург, Piterra Интерио (PITERRA) ;"<p><strong>PITERRA</strong><br />Санкт-Петербург, Богатырский пр., д. 14,<br />ТК &laquo;Интерио&raquo;, модуль  128<br />(812) 321-99-99 доб. 703<br /><a href=""mailto:703@piterra.ru"">703@piterra.ru</a></p>";;ул. Полевая Сабировская, д. 54А, 2 этаж, секция 245;Торговый комплекс «Интерио»;;;PITERRA;8007070167;shop@piterra.ru;shop@piterra.ru;www.piterra.ru;11:00 - 21:00;;N;N;N;N;;;;;;;;;;;11:00 - 21:00;11:00 - 21:00;Y;;59.997286794796,30.269401222232;3196;;;
3205;"Ставрополь, Три Д: Дом, Дизайн, Декор (ИП Кулинцева Е.С., ООО &amp;quot;Европласт Ставрополь&amp;quot;) ";"<p><strong>ООО ""Отан"" Салон&ndash;магазин &laquo;Три Д&raquo;</strong><br />Ставрополь, ул. Тухачевского, 12А<br />(8652) 72-18-29, (8652) 72-41-23<br /><a href=""mailto:tri_d.info@mail.ru"">tri_d.info@mail.ru</a><br /><a href=""http://www.salon3d.ru"">www.salon3d.ru</a></p>";;улица Тухачевского, д. 12А;Рядом рынок «Тухачевский»;Напротив ТЦ «Москва»;"ИП Кулинцева Е.С., ООО ""Европласт Ставрополь""";Три Д: Дом, Дизайн, Декор;"+7 (8652) 72-18-29; +7 (8652) 51-50-50";info@salon3d.ru;info@salon3d.ru;www.salon3d.ru;10:00 - 19:00;;;;;;;;dmitry@salon3d.ru;;;;;Y;+7 (8652) 72-18-29;N;10:00 - 19:00;Выходной;N;;45.011797,41.917781;3204;;;
3214;Тольятти, Салон Премьер (ИП Рыбалка В.Н.) ;"<p class=""MsoNormal""><strong>Салон ""Премьер""</strong><br />г.Тольятти, ул.Жукова, д.2, оф.3<br />тел. (8482)53-90-30, 611-281<br /><a href=""mailto:evroplast-togliatti@rambler.ru""><span style=""color: windowtext; text-decoration: none;"">evroplast-togliatti@rambler.ru</span></a></p>
<p>&nbsp;</p>";;улица Жукова, д. 2, вход с Ленинского проспекта;;;ИП Рыбалка В.Н.;Салон Премьер;"+7 (8482) 53-90-30 61-12-81; +7 (927) 891-12-81";salon-premier@yandex.ru;salon-premier@yandex.ru;;09:00 - 18:00;;;;;;;;salon-premier@yandex.ru;retail;;;;Y;+7 (927) 891-12-81;N;Выходной;Выходной;N;;53.51675,49.307734;3213;;;
3218;Тула, Магазин ЛЕПНИНА (И.П Новиков Р.В.) ;"<p><strong>ИП Новиков Р.В.</strong><br />Тула, ул. Мосина 29А, ТЦ Мастер, 1 этаж<br />8-910-704-24-57, 8-925-509-45-11<br /><a href=""mailto:lepnina88@mail.ru"">lepnina88@mail.ru</a></p>";;ул. Мосина, д. 29А, 1 этаж, пав. 102;Торговый центр, Мастер;;И.П Новиков Р.В.;Магазин ЛЕПНИНА;"+7 (925) 509-45-11; +7 (930) 896-11-22; &lt;br&gt;+7 (925) 506-03-19";lepnina89@mail.ru;lepnina89@mail.ru;;09:00 - 18:00;;N;N;N;N;;;Lepnina89@mail.ru;;;;;Y;;N;09:00 - 18:00;09:00 - 18:00;Y;;54.202642,37.594822;3217;;;
3225;Уфа, Салон Розет (ИП Розет Р.Р.) ;"<p><strong>Салон ""РОЗЕТ""</strong><br />Уфа, ул. Кирова, 34<br />(347) 276-8513, (347) 291-21-24, (347) 276-81-63<br /><a href=""http://www.ufa-rozet.ru"">www.ufa-rozet.ru</a><br /><a href=""mailto:rozetufa@gmail.com"">rozetufa@gmail.com</a></p>";;улица Кирова, д. 34 (1 этаж);Салон Розет;;ИП Розет Р.Р.;Салон Розет;"+7 (347) 276-85-13; +7 (917) 375-51-00";rozetufa@gmail.com;rozetufa@gmail.com;;10:00 - 20:00;;N;N;N;N;;;rozetufa@gmail.com;retail;;;;Y;+7 (917) 375-51-00;N;11:00 - 18:00;12:00 - 17:00;Y;;54.72998,55.952942;3223;;;
3226;Уфа, Салон Розет (ИП Розет Р.Р.) ;"<p><strong>Салон ""РОЗЕТ""</strong><br />Уфа, Индустриальное шоссе, 44/1,<br />Радуга-Экспо, 3этаж, 3А7<br />тел.: +7(347)292 26 38, +7 (919)158-16-09<br /><a href=""http://www.ufa-rozet.ru"">www.ufa-rozet.ru</a><br /><a href=""mailto:rozet-ekspo@mail.ru"">rozet-ekspo@mail.ru</a></p>";;Индустриальное шоссе, д. 44/1, 2 этаж, пав. Экспо, секция 2Б;ТВК Радуга-Экспо;рядом с эскалатором;ИП Розет Р.Р.;Салон Розет;"+7 (347) 292-26-38; +7 (917) 344-42-32";rozet-ekspo@mail.ru;;;10:00 - 20:00;;N;N;N;N;;;;retail;;;;Y;;N;10:00 - 20:00;10:00 - 20:00;Y;;54.801426,56.095021;3223;;;
3229;"Хабаровск, Салон &amp;quot;Текстура&amp;quot; (ИП Лебедева М.Е. ООО &amp;quot;Текстура и Дизайн&amp;quot;) ";"<p><strong><strong>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><strong><span>Салон ""Текстура""</span><br /></strong><strong><span>ИП Лебедева</span></strong></p>
</strong></strong></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><span>Хабаровск, ул. Дзержинского, 65<br />+7&nbsp;421&nbsp;246 4040, +7&nbsp;421&nbsp;246 4046 <br /><a href=""http://www.terralux.ru"">www.terralux.ru</a><br /><a href=""mailto:postmaster@terralux.ru"">postmaster@terralux.ru</a><br style=""mso-special-character: line-break;"" /><br style=""mso-special-character: line-break;"" /></span></p>";;улица Дзержинского, д. 65;"салон ""Текстура""";Вход смотрит на Амурский бульвар, с правого торца здания;"ИП Лебедева М.Е. ООО ""Текстура и Дизайн""";"Салон ""Текстура""";"+7 (4212) 46-40-40; +7 962-220-40-46";INFO@SALONTEKSTURA.RU;postmaster@terralux.ru;WWW. SALONTEKSTURA.RU;10:00 - 19:00;;;;;;;;postmaster@terralux.ru;retail;;;;Y;+7 (4212) 46-40-40;N;11:00 - 17:00;Выходной;N;;48.478,135.065;3228;;;
3232;Чебоксары, Салон «Montmartre» (ИП Альхимович Г.А.) ;"<p><strong>Cалон ""Montmartre""</strong><br />Чебоксары, ул.Максима Горького 26<br />(8352) 43-45-65<br /><a href=""http://www.sdel.ru"">http://www.sdel.ru</a><br /><a href=""mailto:montmartre_@mail.ru"">montmartre_@mail.ru</a></p>";;проспект Максима Горького, д. 26, цокольный этаж;Торговый дом «Респект»;;ИП Альхимович Г.А.;Салон «Montmartre»;"+7 (800) 707-54-76; +7 (8352) 20-23-68";montmartre.decorsten@gmail.com;evroplast.cheboksary@gmail.com;montmartre.studio;09:00 - 18:00;;N;N;N;N;;;montmartre.decorsten@gmail.com;retail;;;;Y;+7 (8352) 20-23-68;N;Выходной;Выходной;N;;56.149232,47.180852;3231;;;
3234;Челябинск, Европласт (Европласт) ;"<p><strong>ООО ""Дизайн-стиль""</strong><br />Челябинск, Пр-т Победы, д. 177<br />(351) 791-4912, (905) 834-2218<br /><a href=""http://www.designstyle74.ru"">www.designstyle74.ru</a><br /><a href=""mailto:dzs2006@mail.ru"">dzs2006@mail.ru</a></p>";;ул. 8 Марта ,  д. 56 ;;;Европласт;Европласт;"+7 (951) 809-90-44; +7 (908) 577-78-07; + 7 (950) 748-58-64";evroplast74@yandex.ru;evroplast74@yandex.ru;;10:00 - 17:00;;N;N;N;N;;;evroplast74@yandex.ru;retail;;;;Y;+7 (951) 809-90-44;N;Выходной;Выходной;N;;55.171967,61.396195;3233;;;
3236;"Чита, Респект (ООО &amp;quot;Респект ЛТД&amp;quot;) ";"<p><strong>Сеть магазинов ""Респект""&nbsp;</strong><br />Чита, ул. Нечаева, д.35<br />(3022) 317-634, (3022) 317-635<br /><a href=""http://www.respect-ltd.su"">www.respect-ltd.su</a><br /><a href=""mailto:zaslonova@mail.ru"">zaslonova@mail.ru</a></p>";;улица Нечаева, д. 35;магазин Респект;;"ООО ""Респект ЛТД""";Респект;+7 (3022) 31-76-35;dmitry_respect@mail.ru;dmitry_respect@mail.ru;;10:00 - 18:00;;;;;;;;Dmitry_respect@mail.ru;;;;;Y;;N;10:00 - 18:00;Выходной;N;;52.049611,113.508874;3235;;;
3244;"Минск, Салон интерьера (ЧТУП &amp;quot;Салон интерьера&amp;quot;) ";"<p>Минск, ул. Пономаренко, 35А, оф. 103<br />+3 7517 202 2062, +3 7529 335 9426</p>
<p><a href=""http://www.kingdom.by"">www.kingdom.by</a><br /><a href=""mailto:skask@mail.by"">skask@mail.by</a></p>";;улица Пономаренко, 35А, этаж 1, оф. 103;Товарищество собственников Пономаренко, 35 А;"Ресторан ""СОЧИ""";"ЧТУП ""Салон интерьера""";Салон интерьера;"+375 (17) 373-20-00; +375 (44) 575-06-97";dekor-si@mail.ru;dekor-si@mail.ru;www.dekorus.by;09:00 - 18:00;;N;N;N;N;;22;dekor-si@mail.ru;;;;;Y;;N;Выходной;Выходной;N;;53.892886,27.493559;3242;;;
