 Дата  вопроса ;Вопрос;Ответ;Город
﻿14.10.2021; Для  бара  дизайн   ; Добрый  день,  Юлия.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Екатеринбург  ИП  Мельников  М.Ю.  Адрес:  г.  Екатеринбург,  пер.  Базовый,  47А,  1  этаж  большой  банер  "Лепнина  Европласт"  просматривается  от  центрального  входа  в  Леруа  Мерлен  Телефон/факс:  +7  (343)  346-32-13  E-mail:  info@evroplast-ekaterinburg.ru  www.evroplast-ekaterinburg.ru   ;Екатеринбург
﻿14.10.2021; добрый  вечер  меня  интересуют  розетки  1  шт  самого  большого  размера  и  такие  же  6  шт  400  диаметр   ; Добрый  день,  Ирина.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя  Европласт-Краснодар  компания  "DOM&DECOR"  (ИП  Кириков)  Магазин  "Лепнина  Европласт",  г.  Краснодар,  ул.  Северная,  320,  1  этаж  +7  (962)  855-15-50,  +7  (918)  449-00-47  www.evroplast-krd.ru     ;Анапа
﻿15.10.2021; Добрый  день!  Подскажите  стоимость  монтажа  напольного  плинтуса  при  условии  покупки  у  Вас  же.  Погонных  метров  около  65.  Входит  ли  покраска  в  объем  услуг  по  монтажу? ; Добрый  день,  Елена.  Стоимость  монтажа  напольного  плинтуса  от  400  рублей  за  метр  погонный.  Окончательная  стоимость,  определяется  после  выезда  специалиста  на  объект.  Монтаж  производится  с  подготовкой  под  покраску  (покраска  в  стоимость  работ  не  входит),  гарантия  5  лет.    При  оформлении  заказа  через  наш  сайт,  Вы  можете  воспользоваться  калькулятором  расчета  монтажных  работ,  а  так  же  оставить  заявку  на  монтаж.  После  оформления  заявки,  мы  свяжемся  с  Вами  для  составления  точной  сметы  и  определения  сроков  выхода  бригады  на  монтаж.  Будут  вопросы  звоните  по  телефону:  +7926-847-13-57  Александра.  Спасибо.     ;Москва
﻿15.10.2021; Здравствуйте!  У  нас  вот  такая  беда…консультировались  с  Омскими  специалистами  из  Европласта,  они  сказали,  что  производят  монтаж  гибких  молдингов  при  помощи  саморезов.  У  нас  приличный  радиус  изгиба  и  в  итоге  получился  разрыв.  Фото  прилагаю   ; Александра,  добрый  день.  Судя  по  вложенному  фото,  монтаж  произведен  не  по  технологии  -  данный  молдинг  не  проходит  по  радиусу  (арочный  радиус  у  элемента  от  1000  мм),  в  связи  с  чем  его  разорвало  на  изгибе.  Необходимо  произвести  демонтаж  и  установить  на  этом  участке  жёсткий  элемент  путем  сегментации.  Я  свяжусь  с  Вами  в  понедельник  для  более  подробной  консультации.  Спасибо.   ;Краснодар
﻿16.10.2021; Подскажите,  пожалуйста,  где  в  Санкт-Петербурге  я  могу  купить  карнизы  https://evroplast.ru/catalogue/interernyj-dekor/karnizy/1-50-225/  И  карниз  https://evroplast.ru/catalogue/interernyj-dekor/karnizy/1-50-143/ ; Ольга,  добрый  день,  наш  представитель  в  Санкт-Петербурге  ПРЕДСТАВИТЕЛЬ  В  РЕГИОНЕ:  PITERRA  HOME  Адрес:  ул.  Уральская,  д.  13    Телефон/факс:  +7  (800)  707-01-67    E-mail:  shop@piterra.ru    www.piterra.ru ;Санкт-Петербург
﻿16.10.2021; Здравствуйте.Скажите,пожалуйста,почему  произошло  и  как  исправить.До  отпуска  сделали,клей  европласт  для  стыков.через  месяц  вот  это.фото  прилагаю ; Добрый  день,  Елена.  Швы  расходятся  из-за  нарушения  технологии  монтажа.  По  фото  можно  сказать,  что  стыковочного  клея  в  шве  нет,  либо  его  не  достаточно  нанесли  (не  по  всей  клеевой  поверхности,  либо  заменили  на  другой),  что  повлекло  за  собой  разрыв  в  месте  стыковки  элементов.  Для  ремонта  необходимо  расшить  треснутый  шов  на  3-5  мм,  зачистить  внутреннюю  часть  шва  от  старого  клея  и  заполнить  всю  торцевую  поверхность  шва,  ни  в  коем  случае  не  экономить.  Используется  стыковочный  клей  Европласт  (Черная  упаковка  https://evroplast.ru/catalogue/interernyj-dekor/klei-90/E03-S-60/).  Удалить  излишки  выступающего  клея,  после  полного  отверждения  -  через  24ч,  зачистить  поверхность  средней  наждачной  бумагой,  зашпаклевать  мелкозернистой  финишной  шпаклевкой  на  водной  основе,  прогрунтовать  и  прокрасить  отремонтированный  шов.  Подробное  описание  ремонта  направлено  на  указанную  электронную  почту.  Возникнут  вопросы  звоните  по  телефону:  +7968-819-03-97  Александра. ; Новый  Уренгой 
﻿18.10.2021; Здравствуйте.  Подскажите,  пожалуйста,  стоимость  доставки  в  Витебск  данного  товара  в  количестве  3  штук  и  клея  к  нему  https://evroplast.ru/catalogue/interernyj-dekor/plintusy/1-53-106/ ; Добрый  день,  Юлия.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ЕВРОПЛАСТ-БЕЛАРУСЬ  Товарищество  собственников  Пономаренко,  35  А  ЧТУП  "Салон  интерьера"  Адрес:    г.  Минск,  улица  Пономаренко,  35А,  оф.  103    Телефон/факс:  +375  (17)  202-20-00,  +375  (44)  575-06-97  E-mail:  dekor-si@mail.ru  www.dekorus.by     ;Минск
﻿19.10.2021; Здравствуйте.  Меня  интересуют  гибкие  потолочные  карнизы  с  радиусом  изгиба  менее  650мм.  Есть  ли  у  Вас  в  продаже  такие.  На  сайте  не  могу  отсортировать  по  данному  параметру. ; Дмитрий,  добрый  день.  Просьба  уточнить  радиус  внешний  или  внутренний? ;Москва
﻿19.10.2021; Здравствуйте.  Скажите,  пожалуйста,  сколько  клея  потребуется  для  монтажа  одного  погонного  метра    карниза  1.50.195  и  одной  розетки  1.56.045?  Сколько  потребуется  стыковочного  клея  на  один  стык  карниза?  Спасибо  большое. ; Добрый  день,  Павел.  Для  монтажа  1  м.п  карниза  1.50.195  понадобится  монтажного  клея  35мл,  клея  стыковочного  2,12  мл.  На  монтаж  потолочной  розетки  1.56.045    -  35  мл  монтажного  клея.  Возникнут  вопросы,  звоните  по  тел:  +7926-847-13-57  Александра. ;Магнитогорск
﻿19.10.2021; Здравствуйте!  Мне  нужен  элемент  камина  1.64.004.  У  вас  он  длиной  1295  см,  а  мне  нужен  1100  см.  Его  можно  сделать  в  моем  размере? ; Добрый  день,  Нана.    В  других  размерах  он  не  изготавливается.   ;Москва
﻿19.10.2021; Добрый  день!  Как  заказать  ваш  каталог? ; Добрый  день,  Вероника.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Калининград  Компания  "DOM&DECOR"(ООО  «Скандинавская  Мебель»,  ИП  Федоров  В.А.)  г.  Калининград,  проспект  Победы,  157А,  +7  4012  75-85-75    salon@dom-decor.com  http://www.dom-decor.com/"   ;Санкт-Петербург
﻿19.10.2021; Добрый  день,  порекомендуйте,  пожалуйста,  как  оформить  настенное  прямоугольное  зеркало  без  рамы,  размер  полотна:  ширина  100,  высота  200.  Висит  на  стене,  приподнято  от  пола  на  15  см.  Хотелось  бы  декор  по  периметру,  который  будет  имитировать  раму.  Верхняя  часть  рамы  может  быть  как  такой  же,  как  и  остальные  три  части,  а  может  отличаться  от  них  по  дизайну  быть  более  высокой,  например.  Предпочтительно  с  флористическим  орнаментом,  или  со  стилизованными  листьями  или  лентами  или  завитушками.    Общая  стилистическая  концепция  стиль  Прованс.  Прокомментируйте,  пожалуйста,  какие  элементы  и  а  каком  количестве  потребуются.    Благодарю  Вас! ; Добрый  день,  Елена.  с  Вами  свяжется  наш  менеджер.   ;Москва
﻿20.10.2021; Здравствуйте.  Карниз  не  выходит  в  поисках  на  официальном  сайте....не  сняли  с  производства? ; Добрый  день,  Надежда.  Карниз  6.50.248  производится.  Мы  реализуем  данную  коллекцию  через  розничные  сети.  В  каком  городе  вы  находитесь? ;Самара
﻿20.10.2021; При  покупке  карниза  1.50.265  какова  будет  стоимость  монтажа?  Хочу  рассчитать  смету ; Добрый  день,  Наталия.  По  вопросам  стоимости  монтажа  продукции  ТМ  Европласт,  обратитесь,  пожалуйста,  к  нашему  представителю  в  г.Кишинев:  Маг.  Elita  Decor  ООО  Элит  Интериор  Маг.  Elita  Décor  ул.  Александру  чел  Бун,  д.  108/1  Тел.:  +373  (22)  83-85-00,  +373  (68)  82-22-41  decorru@yandex.ru  Спасибо. ; Кишинев   
﻿20.10.2021; Нужен  багет  под  зеркало   ; Добрый  день,  Ольга.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  ЕВРОПЛАСТ-УЛЬЯНОВСК  ООО  "РАДА"  9  -й  проезд  Инженерный,  д.  30,  строение  7  Тел.:  +7  (8422)  26-00-11,  +7  (8422)  25-06-81  ul.evroplast@gmail.com     ; Нижний  Новгород 
﻿20.10.2021; Требуется  фасадный  погонный  гнущийся  элемент  для  размещения  на  округлых  частях  верхней  части  цоколя.  Ширина  порядка  20  мм,  высота  от  30  мм. ; Добрый  день,  Олег.    с  Вами  свяжется  наш  менеджер.   ;Москва
﻿20.10.2021; Подскажите,  есть  ли  у  вас  подходящие  элементы  для  оформления  проема?  (Размеры  проема  207*90).  Фото  примера  прилагаю. ; Добрый  день,  Диана.  наш  менеджер  с  Вами  свяжется  и  поможет  подобрать  элементы.   ;Москва
﻿21.10.2021; Вопрос  по  количеству  монтажных  материалов  для  крепления  карнизов ; Добрый  день,  Екатерина.  Менеджер  свяжется  с  Вами  сегодня  в  течении  дня  и  проконсультирует  по  интересующим  вопросам.  Спасибо.   ;Москва
﻿21.10.2021; делаете  ли  вы  стеновые  панели,  размером  50*70,  рисунок  фрезеровка.  (общий  вид  на  фото)  и  примерно  сколько  будет  стоить? ; Добрый  день,  Ольга.  В  каком  количестве  вам  необходимы  данные  панели?  Срок  изготовления  по  заказ  3  месяца.. ;Астрахань
﻿21.10.2021; Вся  продукция  представленная  на  сайте  есть  в  наличии  или  под  заказ?  Сколько  по  времени  необходимо  ждать  после  заказа?   ; Добрый  день,  Андрей.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Калининград  Компания  "DOM&DECOR"(ООО  «Скандинавская  Мебель»,  ИП  Федоров  В.А.)  г.  Калининград,  проспект  Победы,  157А,  +7  4012  75-85-75  salon@dom-decor.com  http://www.dom-decor.com   ;Калининград
﻿21.10.2021; Добрый  день.  Мне  нужны  углы  молдинг  пенопласт.   ; Добрый  день,  Елена.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Сочи  компания  "Дом  Декора"  (ИП  Кириков)  Адрес:  г.  Сочи,  ул.  Гагарина,  71,  центральный  вход,  1  этаж  Телефон/факс:  +7  (961)  533-11-15,  +7  (962)  858-16-41  E-mail:  salon-sochi@decorinfo.ru  www.evroplast-krd.ru   ;Сочи
﻿21.10.2021; Прошу  оформить  возврат  товара.  По  счету  ХД30011578  от  13.09.2021  на  сумму  194212  (со  скидкой)  и  ХД30011911  от  20.09.2021  на  сумму  19440.  Дизайнер  неверно  указала  код  товара.  Строители  закончили  установку  20.10.2021.  Просим  провести  возврат  вне  гарантийного  срока.  Товар  упакован  в  целые  коробки.   ; Добрый  день,  Юлия.    с  Вами  свяжется  наш  менеджер,  ожидайте  звонка.   ;Москва
﻿22.10.2021; Добрый  день!  Подскажите  технологию  покраски  напольных  плинтусов  и  краски,  подходящие  для  этого.  В  нашем  городе  не  берутся  за  эти  плинтуса  т.к.  краска  отслаивается  после  покраски  и  приходится  переделывать.  Спасибо. ; Добрый  день,  Алексей.  Краска  подходит  любая  водно-дисперсная,  общестроительного  назначения..  Не  допускаются  краски    содержащие  в  составе  растворители,  Силикон,  Силан,    Силоксан.  К  примеру  для  покраски  напольных  плинтусов  можно  использовать  такую  краску  как  :  Tikkurila  Harmony/Тиккурила  Гармония  глубоко  матовая  краска  для  стен  и  потолков.    Покраска  элементов  производится  после  монтажа,  перед  покраской  смонтированные  элементы  необходимо  протереть  влажной  ветошью  (обеспылить,  обезжирить).  Возникнут  вопросы  звоните  по  тел:  +7926-874-13-57  Александра.         ; Нижний  Новгород 
﻿23.10.2021; Как  осуществить  возврат  части  товара  по  заказу  ЗАКАЗ  №18571 ; Анна,  добрый  день,    не  обнаружил  указанный  Вами  заказ  в  базе.    Уточните  пожалуйста  точную  сумму  заказа,  наименование  продавца  и  адрес  торговой  точки  (или  интернет  ресурс,  если  Вы  приобретали  онлайн) ;Москва
﻿25.10.2021; Добрый  день  как  с  вами  работать  как  дилер, ; Добрый  день,  Роман.  с  Вами  свяжется  наш  менеджер.   ;Москва
﻿26.10.2021; Добрый  вечер!  Подскажите  пожалуйста,  как  выбрать  потолочный    карниз  с  учётом  того,  что  потолки  не  высокие,  но  хочется,  чтобы  визуально  выглядели  выше  ) ; Добрый  день,  Ирина.  Благодарю  Вас  за  интерес,  проявленный  к  продукции  нашей  компании.  Продажу  и  продвижение  декора  ТМ  «Европласт»  в  регионах  РФ  компания  ООО  «Декор»  осуществляет  только  через  своих  официальных  представителей,  дилерские  компании,  содержащие  склады  с  наличием  продукции  в  регионе.  Менеджер  представителя  свяжется  с  Вами  в  ближайшее  время.    Контакты  представителя:  Европласт-Краснодар  компания  "Дом  Декора"  (ИП  Кириков)  Магазин  "Лепнина  Европласт",  г.  Краснодар,  ул.  Северная,  320,  1  этаж  +7  (962)  855-15-50,  +7  (918)  449-00-47  E-mail:  salon1-krd@decorinfo.ru  www.evroplast-krd.ru   ;Краснодар
﻿28.10.2021; Добрый  день!  Скажите,  у  вас  есть  в  наличии  карниз  как  на  фото? ; Добрый  день,  Наталья,  у  нас  есть  вот  такая  модель  https://evroplast.ru/karnizy/1-50-157/  из  пенополиуретана  и  аналогичная  из  композита  6.50.157  размер  31*33  и  модель  https://evroplast.ru/karnizy/1-50-172/  из  пенополиуретан  и  аналогичная  из  композита  6.50.172  размер  48*47 ;Санкт-Петербург
