ID;Организация; Точка  продажи ; Город  (для  скидки) ;Адрес; ТЦ  Рынок  и  пр ; Ориентир  для  поиска ;Телефоны;email; email  для  заказа ; ссылка  на  сайт  дилера ;Будни;Суббота;Воскресенье; Доп.  выходные ; Без  выходных ;Карта;Доставка;Монтаж;Обмен/возврат;Склад; Способы  оплаты ;Дополнительно
﻿3236; ООО  "Респект  ЛТД" ;Респект;Чита; улица  Нечаева,  д.  35 ; магазин  Респект ;;3022317635;dmitry_respect@mail.ru;dmitry_respect@mail.ru;; 10:00  -  18:00 ; 10:00  -  18:00 ;Выходной;;N;52.049611,113.508874;N;N;N;N;;
﻿3244; ЧТУП  "Салон  интерьера" ; Товарищество  собственников  Пономаренко,  35  А ;Минск; улица  Пономаренко,  35А,  оф.  103 ; Товарищество  собственников  Пономаренко,  35  А ; Ресторан  "СОЧИ" ; 375172022000,  375445750697 ;dekor-si@mail.ru;dekor-si@mail.ru;www.dekorus.by; 09:00  -  18:00 ; 10:00  -  17:00 ;Выходной;;N;53.8928863508,27.4935586952;N;N;N;N;;
﻿3245; ЧТУП  "Салон  интерьера  "Декор" ; ТЦ  "Град" ;Минск; ул.  Тимирязева,  123,  кор.  2,  2-й  этаж ; ТЦ  "Град" ; Рынок  Ждановичи ; 375172596316,  375291068560 ;dekor-si@mail.ru;dekor-si@mail.ru;www.domdekor.by; 10:00  -  17:00 ; 10:00  -  17:00 ; 10:00  -  17:00 ;Понедельник;N;53.933,27.457;N;N;N;N;;
﻿3249; ТОО  NS  Tarde ; Nota  Bene ;Усть-Каменогорск; улица  Орджоникидзе,  д.  48  (1  этаж) ; Жилой  дом ;;7232268248;;zakaz.evokz@mail.ru;; 09:00  -  18:00 ;Выходной;Выходной;;N;49.9527128584,82.6189972539;N;N;N;N;;
﻿3253; ООО  Форрум ; офис  FORROOM ;Самара; улица  Ново-Садовая,  д.  14а ;;;8462409016;forroom@forroom.ru;forroom@forroom.ru;www.samara.cc; 10:00  -  19:00 ; 11:00  -  17:00 ;Выходной;;N;53.208996,50.130538;N;N;N;N;;
﻿3256; ООО  "Зодчие" ;"Зодчие";Абакан; улица  Тельмана,  д.  83-32Н ;;; 3902348393,  3902346800 ;ninazodchi@mail.ru;ninazodchi@mail.ru;; 10:00  -  19:00 ; 10:00  -  17:00 ;Выходной;;N;53.7313530841,91.4430321865;N;N;N;N;;
﻿3262; Статус  Кво ; Европласт  интерьерная  и  фасадная  лепнина ;Казань; улица  Ямашева,  д.  93,  2  этаж ; Торговый  Комплекс  "Савиново" ;;8432263355;zakaz@evroplast116.ru;zakaz@evroplast116.ru;www.evroplast116.ru; 10:00  -  21:00 ; 10:00  -  21:00 ; 10:00  -  21:00 ;;Y;55.826023,49.148797;N;N;N;N;;
﻿3266; ИП  Алекперов  В.Г. ; Магазин  "Лепнина" ;Москва; ул.  Пришвина  д.  26,  ТК  "Миллион  мелочей",  павильон  №  С04/1 ; ТК  "Миллион  Мелочей" ;;9269102057;decorru@yandex.ru;decorru@yandex.ru;www.1decor.ru; 09:00  -  20:45 ; 09:00  -  20:45 ; 09:00  -  20:45 ;;Y;55.8847521808,37.6037629153;N;N;N;N;;
﻿3267; ИП  Налбантов  И.А. ; Лепные  Декоры ;Москва; Тихорецкий  бульвар,  1  ,  павильон  №  О-110 ; ТК  "Люблинское  поле" ;;84957853505;7853505@mail.ru;7853505@mail.ru;www.mstyle.su; 09:00  -  20:00 ; 09:00  -  20:00 ; 09:00  -  20:00 ;;Y;55.6792297768,37.7808478479;N;N;N;N;;
﻿3270; ИП  Принцев  И.О. ;;Москва; Театральная  ул.,  3,  Ярмарка  на  Театральной,  павильон  №  2,  №  8 ;;; +7  915  4940995,  +7  916  0212107 ;;;;;;;;N;55.61,38.087;N;N;N;N;;
﻿3277; ООО  "Виват-Проект" ; VIVA  design  interior ;Оренбург; улица  Правды,  д.  25 ; Салон  "VIVA  design  interior" ;; 3532408000,  3532599293 ;viva-design09@mail.ru;viva-evroplast@yandex.ru;www.vivainterior.ru; 10:00  -  19:00 ; 10:00  -  16:00 ;Выходной;;N;51.761237,55.107771;N;N;N;N;;
﻿3282; ООО  "Сити-Декор" ;Лепнина;Москва; Волгоградский  проспект,  д.32,  корпус  25  (пересечение  Волгоградского  проспекта  и  ТТК),  ТВК  "Метр-Квадратный",  павильон  №  22 ; ТВК  "Метр-Квадратный" ;; 4956693547,  4956485067 ;metr@decolepnina.ru;city-decor@yandex.ru;www.decolepnina.ru; 10:00  -  20:00 ; 10:00  -  20:00 ; 10:00  -  20:00 ;;Y;55.7207910796,37.697497963;N;N;N;N;;
﻿3285; ИП  Каюмов  А.А. ;ЕВРОПЛАСТ;Москва; 55  км  МКАД  внешняя  сторона,  ТК  "ВЭСТЭНД"  (Кунцево-2),  павильон  ВВ  9 ; ТК  "ВЭСТЭНД" ;; 4957884925,  4957827727,  9015410254 ;order@evro-lepnina.ru;order@evro-lepnina.ru;www.evro-lepnina.ru; 09:00  -  18:00 ; 09:00  -  18:00 ; 09:00  -  18:00 ;;Y;55.717,37.385;N;N;N;N;;
﻿3288; ИП  Алекперов  В.Г. ; Салон  "Elit  Interior" ;Баку; улица  Ziya  Bunyatova,  90 ; Салон  "Elit  Interior" ;;994503556666;decorru@yandex.ru;decorru@yandex.ru;;;;;;N;40.41310395,49.84651566;N;N;N;N;;
﻿3292; ИП  Алекперов    В.Г. ; магазин  "Лепнина" ;Москва; 51  км  МКАД,  разв.  "Очаково-Заречье",  стр.2,  ТК  "ЭлитСтройМатериалы",    павильон  №  А-14 ; ТК  "ЭлитСтройМатериалы" ;;4957107964;decorru@yandex.ru;decorru@yandex.ru;www.1decor.ru; 10:00  -  20:00 ; 10:00  -  20:00 ; 10:00  -  20:00 ;;Y;55.684,37.414;N;N;N;N;;
﻿3300; ИП  Вакурова  Л.М. ; Салон  «ОБОИ  ЭРИСМАНН» ; Великий  Новгород ; улица  Ломоносова,  д.  20,  к.  1,  стенд  2 ; Собственное  встроенное  помещение ;; 8162948488,  8162948499 ;salon38@mail.ru;salon38@mail.ru;; 10:00  -  20:00 ; 10:00  -  20:00 ; 10:00  -  18:00 ;;Y;58.532362,31.240432;N;N;N;N;;
﻿3301; ООО  "Декор  Коллекция" ; салон  "АРАГОН" ;Ярославль; ул.  Вспольинское  поле,  д.  11Б,  2  этаж ;;; 4852910915,  4852282002 ;yar.aragon@mail.ru;aragondeco@mail.ru;www.aragondeco.ru; 09:00  -  17:00 ; 10:00  -  15:00 ; 10:00  -  15:00 ;;Y;57.619204,39.838396;N;N;N;N;;
﻿3303; ООО  "Новый  Мир" ; Центр  Эксклюзивного  Интерьера  "DINTERA" ;Киров; улица  Труда,  д.  71 ; Торговый  Центр  "СтройРемо" ;; 8332205777,  8332415577 ;irika-nm@yandex.ru;designer@stroy-remo.ru;динтера.рф; 09:00  -  19:00 ; 10:00  -  16:00 ;Выходной;;N;58.608401,49.663001;N;N;N;N;;
﻿3306; ИП  Алекперов  В.Г. ; Элит  Интерьер ;Ярославль; улица  Полушкина  роща,  д.  9,  стр.  14,  пав.  А1-3,  А1-4,  А1-22 ; ОТК  Тандем ;;4852780781;yar780781@gmail.com;yar780781@gmail.com;www.1decor.ru; 09:00  -  20:00 ; 09:00  -  20:00 ; 09:00  -  20:00 ;;Y;57.6546416891,39.8676795846;N;N;N;N;;
﻿3313; ТОО  Галерея  Юг ; Салон  «Галерея  Престиж» ;Шымкент; ул.  Акпан  Батыра,  д.  111  (1  и  2  этаж) ; Отдельно  стоящее  здание ;; 7252551407,  7252540687 ;;zakaz.evokz@mail.ru;galery.kz; 09:00  -  19:00 ; 09:00  -  19:00 ; 09:00  -  18:00 ;;Y;42.3221039244,69.6171564577;N;N;N;N;;
﻿3315; ТОО  "Галерея  Юг" ; ТД  "Галерея" ;Тараз; ул.  Ташкентская,  д.  82  (этаж  1,  2) ; Торговый  дом ; угол  пр-т  Абая ; 7262511469,  7070609437 ;;zakaz.evokz@mail.ru;www.galery.kz; 09:00  -  19:00 ; 09:00  -  18:00 ; 09:00  -  18:00 ;;Y;42.8907082776,71.3824894577;N;N;N;N;;
﻿3317; ИП  Кувтырева  Л.М. ; Группа  компаний  «Кредо» ;Кострома; Кинешемское  шоссе,  д.  31 ;;; 4942392026,  9109292026 ;lepnina44@gmail.com;lepnina44@gmail.com;; 09:30  -  18:00 ; 10:00  -  16:00 ;Выходной;;N;57.75081,40.999074;N;N;N;N;;
﻿3322; ИП  Смышляев  С.Ю. ; ИК  Объект ;Владимир; улица  Студеная  гора,  д.  34-А ; Интерьерная  компания  Объект ; За  бизнес-центром ; 4997555227,  9262747037 ;info@planeta-decora.ru;info@planeta-decora.ru;www.planeta-decora.ru; 10:00  -  18:00 ;Выходной;Выходной;;N;56.1234777424,40.3841563115;N;N;N;N;;
﻿3327; ООО  "РАДА" ; ООО  "РАДА" ;Ульяновск; 9  -й  проезд  Инженерный,  д.  30,  строение  7 ; Промышленная  зона ;; 8422260011,  8422250681 ;ul.evroplast@gmail.com;ul.evroplast@gmail.com;; 08:00  -  17:00 ;Выходной;Выходной;;N;54.347,48.607;N;N;N;N;;
﻿3332; ООО  "Ар-Декор" ; Дизайн-Центр  "Ар-Декор" ;Липецк; улица  Петра  Смородина,  д.  9а,  пав.  19 ; Дизайн-Центр  "Ар-Декор" ; Октябрьский  рынок ;4742452933;ardekor@rambler.ru;ardekor@rambler.ru;ardekor@rambler.ru; 10:00  -  19:00 ; 10:00  -  15:00 ;Выходной;;N;52.590803,39.540695;N;N;N;N;;
﻿3337; ИП  Глушкова  С.В. ; Магазин-салон  "Лепнина  и  Декор" ;Сухум; улица  Конфедератов,  д.  23 ;; На  пересечении  с  ул.  Лакоба ; 9409930669,  9409997070 ;ra_simone@mail.ru;ra_Lepnina_dekor@mail.ru;; 10:00  -  18:00 ; 10:00  -  16:00 ;Выходной;;N;42.999281414899,41.020622272491;N;N;N;N;;
﻿3341; ООО  "Дизайн-студия  "Лигрант"" ; Дизайн-студия  "Лигрант" ;Архангельск; проспект  Троицкий,  79,  этаж  1 ; Торговый  центр  "Viva" ;;8182475248;arh.evroplast@inbox.ru;arh.evroplast@inbox.ru;Лигрант.рф; 10:00  -  19:00 ; 10:00  -  18:00 ; 10:00  -  18:00 ;;Y;64.547652,40.517599;N;N;N;N;;
﻿3349; ТОО  Magic  house ; Салон-магазин  "Стиль-А"   ;Караганда; ул.  Ерубаева,  д.  52/2  (трехэтажный  дом) ; Жилой  дом ; дом  расположен  во  дворах ; 7016541704,  7212478568 ;;zakaz.evokz@mail.ru;www.stil-a.kz; 10:00  -  19:00 ; 10:00  -  18:00 ;выходной;;N;49.8051053247,73.0949975767;N;N;N;N;;
﻿3351; ИП  Гаврилов   ; Торговый  дом  "Декор" ;Кокшетау; улица  Ауельбекова,  д.168 ; собственный  магазин ; угол  ул.Пушкина ; 7162763606,  7162763403,  7162763404 ;;zakaz.evokz@mail.ru;; 10:00  -  19:00 ; 10:00  -  17:00 ;Выходной;;N;53.2852395769,69.4081785337;N;N;N;N;;
﻿3354; ТОО  Галерея  Юг ; ТД  «Галерея» ;Шымкент; ул.  Рыскулова,  30  (цокольный  и  первый  этаж) ; Отдельно  стоящее  здание ;;7252322234;;zakaz.evokz@mail.ru;galery.kz; 09:00  -  19:00 ; 09:00  -  19:00 ; 09:00  -  18:00 ;;Y;42.3413600178,69.6267377922;N;N;N;N;;
﻿3434; ИП  Железная  Л.Н. ; Торговый  дом  "Стройарсенал" ;Элиста; ул.Ленина,  д.  7,  стр.1  (этаж  1-2) ; Торговый  дом ;;8472231049;stroyarsenal08@mail.ru;;; 09:00  -  18:00 ; 09:00  -  18:00 ; 09:00  -  18:00 ;;Y;46.313999,44.214899;N;N;N;N;;
﻿3444; ИП  Сальцман  И.И. ; Строительный  центр  "Квартирный  вопрос" ;Череповец; Шекснинский  пр.,  д.  25 ;;; 9535203977,  8202640248 ;ks-studiya@yandex.ru;evroplast.35@mail.ru ;www.ks-diz35.ru; 11:00  -  19:00 ; 11:00  -  16:00 ;Выходной;;N;59.093414288483,37.929448932541;N;N;N;N;;
